fam,n_cdr,n_re,median_cdr,median_re,raw_difference,comparable,robust,delta,database,ambition_view,Region,outcome,outcome_label,direction_coded_difference,favours,pooled_effect,pooled_favours,agrees
GCAM,0,1,NA,1057.5533615461056,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,NA,NA,780.5046005963135,High-RE,NA
IMAGE,21,0,502.4926555735295,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,NA,NA,780.5046005963135,High-RE,NA
MESSAGEix,25,3,252.54475182885244,278.5873809275013,26.04262909864883,TRUE,TRUE,0.68,Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,26.04262909864883,High-RE,780.5046005963135,High-RE,TRUE
POLES,4,1,349.386312886455,323.39269783091197,-25.993615055543046,TRUE,FALSE,-1,Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,-25.993615055543046,High-CDR,780.5046005963135,High-RE,FALSE
REMIND,1,59,485.16751575428594,1052.1761871444203,567.0086713901344,TRUE,FALSE,1,Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,567.0086713901344,High-RE,780.5046005963135,High-RE,TRUE
WITCH,6,0,191.3394198436663,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,NA,NA,780.5046005963135,High-RE,NA
AIM,1,3,150.63971276520832,146.90931316461172,-3.7303996005965985,TRUE,FALSE,0.3333333333333333,Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,3.7303996005965985,High-RE,24.756919711681213,High-RE,TRUE
GCAM,7,1,42.23716557252173,71.61560465581708,29.378439083295348,TRUE,FALSE,-1,Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,-29.378439083295348,High-CDR,24.756919711681213,High-RE,FALSE
IMAGE,23,0,75.26211323758507,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,NA,NA,24.756919711681213,High-RE,NA
MESSAGEix,25,3,46.365518343665215,38.78960172500594,-7.575916618659278,TRUE,TRUE,0.52,Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,7.575916618659278,High-RE,24.756919711681213,High-RE,TRUE
POLES,4,1,108.76936060281602,99.31610645822963,-9.453254144586396,TRUE,FALSE,1,Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,9.453254144586396,High-RE,24.756919711681213,High-RE,TRUE
REMIND,1,59,103.71061073315894,42.43289350946666,-61.277717223692285,TRUE,FALSE,1,Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,61.277717223692285,High-RE,24.756919711681213,High-RE,TRUE
WITCH,6,0,204.24671314481117,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,NA,NA,24.756919711681213,High-RE,NA
AIM,1,3,64.19408908292347,62.89086456032602,-1.3032245225974464,TRUE,FALSE,0.3333333333333333,Full,1.5C,R10AFRICA,headcount_pct,Deprived headcount,1.3032245225974464,High-RE,8.685244055971086,High-RE,TRUE
