database,ambition_view,Region,outcome,outcome_label,n_cdr,n_re,median_cdr,median_re,effect,favours
Full,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,223,226,5.772401368694007,4.172492779687552,1.5999085890064553,High-RE
Full,2C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,178,165,438.7368225,435.19535,3.5414724999999976,High-RE
Full,2C,R10AFRICA,net_re_jobs_per_1k,Employment,212,238,229.18158556080948,723.4797060669662,494.2981205061567,High-RE
Full,2C,R10AFRICA,gap_GJ_pc,DLE gap,223,230,64.8804270820265,41.84247754564941,23.03794953637709,High-RE
Full,2C,R10AFRICA,headcount_pct,Deprived headcount,223,230,25.531026674738165,16.812207575079093,8.718819099659072,High-RE
Full,2C,R10AFRICA,mort_per_1k,PM2.5 mortality,178,165,76.6407025,78.69661,-2.0559075000000036,High-CDR
Full,2C,R10CHINA+,net_re_jobs_per_1k,Employment,215,238,129.5145042991121,266.25479233945356,136.74028804034145,High-RE
Full,2C,R10CHINA+,gap_GJ_pc,DLE gap,226,230,0.827012599081548,0.6668584214790885,0.16015417760245954,High-RE
Full,2C,R10CHINA+,headcount_pct,Deprived headcount,226,230,0.42515398399436943,0.35309266072238576,0.07206132327198367,High-RE
Full,2C,R10CHINA+,mort_per_1k,PM2.5 mortality,178,165,79.45526000000001,78.78534,0.6699200000000047,High-RE
Full,2C,R10EUROPE,net_re_jobs_per_1k,Employment,215,238,60.0795197624756,116.3702503136204,56.290730551144804,High-RE
Full,2C,R10EUROPE,gap_GJ_pc,DLE gap,226,230,3.463950896354859,2.6440354738432017,0.8199154225116572,High-RE
Full,2C,R10EUROPE,headcount_pct,Deprived headcount,226,230,1.084797757488583,0.9457007890268985,0.1390969684616845,High-RE
Full,2C,R10EUROPE,mort_per_1k,PM2.5 mortality,178,165,15.080575,11.23065,3.849924999999999,High-RE
Full,2C,R10INDIA+,net_re_jobs_per_1k,Employment,212,238,242.52132824711896,668.15640382634,425.63507557922105,High-RE
Full,2C,R10INDIA+,gap_GJ_pc,DLE gap,223,230,1.082484786768986,0.44334573570441027,0.6391390510645757,High-RE
Full,2C,R10INDIA+,headcount_pct,Deprived headcount,223,230,1.0469200713436866,0.4160734740213989,0.63084659732228765,High-RE
Full,2C,R10INDIA+,mort_per_1k,PM2.5 mortality,178,165,120.52015499999999,113.429315,7.090839999999986,High-RE
Full,2C,R10LATIN_AM,net_re_jobs_per_1k,Employment,215,238,178.7178759989481,372.5711451485457,193.85326914959762,High-RE
Full,2C,R10LATIN_AM,gap_GJ_pc,DLE gap,226,230,51.19945491378365,38.974646639494395,12.224808274289252,High-RE
Full,2C,R10LATIN_AM,headcount_pct,Deprived headcount,226,230,13.652657801850488,10.334636885789262,3.3180209160612257,High-RE
Full,2C,R10LATIN_AM,mort_per_1k,PM2.5 mortality,178,165,14.018392500000001,15.66286,-1.6444674999999993,High-CDR
Full,2C,R10MIDDLE_EAST,net_re_jobs_per_1k,Employment,212,238,153.83270184738706,549.9496019616887,396.11690011430164,High-RE
Full,2C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,223,230,0.9351401662377028,2.244062993107924,-1.308922826870221,High-CDR
Full,2C,R10MIDDLE_EAST,headcount_pct,Deprived headcount,223,230,0.49833356717526495,0.9248352350493995,-0.4265016678741345,High-CDR
Full,2C,R10MIDDLE_EAST,mort_per_1k,PM2.5 mortality,178,165,47.0277775,46.59787,0.4299074999999988,High-RE
Full,2C,R10NORTH_AM,net_re_jobs_per_1k,Employment,215,238,101.32495168388056,219.54178744671503,118.21683576283448,High-RE
Full,2C,R10NORTH_AM,gap_GJ_pc,DLE gap,226,230,7.186252243916366,8.061687615513048,-0.8754353715966818,High-CDR
Full,2C,R10NORTH_AM,headcount_pct,Deprived headcount,226,230,1.8411714952280556,2.0787811458351886,-0.23760965060713302,High-CDR
Full,2C,R10NORTH_AM,mort_per_1k,PM2.5 mortality,178,165,6.816545,8.92639,-2.109845,High-CDR
Full,2C,R10PAC_OECD,net_re_jobs_per_1k,Employment,212,234,75.2038236028749,97.82952889338341,22.625705290508506,High-RE
Full,2C,R10PAC_OECD,gap_GJ_pc,DLE gap,223,226,3.6553411088008096,5.382767980920999,-1.7274268721201893,High-CDR
Full,2C,R10PAC_OECD,headcount_pct,Deprived headcount,223,226,0.9679753843243044,1.5240957017789207,-0.5561203174546163,High-CDR
Full,2C,R10PAC_OECD,mort_per_1k,PM2.5 mortality,178,165,5.5958725000000005,3.63313,1.9627425000000005,High-RE
Full,2C,R10REF_ECON,net_re_jobs_per_1k,Employment,215,238,383.21035306075436,605.3718529270275,222.16149986627312,High-RE
Full,2C,R10REF_ECON,gap_GJ_pc,DLE gap,226,230,1.3656378115286203,1.4244739293283606,-0.058836117799740295,High-CDR
Full,2C,R10REF_ECON,headcount_pct,Deprived headcount,226,230,0.5135532904246966,0.5340220103004292,-0.02046871987573262,High-CDR
Full,2C,R10REF_ECON,mort_per_1k,PM2.5 mortality,178,165,14.3795975,13.258825,1.1207724999999993,High-RE
Full,2C,R10REST_ASIA,net_re_jobs_per_1k,Employment,212,238,129.1808410236656,543.0355530851136,413.854712061448,High-RE
Full,2C,R10REST_ASIA,gap_GJ_pc,DLE gap,223,230,3.6155059047379896,7.056973858281708,-3.4414679535437185,High-CDR
Full,2C,R10REST_ASIA,headcount_pct,Deprived headcount,223,230,1.8999959258128571,3.2213071577651684,-1.3213112319523113,High-CDR
Full,2C,R10REST_ASIA,mort_per_1k,PM2.5 mortality,178,165,59.353629999999995,57.954615,1.3990149999999986,High-RE
Full,All ambitions,Aggregated R10 regions,net_re_jobs_per_1k,Employment,270,301,192.67508488158467,509.4862638694842,316.81117898789955,High-RE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,290,293,15.850750316180047,11.54810641989833,4.302643896281717,High-RE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,290,293,5.847564373702934,4.192756407236945,1.654807966465989,High-RE
Full,All ambitions,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,226,204,434.84968000000003,426.8416125,8.008067500000038,High-RE
Full,All ambitions,R10AFRICA,net_re_jobs_per_1k,Employment,270,305,234.2461852523445,784.2900274544592,550.0438422021147,High-RE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,290,297,65.07901985266321,42.32397866165726,22.75504119100595,High-RE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,290,297,25.529322228766,16.84237372682275,8.686948501943249,High-RE
Full,All ambitions,R10AFRICA,mort_per_1k,PM2.5 mortality,226,204,76.34924749999999,78.63142,-2.2821725000000157,High-CDR
Full,All ambitions,R10CHINA+,net_re_jobs_per_1k,Employment,273,305,144.96775649970806,286.4970017860873,141.52924528637925,High-RE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,293,297,0.8658563762706603,0.6815529629618805,0.18430341330877975,High-RE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,293,297,0.45604252302177994,0.3577497769140629,0.09829274610771704,High-RE
Full,All ambitions,R10CHINA+,mort_per_1k,PM2.5 mortality,226,204,78.9684475,78.54454,0.42390749999999855,High-RE
Full,All ambitions,R10EUROPE,net_re_jobs_per_1k,Employment,273,305,60.33785224170155,125.16109012910499,64.82323788740345,High-RE
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,293,297,3.9141994521882424,2.6455329578477134,1.268666494340529,High-RE
Full,All ambitions,R10EUROPE,headcount_pct,Deprived headcount,293,297,1.2865212700280695,0.9481069058385632,0.3384143641895063,High-RE
Full,All ambitions,R10EUROPE,mort_per_1k,PM2.5 mortality,226,204,15.084644999999998,11.210302500000001,3.8743424999999974,High-RE
Full,All ambitions,R10INDIA+,net_re_jobs_per_1k,Employment,270,305,251.8478505614091,776.5060151212625,524.6581645598534,High-RE
Full,All ambitions,R10INDIA+,gap_GJ_pc,DLE gap,290,297,1.1045473111088229,0.4472405353616067,0.6573067757472162,High-RE
Full,All ambitions,R10INDIA+,headcount_pct,Deprived headcount,290,297,1.0714521108140365,0.41998074030195054,0.6514713705120859,High-RE
Full,All ambitions,R10INDIA+,mort_per_1k,PM2.5 mortality,226,204,115.91396,110.747905,5.166055,High-RE
Full,All ambitions,R10LATIN_AM,net_re_jobs_per_1k,Employment,273,305,183.4201180564186,398.0695985046796,214.64948044826102,High-RE
Full,All ambitions,R10LATIN_AM,gap_GJ_pc,DLE gap,293,297,54.929859208837875,38.65841166499827,16.271447543839606,High-RE
Full,All ambitions,R10LATIN_AM,headcount_pct,Deprived headcount,293,297,14.396055621876268,10.048160598614613,4.347895023261655,High-RE
Full,All ambitions,R10LATIN_AM,mort_per_1k,PM2.5 mortality,226,204,14.060815000000002,15.6620975,-1.6012824999999982,High-CDR
Full,All ambitions,R10MIDDLE_EAST,net_re_jobs_per_1k,Employment,270,305,225.07731715470015,608.7840417030708,383.70672454837063,High-RE
Full,All ambitions,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,290,297,1.1067960192181383,2.2621822286355036,-1.1553862094173653,High-CDR
Full,All ambitions,R10MIDDLE_EAST,headcount_pct,Deprived headcount,290,297,0.5967094554924051,0.9332852514178073,-0.3365757959254022,High-CDR
Full,All ambitions,R10MIDDLE_EAST,mort_per_1k,PM2.5 mortality,226,204,47.250895,46.54309,0.7078050000000005,High-RE
Full,All ambitions,R10NORTH_AM,net_re_jobs_per_1k,Employment,273,305,106.89969186045245,237.40622884060437,130.5065369801519,High-RE
Full,All ambitions,R10NORTH_AM,gap_GJ_pc,DLE gap,293,297,8.674230722978892,8.028229493116658,0.6460012298622342,High-RE
Full,All ambitions,R10NORTH_AM,headcount_pct,Deprived headcount,293,297,2.140588896660582,2.0691135311136026,0.07147536554697931,High-RE
