database,ambition_view,Region,model_family,metric,label,unit,Pathway,n,median
Full,1.5C,Aggregated R10 regions,IMAGE,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,0,NA
Full,1.5C,Aggregated R10 regions,IMAGE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,21,281.2928444224547
Full,1.5C,Aggregated R10 regions,IMAGE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,0,NA
Full,1.5C,Aggregated R10 regions,IMAGE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,21,386.4319015304197
Full,1.5C,Aggregated R10 regions,IMAGE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,0,NA
Full,1.5C,Aggregated R10 regions,IMAGE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,21,393.64129441819097
Full,1.5C,Aggregated R10 regions,IMAGE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,0,NA
Full,1.5C,Aggregated R10 regions,MESSAGEix,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,25,1.2818868698336354
Full,1.5C,Aggregated R10 regions,MESSAGEix,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,3,4.624691505790383
Full,1.5C,Aggregated R10 regions,MESSAGEix,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,25,0.6486046313965781
Full,1.5C,Aggregated R10 regions,MESSAGEix,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,3,3.665017471627199
Full,1.5C,Aggregated R10 regions,MESSAGEix,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,25,0.2502583125793428
Full,1.5C,Aggregated R10 regions,MESSAGEix,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,3,0.22196122016147346
Full,1.5C,Aggregated R10 regions,MESSAGEix,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,25,8251.060780810369
Full,1.5C,Aggregated R10 regions,MESSAGEix,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,3,64158.76499264434
Full,1.5C,Aggregated R10 regions,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,25,210.64772253527855
Full,1.5C,Aggregated R10 regions,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,3,336.5004628109177
Full,1.5C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,25,294.1226111733909
Full,1.5C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,3,435.7615650223265
Full,1.5C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,25,295.36125574465535
Full,1.5C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,3,440.3862565281169
Full,1.5C,Aggregated R10 regions,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,4,5.605560969740801
Full,1.5C,Aggregated R10 regions,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,1,1.60556928897884
Full,1.5C,Aggregated R10 regions,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,4,4.390784201365546
Full,1.5C,Aggregated R10 regions,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,1,1.0881556423953018
Full,1.5C,Aggregated R10 regions,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,4,0.398666493235015
Full,1.5C,Aggregated R10 regions,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,1,0.2775633252999116
Full,1.5C,Aggregated R10 regions,POLES,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,4,63081.94474866183
Full,1.5C,Aggregated R10 regions,POLES,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,1,12954.008148611014
Full,1.5C,Aggregated R10 regions,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,4,260.9110656630321
Full,1.5C,Aggregated R10 regions,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,1,261.35345564930424
Full,1.5C,Aggregated R10 regions,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,4,440.6390421911183
Full,1.5C,Aggregated R10 regions,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,1,454.5190613389847
Full,1.5C,Aggregated R10 regions,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,4,446.30488831787466
Full,1.5C,Aggregated R10 regions,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,1,456.12463062796354
Full,1.5C,Aggregated R10 regions,REMIND,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,1,4.567664641336618
Full,1.5C,Aggregated R10 regions,REMIND,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,59,7.614557143493024
Full,1.5C,Aggregated R10 regions,REMIND,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,1,3.166869412154913
Full,1.5C,Aggregated R10 regions,REMIND,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,59,6.6009022846392
Full,1.5C,Aggregated R10 regions,REMIND,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,1,0.28333146380498353
Full,1.5C,Aggregated R10 regions,REMIND,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,59,0.2451078942151064
Full,1.5C,Aggregated R10 regions,REMIND,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,1,52488.53908026
Full,1.5C,Aggregated R10 regions,REMIND,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,59,111048.25098000001
Full,1.5C,Aggregated R10 regions,REMIND,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,1,327.3113397695073
Full,1.5C,Aggregated R10 regions,REMIND,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,59,708.0383569418038
Full,1.5C,Aggregated R10 regions,REMIND,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,1,364.53015319265774
Full,1.5C,Aggregated R10 regions,REMIND,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,59,751.4479682604181
Full,1.5C,Aggregated R10 regions,REMIND,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,1,369.0978178339944
Full,1.5C,Aggregated R10 regions,REMIND,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,59,757.5802846363026
Full,1.5C,Aggregated R10 regions,WITCH,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,6,6.398678740891887
Full,1.5C,Aggregated R10 regions,WITCH,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,0,NA
Full,1.5C,Aggregated R10 regions,WITCH,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,6,6.6496189253657345
Full,1.5C,Aggregated R10 regions,WITCH,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,0,NA
Full,1.5C,Aggregated R10 regions,WITCH,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,6,0.3086157325929708
Full,1.5C,Aggregated R10 regions,WITCH,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,0,NA
Full,1.5C,Aggregated R10 regions,WITCH,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,6,83349.13592328856
Full,1.5C,Aggregated R10 regions,WITCH,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,0,NA
Full,1.5C,Aggregated R10 regions,WITCH,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,6,317.32907113966246
Full,1.5C,Aggregated R10 regions,WITCH,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,0,NA
Full,1.5C,Aggregated R10 regions,WITCH,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,6,437.5003306564473
Full,1.5C,Aggregated R10 regions,WITCH,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,0,NA
Full,1.5C,Aggregated R10 regions,WITCH,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,6,443.8990093973391
Full,1.5C,Aggregated R10 regions,WITCH,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,0,NA
Full,1.5C,R10AFRICA,AIM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,1,2.3000772509911718
