region,fuel,decommission_jobyears_per_MW_us_median,regional_labour_multiplier_raw,regional_labour_multiplier,decommission_jobyears_per_GW
R10AFRICA,biomass,1.67724748,0.8562740903042613,0.8562740903042613,1436.1835601521148
R10AFRICA,coal,2.36290997,0.8562740903042613,0.8562740903042613,2023.2985850326195
R10AFRICA,gas,0.62078255,0.8562740903042613,0.8562740903042613,531.5600132780096
R10AFRICA,geothermal,1.35736336,0.8562740903042613,0.8562740903042613,1162.2750762963353
R10AFRICA,hydro,0.74615629000000006,0.8562740903042613,0.8562740903042613,638.9142984445526
R10AFRICA,nuclear,3.21283205,0.8562740903042613,0.8562740903042613,2751.064840914125
R10AFRICA,oil,2.36290997,0.8562740903042613,0.8562740903042613,2023.2985850326195
R10AFRICA,solar_pv,0.62978903,0.8562740903042613,0.8562740903042613,539.2720287468532
R10AFRICA,wind_on,0.10159004,0.8562740903042613,0.8562740903042613,86.98891908497352
R10CHINA+,biomass,1.67724748,0.8758765004794412,0.8758765004794412,1469.0616532203614
R10CHINA+,coal,2.36290997,0.8758765004794412,0.8758765004794412,2069.6173154715816
R10CHINA+,gas,0.62078255,0.8758765004794412,0.8758765004794412,543.7288474527038
R10CHINA+,geothermal,1.35736336,0.8758765004794412,0.8758765004794412,1188.8826696358158
R10CHINA+,hydro,0.74615629000000006,0.8758765004794412,0.8758765004794412,653.5407600959231
R10CHINA+,nuclear,3.21283205,0.8758765004794412,0.8758765004794412,2814.044092582189
R10CHINA+,oil,2.36290997,0.8758765004794412,0.8758765004794412,2069.6173154715816
R10CHINA+,solar_pv,0.62978903,0.8758765004794412,0.8758765004794412,551.6174116367418
R10CHINA+,wind_on,0.10159004,0.8758765004794412,0.8758765004794412,88.98032871876646
R10EUROPE,biomass,1.67724748,0.6007812998389648,0.6007812998389648,1007.6589211860281
R10EUROPE,coal,2.36290997,0.6007812998389648,0.6007812998389648,1419.5921231790494
R10EUROPE,gas,0.62078255,0.6007812998389648,0.6007812998389648,372.95454730634714
R10EUROPE,geothermal,1.35736336,0.6007812998389648,0.6007812998389648,815.4785237745846
R10EUROPE,hydro,0.74615629000000006,0.6007812998389648,0.6007812998389648,448.27674578921955
R10EUROPE,nuclear,3.21283205,0.6007812998389648,0.6007812998389648,1930.209415163286
R10EUROPE,oil,2.36290997,0.6007812998389648,0.6007812998389648,1419.5921231790494
R10EUROPE,solar_pv,0.62978903,0.6007812998389648,0.6007812998389648,378.3654720677208
R10EUROPE,wind_on,0.10159004,0.6007812998389648,0.6007812998389648,61.03339628189243
R10INDIA+,biomass,1.67724748,0.8300207040757738,0.8300207040757738,1392.1501342589172
R10INDIA+,coal,2.36290997,0.8300207040757738,0.8300207040757738,1961.2641969670656
R10INDIA+,gas,0.62078255,0.8300207040757738,0.8300207040757738,515.2623692289543
R10INDIA+,geothermal,1.35736336,0.8300207040757738,0.8300207040757738,1126.6396917538577
R10INDIA+,hydro,0.74615629000000006,0.8300207040757738,0.8300207040757738,619.3251691763672
R10INDIA+,nuclear,3.21283205,0.8300207040757738,0.8300207040757738,2666.7171202182117
R10INDIA+,oil,2.36290997,0.8300207040757738,0.8300207040757738,1961.2641969670656
R10INDIA+,solar_pv,0.62978903,0.8300207040757738,0.8300207040757738,522.7379340997986
R10INDIA+,wind_on,0.10159004,0.8300207040757738,0.8300207040757738,84.32183652788602
R10LATIN_AM,biomass,1.67724748,1.965969129847226,1.965969129847226,3297.4167687940526
R10LATIN_AM,coal,2.36290997,1.965969129847226,1.965969129847226,4645.408057628235
R10LATIN_AM,gas,0.62078255,1.965969129847226,1.965969129847226,1220.439329647842
R10LATIN_AM,geothermal,1.35736336,1.965969129847226,1.965969129847226,2668.5344637457065
R10LATIN_AM,hydro,0.74615629000000006,1.965969129847226,1.965969129847226,1466.9202321813343
R10LATIN_AM,nuclear,3.21283205,1.965969129847226,1.965969129847226,6316.328629683779
R10LATIN_AM,oil,2.36290997,1.965969129847226,1.965969129847226,4645.408057628235
R10LATIN_AM,solar_pv,0.62978903,1.965969129847226,1.965969129847226,1238.1457912964286
R10LATIN_AM,wind_on,0.10159004,1.965969129847226,1.965969129847226,199.7228825399449
R10MIDDLE_EAST,biomass,1.67724748,0.9396176452352719,0.9396176452352719,1575.971327634394
R10MIDDLE_EAST,coal,2.36290997,0.9396176452352719,0.9396176452352719,2220.231901914347
R10MIDDLE_EAST,gas,0.62078255,0.9396176452352719,0.9396176452352719,583.2982378341475
R10MIDDLE_EAST,geothermal,1.35736336,0.9396176452352719,0.9396176452352719,1275.4025640518364
R10MIDDLE_EAST,hydro,0.74615629000000006,0.9396176452352719,0.9396176452352719,701.1016161872867
R10MIDDLE_EAST,nuclear,3.21283205,0.9396176452352719,0.9396176452352719,3018.8336853574115
R10MIDDLE_EAST,oil,2.36290997,0.9396176452352719,0.9396176452352719,2220.231901914347
R10MIDDLE_EAST,solar_pv,0.62978903,0.9396176452352719,0.9396176452352719,591.760885363606
R10MIDDLE_EAST,wind_on,0.10159004,0.9396176452352719,0.9396176452352719,95.45579416415708
R10NORTH_AM,biomass,1.67724748,0.5565621439278449,0.5565621439278449,933.4924533663751
R10NORTH_AM,coal,2.36290997,0.5565621439278449,0.5565621439278449,1315.1062388116798
R10NORTH_AM,gas,0.62078255,0.5565621439278449,0.5565621439278449,345.50406694099456
R10NORTH_AM,geothermal,1.35736336,0.5565621439278449,0.5565621439278449,755.457061730703
R10NORTH_AM,hydro,0.74615629000000006,0.5565621439278449,0.5565621439278449,415.28234446764674
R10NORTH_AM,nuclear,3.21283205,0.5565621439278449,0.5565621439278449,1788.140693828093
R10NORTH_AM,oil,2.36290997,0.5565621439278449,0.5565621439278449,1315.1062388116798
R10NORTH_AM,solar_pv,0.62978903,0.5565621439278449,0.5565621439278449,350.51673275903784
R10NORTH_AM,wind_on,0.10159004,0.5565621439278449,0.5565621439278449,56.54117046411552
R10PAC_OECD,biomass,1.67724748,0.5406319217342501,0.5406319217342501,906.7735283363282
R10PAC_OECD,coal,2.36290997,0.5406319217342501,0.5406319217342501,1277.4645579661194
R10PAC_OECD,gas,0.62078255,0.5406319217342501,0.5406319217342501,335.6148629855882
R10PAC_OECD,geothermal,1.35736336,0.5406319217342501,0.5406319217342501,733.8339618084586
R10PAC_OECD,hydro,0.74615629000000006,0.5406319217342501,0.5406319217342501,403.39590897679847
R10PAC_OECD,nuclear,3.21283205,0.5406319217342501,0.5406319217342501,1736.9595654008904
