Model,Scenario,family,project,amb,Pathway,jobs_Renewables,jobs_Nuclear,jobs_Bioenergy,jobs_Fossil,jobs_Decommission,jobs_EnergyTotal
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2°C [IPD Median],REMIND,NGFS Phase 2,2C,High-RE,346.9190508702877,2.8812636658267716,3.0991874982980163,16.591920453119087,4.306690787881834,373.79811327541336
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,REMIND,NGFS Phase 2,2C,High-RE,424.06475855895616,3.336910325546313,5.786062153251869,16.698226619837847,4.6696540459773095,454.55561170356947
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Nationally Determined Contributions (NDCs),REMIND,NGFS Phase 2,2C,High-RE,331.9827981663754,2.227203426084436,3.539444637554095,28.86022342580704,4.140896428818379,370.7505660846393
REMIND-MAgPIE 2.1-4.2,SusDev-SSP1-900,REMIND,SusDev,1.5C,High-RE,446.69585150369363,1.692178852927222,11.030845272358986,9.464756493706139,5.515536351169974,474.399168473856
REMIND-MAgPIE 2.1-4.2,SusDev-SSP1-NDC,REMIND,SusDev,2C,High-RE,329.3925274894674,1.5261801126622274,3.5204519844305007,24.410058850842244,4.502421219724473,363.3516396571269
REMIND-MAgPIE 2.1-4.2,SusDev-SSP2-900,REMIND,SusDev,1.5C,High-RE,713.06172365934,8.525318674283772,7.298049271629896,11.005104637452064,6.965077767687839,746.8552740103937
REMIND-MAgPIE 2.1-4.2,SusDev-SSP2-NDC,REMIND,SusDev,2C,High-RE,548.9920318077229,5.409611267057401,3.358008213619591,33.30120401665919,5.911488688396629,596.9723439934558
REMIND-MAgPIE 2.1-4.2,SusDev-SSP2-NPi,REMIND,SusDev,2C,High-RE,426.83595055648476,6.467634393754035,5.0349619922889115,45.43964716893714,4.792954907787748,488.57114901925263
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-Default-1300,REMIND,DeepElectrification,2C,High-RE,413.0543426007653,2.600969186866652,3.5824720741157954,23.45938464601522,4.996881671354424,447.6940501791174
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-HighRenewables-1100,REMIND,DeepElectrification,2C,High-RE,730.7956229142862,1.598003958047172,3.403986076517317,12.833800900604038,8.87753826418973,757.5089521136445
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-HighRenewables-1300,REMIND,DeepElectrification,2C,High-RE,694.9315715849071,1.5740715296791141,3.18926717155413,16.658432665049517,8.617188907178408,724.9705318583683
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-HighRenewables-900,REMIND,DeepElectrification,1.5C,High-RE,770.9426266269444,1.6617768781528854,4.085438311167586,9.059994780233325,9.205011886500541,794.9548484829987
REMIND-MAgPIE 3.2-4.6,SHAPE-SSP2-NPi,REMIND,SHAPE,2C,High-RE,535.7344947188462,3.8516757676538202,3.115369721251876,35.24117299466333,4.095914614882482,582.0386278172977
REMIND-MAgPIE 3.2-4.6,SHAPE-SSP2-NPi [with Climate Change Impacts],REMIND,SHAPE,2C,High-RE,532.2091580939199,3.849570658948127,3.114787309324461,34.735290664359994,4.110788361090234,578.0195950876428
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,REMIND,RESCUE,2C,High-RE,668.4358961911961,3.763401063045644,5.435149914938276,20.314126523117125,6.1069193732243585,704.0554930655214
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,REMIND,RESCUE,2C,High-RE,697.5156660847204,3.751929228077393,3.610906023069209,20.402037166272446,6.219526839936858,731.5000653420763
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,REMIND,RESCUE,1.5C,High-RE,680.9220347648286,3.8692444179889374,3.430071342490664,18.109874205442114,5.944004370964575,712.2752291017148
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,REMIND,RESCUE,1.5C,High-RE,726.2267620759732,3.841282891130743,3.1915181591450206,18.18840513416927,6.1323163758845975,757.5802846363026
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,REMIND,RESCUE,2C,High-RE,690.4092729529343,3.8346035517715817,2.7414508318415924,15.970876350759754,6.662003870729397,719.6182075580367
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,REMIND,RESCUE,2C,High-RE,690.3886830720184,3.8361086025111235,2.7325901095583585,15.94491735214551,6.652258143714337,719.5545572799476
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-500,REMIND,RESCUE,1.5C,High-RE,628.2511986427187,4.576314019570368,6.770316067390774,9.703921265708718,6.024081506052649,655.3258315014413
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-500-with-OAE,REMIND,RESCUE,2C,High-RE,625.5583742248616,4.5651881096739055,7.329751448256449,10.143608225619735,6.047982924643631,653.6449049330553
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,REMIND,NGFS Phase 5,2C,High-RE,496.29344120007113,4.814923203156164,2.794929076057901,16.38704747018326,5.467471636175496,525.7578125856439
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Current Policies,REMIND,NGFS Phase 5,2C,High-RE,379.94344108903016,4.4710723161237524,4.635985712297573,26.25112517005534,4.568715446242551,419.87033973374935
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,REMIND,NGFS Phase 5,2C,High-RE,520.4808423802381,4.6192402762319045,3.289533143106482,18.786942771216218,5.503481455762276,552.6800400265549
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Fragmented World,REMIND,NGFS Phase 5,2C,High-RE,417.6247557416915,4.6665252788746265,3.1937420172058157,24.00358204040842,4.970374804302931,454.45897988248333
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Nationally Determined Contributions (NDCs),REMIND,NGFS Phase 5,2C,High-RE,450.04256643631606,4.510315032924177,3.2146017390898973,22.140725159266722,5.227856542412107,485.136064910009
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,REMIND,NGFS Phase 5,1.5C,High-RE,535.0397160535149,5.616975963792319,2.646424064054884,8.689110333465397,5.78011227458057,557.7723386894081
REMIND-Transport 2.1,Transport-1100-Conventional,REMIND,Transport,2C,High-RE,732.6996464064251,11.244404529174071,13.995280842254765,9.097176665504197,7.003057174824343,774.0395656181825
