database,ambition_view,Region,metric,label,unit,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,raw_difference_high_re_minus_high_cmt,favours_more_employment
Full,1.5C,R10INDIA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",58,67,3.1941051865960457,8.5193965322861,5.325291345690054,High-RE
Full,1.5C,R10INDIA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",58,67,0.13958672216446094,0.15213784967288502,0.012551127508424076,High-RE
Full,1.5C,R10INDIA+,inferred_retirements_GW,Inferred retired capacity,GW,58,67,7531.289284448535,19875.74933,12344.460045551463,High-RE
Full,1.5C,R10INDIA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",58,67,264.4309765430394,1007.6433597169416,743.2123831739023,High-RE
Full,1.5C,R10INDIA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",58,67,362.37727230943676,1063.0443409426132,700.6670686331764,High-RE
Full,1.5C,R10INDIA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",58,67,363.0686451252857,1069.3170202853262,706.2483751600405,High-RE
Full,1.5C,R10LATIN_AM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",58,67,6.231446757307069,9.286985787611577,3.0555390303045087,High-RE
Full,1.5C,R10LATIN_AM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",58,67,3.619062281365866,4.928396651115017,1.309334369749151,High-RE
Full,1.5C,R10LATIN_AM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",58,67,0.13826035078308901,0.0637881285492981,-0.07447222223379091,High-CMT
Full,1.5C,R10LATIN_AM,inferred_retirements_GW,Inferred retired capacity,GW,58,67,3329.9018627314204,6695.22551,3365.32364726858,High-RE
Full,1.5C,R10LATIN_AM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",58,67,232.42899363446128,508.9037680673845,276.4747744329232,High-RE
Full,1.5C,R10LATIN_AM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",58,67,355.70137481965736,565.6061825224091,209.90480770275173,High-RE
Full,1.5C,R10LATIN_AM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",58,67,361.21577085369995,574.4231514231002,213.20738056940024,High-RE
Full,1.5C,R10MIDDLE_EAST,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",58,67,3.8477759889237206,8.199408246712638,4.351632257788918,High-RE
Full,1.5C,R10MIDDLE_EAST,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",58,67,3.1682226011486834,5.082618040306346,1.9143954391576625,High-RE
Full,1.5C,R10MIDDLE_EAST,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",58,67,0.024450705992269013,0.018684694576189126,-0.005766011416079887,High-CMT
Full,1.5C,R10MIDDLE_EAST,inferred_retirements_GW,Inferred retired capacity,GW,58,67,3621.94498148609,8439.76585,4817.82086851391,High-RE
Full,1.5C,R10MIDDLE_EAST,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",58,67,339.1175313379531,851.026534492647,511.9090031546939,High-RE
Full,1.5C,R10MIDDLE_EAST,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",58,67,476.08221487293883,877.0552898357865,400.9730749628477,High-RE
Full,1.5C,R10MIDDLE_EAST,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",58,67,478.724761056395,883.7582264466162,405.0334653902212,High-RE
Full,1.5C,R10NORTH_AM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",58,67,7.502858249835774,8.954194935258789,1.4513366854230147,High-RE
Full,1.5C,R10NORTH_AM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",58,67,3.9915223288729864,4.470593627856478,0.47907129898349154,High-RE
Full,1.5C,R10NORTH_AM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",58,67,0.07199930904887442,0.05144758204506935,-0.020551727003805066,High-CMT
Full,1.5C,R10NORTH_AM,inferred_retirements_GW,Inferred retired capacity,GW,58,67,6614.347991292756,11422.187989999999,4807.839998707243,High-RE
Full,1.5C,R10NORTH_AM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",58,67,140.29110609024016,328.2944630984675,188.0033570082273,High-RE
Full,1.5C,R10NORTH_AM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",58,67,324.1412134490918,368.0693484901758,43.928135041083976,High-RE
Full,1.5C,R10NORTH_AM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",58,67,331.59468276228347,376.15684005403574,44.56215729175227,High-RE
Full,1.5C,R10PAC_OECD,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",58,67,3.384227291692336,3.0720085510972504,-0.3122187405950858,High-CMT
