ambition_view,family,project,Pathway,component,n,median
2C,REMIND,PEP,High-RE,jobs_Renewables,5,515.8246809222509
2C,REMIND,R2p1,High-RE,jobs_Bioenergy,8,3.6897426956213106
2C,REMIND,R2p1,High-RE,jobs_Decommission,8,5.835502491278113
2C,REMIND,R2p1,High-RE,jobs_EnergyTotal,8,576.2169820002222
2C,REMIND,R2p1,High-RE,jobs_Fossil,8,31.99197326002053
2C,REMIND,R2p1,High-RE,jobs_Nuclear,8,7.22532624885751
2C,REMIND,R2p1,High-RE,jobs_Renewables,8,499.9607394905787
2C,REMIND,RESCUE,High-RE,jobs_Bioenergy,5,3.610906023069209
2C,REMIND,RESCUE,High-RE,jobs_Decommission,5,6.219526839936858
2C,REMIND,RESCUE,High-RE,jobs_EnergyTotal,5,719.5545572799476
2C,REMIND,RESCUE,High-RE,jobs_Fossil,5,15.970876350759754
2C,REMIND,RESCUE,High-RE,jobs_Nuclear,5,3.8346035517715817
2C,REMIND,RESCUE,High-RE,jobs_Renewables,5,690.3886830720184
2C,REMIND,SHAPE,High-RE,jobs_Bioenergy,2,3.115078515288168
2C,REMIND,SHAPE,High-RE,jobs_Decommission,2,4.103351487986358
2C,REMIND,SHAPE,High-RE,jobs_EnergyTotal,2,580.0291114524703
2C,REMIND,SHAPE,High-RE,jobs_Fossil,2,34.98823182951166
2C,REMIND,SHAPE,High-RE,jobs_Nuclear,2,3.850623213300974
2C,REMIND,SHAPE,High-RE,jobs_Renewables,2,533.9718264063831
2C,REMIND,SusDev,High-RE,jobs_Bioenergy,3,3.5204519844305007
2C,REMIND,SusDev,High-RE,jobs_Decommission,3,4.792954907787748
2C,REMIND,SusDev,High-RE,jobs_EnergyTotal,3,488.57114901925263
2C,REMIND,SusDev,High-RE,jobs_Fossil,3,33.30120401665919
2C,REMIND,SusDev,High-RE,jobs_Nuclear,3,5.409611267057401
2C,REMIND,SusDev,High-RE,jobs_Renewables,3,426.83595055648476
2C,REMIND,TechCost,High-RE,jobs_Bioenergy,9,5.028265439326323
2C,REMIND,TechCost,High-RE,jobs_Decommission,9,7.222607887521673
2C,REMIND,TechCost,High-RE,jobs_EnergyTotal,9,772.9290415025217
2C,REMIND,TechCost,High-RE,jobs_Fossil,9,18.64004942514972
2C,REMIND,TechCost,High-RE,jobs_Nuclear,9,14.077907990962656
2C,REMIND,TechCost,High-RE,jobs_Renewables,9,726.7473925881242
2C,REMIND,Transport,High-RE,jobs_Bioenergy,8,13.22942997790502
2C,REMIND,Transport,High-RE,jobs_Decommission,8,6.992295017612673
2C,REMIND,Transport,High-RE,jobs_EnergyTotal,8,763.1248427537498
2C,REMIND,Transport,High-RE,jobs_Fossil,8,11.058156038874138
2C,REMIND,Transport,High-RE,jobs_Nuclear,8,11.359343479600831
2C,REMIND,Transport,High-RE,jobs_Renewables,8,721.3012261799149
2C,TIAM,ENGAGE,High-CDR,jobs_Bioenergy,12,0
2C,TIAM,ENGAGE,High-CDR,jobs_Decommission,12,0.9655516952374246
2C,TIAM,ENGAGE,High-CDR,jobs_EnergyTotal,12,104.45879686184061
2C,TIAM,ENGAGE,High-CDR,jobs_Fossil,12,0
2C,TIAM,ENGAGE,High-CDR,jobs_Nuclear,12,21.85350795619698
2C,TIAM,ENGAGE,High-CDR,jobs_Renewables,12,81.41048718389027
2C,WITCH,COMMIT,High-CDR,jobs_Bioenergy,2,60.46275127455013
2C,WITCH,COMMIT,High-CDR,jobs_Decommission,2,6.070547123708815
2C,WITCH,COMMIT,High-CDR,jobs_EnergyTotal,2,383.2268810053613
2C,WITCH,COMMIT,High-CDR,jobs_Fossil,2,26.205985863680098
2C,WITCH,COMMIT,High-CDR,jobs_Nuclear,2,15.331969646900347
2C,WITCH,COMMIT,High-CDR,jobs_Renewables,2,275.1556270965219
2C,WITCH,COMMIT,High-RE,jobs_Bioenergy,1,26.493083260802567
2C,WITCH,COMMIT,High-RE,jobs_Decommission,1,10.608346105538141
2C,WITCH,COMMIT,High-RE,jobs_EnergyTotal,1,728.1154780174771
2C,WITCH,COMMIT,High-RE,jobs_Fossil,1,22.79433979485505
2C,WITCH,COMMIT,High-RE,jobs_Nuclear,1,20.181684931158316
2C,WITCH,COMMIT,High-RE,jobs_Renewables,1,648.0380239251231
2C,WITCH,ENGAGE,High-RE,jobs_Bioenergy,11,41.55342318988101
2C,WITCH,ENGAGE,High-RE,jobs_Decommission,11,1.2964507537318242
2C,WITCH,ENGAGE,High-RE,jobs_EnergyTotal,11,315.6949242584331
2C,WITCH,ENGAGE,High-RE,jobs_Fossil,11,19.758053529382458
2C,WITCH,ENGAGE,High-RE,jobs_Nuclear,11,6.306152248766553
2C,WITCH,ENGAGE,High-RE,jobs_Renewables,11,255.8118181966527
2C,WITCH,NAVIGATE,High-RE,jobs_Bioenergy,4,24.654623858610435
2C,WITCH,NAVIGATE,High-RE,jobs_Decommission,4,8.192831669017751
2C,WITCH,NAVIGATE,High-RE,jobs_EnergyTotal,4,504.36908522847
2C,WITCH,NAVIGATE,High-RE,jobs_Fossil,4,20.573658444205922
2C,WITCH,NAVIGATE,High-RE,jobs_Nuclear,4,10.072410807572057
2C,WITCH,NAVIGATE,High-RE,jobs_Renewables,4,440.4186361284869
All ambitions,AIM,ENGAGE,High-CDR,jobs_Bioenergy,21,52.76410403039185
All ambitions,AIM,ENGAGE,High-CDR,jobs_Decommission,21,7.490011297059365
All ambitions,AIM,ENGAGE,High-CDR,jobs_EnergyTotal,21,463.67581764515256
All ambitions,AIM,ENGAGE,High-CDR,jobs_Fossil,21,59.17887854566231
All ambitions,AIM,ENGAGE,High-CDR,jobs_Nuclear,21,32.021080593594
All ambitions,AIM,ENGAGE,High-CDR,jobs_Renewables,21,312.60362281873444
All ambitions,AIM,ENGAGE,High-RE,jobs_Bioenergy,14,57.20472626290433
All ambitions,AIM,ENGAGE,High-RE,jobs_Decommission,14,1.397766358943739
All ambitions,AIM,ENGAGE,High-RE,jobs_EnergyTotal,14,432.74496252234877
All ambitions,AIM,ENGAGE,High-RE,jobs_Fossil,14,48.559079368799715
All ambitions,AIM,ENGAGE,High-RE,jobs_Nuclear,14,19.450188162874866
All ambitions,AIM,ENGAGE,High-RE,jobs_Renewables,14,328.3597358078056
All ambitions,COFFEE,ENGAGE,High-RE,jobs_Bioenergy,8,5.852626894560336
All ambitions,COFFEE,ENGAGE,High-RE,jobs_Decommission,8,1.0898987621398621
All ambitions,COFFEE,ENGAGE,High-RE,jobs_EnergyTotal,8,209.7117364026971
All ambitions,COFFEE,ENGAGE,High-RE,jobs_Fossil,8,11.085078071405409
All ambitions,COFFEE,ENGAGE,High-RE,jobs_Nuclear,8,14.505293866884951
All ambitions,COFFEE,ENGAGE,High-RE,jobs_Renewables,8,177.32122863533934
All ambitions,GCAM,IAM,High-CDR,jobs_Bioenergy,3,29.189441906960326
All ambitions,GCAM,IAM,High-CDR,jobs_Decommission,3,8.09262326832654
All ambitions,GCAM,IAM,High-CDR,jobs_EnergyTotal,3,339.3833470088495
All ambitions,GCAM,IAM,High-CDR,jobs_Fossil,3,44.30029292175957
All ambitions,GCAM,IAM,High-CDR,jobs_Nuclear,3,26.023389769626146
All ambitions,GCAM,IAM,High-CDR,jobs_Renewables,3,231.777599142177
All ambitions,GCAM,NGFS Phase 5,High-RE,jobs_Bioenergy,5,19.208687992885338
All ambitions,GCAM,NGFS Phase 5,High-RE,jobs_Decommission,5,9.192604130990459
All ambitions,GCAM,NGFS Phase 5,High-RE,jobs_EnergyTotal,5,619.7684288054618
All ambitions,GCAM,NGFS Phase 5,High-RE,jobs_Fossil,5,15.878642895843543
All ambitions,GCAM,NGFS Phase 5,High-RE,jobs_Nuclear,5,9.616444118444118
All ambitions,GCAM,NGFS Phase 5,High-RE,jobs_Renewables,5,565.8720496672985
All ambitions,IMAGE,COMMIT,High-CDR,jobs_Bioenergy,0,NA
All ambitions,IMAGE,COMMIT,High-CDR,jobs_Decommission,0,NA
All ambitions,IMAGE,COMMIT,High-CDR,jobs_EnergyTotal,0,NA
All ambitions,IMAGE,COMMIT,High-CDR,jobs_Fossil,0,NA
All ambitions,IMAGE,COMMIT,High-CDR,jobs_Nuclear,0,NA
All ambitions,IMAGE,COMMIT,High-CDR,jobs_Renewables,0,NA
All ambitions,IMAGE,ENGAGE,High-CDR,jobs_Bioenergy,29,55.70798143024975
All ambitions,IMAGE,ENGAGE,High-CDR,jobs_Decommission,29,3.0273541168156983
All ambitions,IMAGE,ENGAGE,High-CDR,jobs_EnergyTotal,29,245.57143147466002
All ambitions,IMAGE,ENGAGE,High-CDR,jobs_Fossil,29,54.43285266828975
All ambitions,IMAGE,ENGAGE,High-CDR,jobs_Nuclear,29,12.690557196803312
All ambitions,IMAGE,ENGAGE,High-CDR,jobs_Renewables,29,114.62240436896438
All ambitions,IMAGE,NAVIGATE,High-CDR,jobs_Bioenergy,8,17.62100322751845
All ambitions,IMAGE,NAVIGATE,High-CDR,jobs_Decommission,8,4.961675377507815
All ambitions,IMAGE,NAVIGATE,High-CDR,jobs_EnergyTotal,8,313.5018176276719
All ambitions,IMAGE,NAVIGATE,High-CDR,jobs_Fossil,8,28.00264316292489
All ambitions,IMAGE,NAVIGATE,High-CDR,jobs_Nuclear,8,26.278280992789263
All ambitions,IMAGE,NAVIGATE,High-CDR,jobs_Renewables,8,243.56378060971616
All ambitions,IMAGE,SHAPE,High-CDR,jobs_Bioenergy,9,41.259194751465614
All ambitions,IMAGE,SHAPE,High-CDR,jobs_Decommission,9,5.87308669505882
All ambitions,IMAGE,SHAPE,High-CDR,jobs_EnergyTotal,9,342.4417888475211
All ambitions,IMAGE,SHAPE,High-CDR,jobs_Fossil,9,44.11276406109511
All ambitions,IMAGE,SHAPE,High-CDR,jobs_Nuclear,9,8.167861843527294
All ambitions,IMAGE,SHAPE,High-CDR,jobs_Renewables,9,273.4396723069096
All ambitions,IMAGE,SSP2021,High-CDR,jobs_Bioenergy,20,43.495663310017534
All ambitions,IMAGE,SSP2021,High-CDR,jobs_Decommission,20,5.7075861781610415
All ambitions,IMAGE,SSP2021,High-CDR,jobs_EnergyTotal,20,356.585180236194
All ambitions,IMAGE,SSP2021,High-CDR,jobs_Fossil,20,61.580516826792554
All ambitions,IMAGE,SSP2021,High-CDR,jobs_Nuclear,20,19.048744969005085
All ambitions,IMAGE,SSP2021,High-CDR,jobs_Renewables,20,250.90634682070208
All ambitions,IMAGE,SSP2021,High-RE,jobs_Bioenergy,2,16.103681692553643
All ambitions,IMAGE,SSP2021,High-RE,jobs_Decommission,2,8.44850489871225
All ambitions,IMAGE,SSP2021,High-RE,jobs_EnergyTotal,2,530.7782904129981
All ambitions,IMAGE,SSP2021,High-RE,jobs_Fossil,2,84.20586259968624
All ambitions,IMAGE,SSP2021,High-RE,jobs_Nuclear,2,4.245387891342361
All ambitions,IMAGE,SSP2021,High-RE,jobs_Renewables,2,417.77485333070354
All ambitions,MESSAGEix,COVID,High-CDR,jobs_Bioenergy,10,0
All ambitions,MESSAGEix,COVID,High-CDR,jobs_Decommission,10,0.5532258419480824
All ambitions,MESSAGEix,COVID,High-CDR,jobs_EnergyTotal,10,3.944432756482875
All ambitions,MESSAGEix,COVID,High-CDR,jobs_Fossil,10,3.391310950086374
All ambitions,MESSAGEix,COVID,High-CDR,jobs_Nuclear,10,0
All ambitions,MESSAGEix,COVID,High-CDR,jobs_Renewables,10,0
All ambitions,MESSAGEix,ENGAGE,High-CDR,jobs_Bioenergy,75,2.072646283359055
All ambitions,MESSAGEix,ENGAGE,High-CDR,jobs_Decommission,75,1.149501572302456
All ambitions,MESSAGEix,ENGAGE,High-CDR,jobs_EnergyTotal,75,278.368742217023
All ambitions,MESSAGEix,ENGAGE,High-CDR,jobs_Fossil,75,25.678187757247954
All ambitions,MESSAGEix,ENGAGE,High-CDR,jobs_Nuclear,75,36.04522494006495
All ambitions,MESSAGEix,ENGAGE,High-CDR,jobs_Renewables,75,212.22126261084688
All ambitions,MESSAGEix,ENGAGE,High-RE,jobs_Bioenergy,20,2.6778721048194782
All ambitions,MESSAGEix,ENGAGE,High-RE,jobs_Decommission,20,1.166874297193758
All ambitions,MESSAGEix,ENGAGE,High-RE,jobs_EnergyTotal,20,297.48478690153274
All ambitions,MESSAGEix,ENGAGE,High-RE,jobs_Fossil,20,17.823078794249057
All ambitions,MESSAGEix,ENGAGE,High-RE,jobs_Nuclear,20,49.01085104287114
All ambitions,MESSAGEix,ENGAGE,High-RE,jobs_Renewables,20,234.77410467277832
All ambitions,MESSAGEix,GEI,High-CDR,jobs_Bioenergy,12,3.0679700498958082
All ambitions,MESSAGEix,GEI,High-CDR,jobs_Decommission,12,3.7376841625610275
All ambitions,MESSAGEix,GEI,High-CDR,jobs_EnergyTotal,12,354.94015946368205
All ambitions,MESSAGEix,GEI,High-CDR,jobs_Fossil,12,49.03051985639377
All ambitions,MESSAGEix,GEI,High-CDR,jobs_Nuclear,12,44.74043970347767
All ambitions,MESSAGEix,GEI,High-CDR,jobs_Renewables,12,259.6250237165207
All ambitions,MESSAGEix,GEI,High-RE,jobs_Bioenergy,4,3.905420455749909
All ambitions,MESSAGEix,GEI,High-RE,jobs_Decommission,4,4.604885032364672
All ambitions,MESSAGEix,GEI,High-RE,jobs_EnergyTotal,4,439.8640474863905
All ambitions,MESSAGEix,GEI,High-RE,jobs_Fossil,4,24.44659555191614
All ambitions,MESSAGEix,GEI,High-RE,jobs_Nuclear,4,46.66985702428176
All ambitions,MESSAGEix,GEI,High-RE,jobs_Renewables,4,360.0712068999975
All ambitions,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Bioenergy,2,1.8157667466182543
All ambitions,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Decommission,2,1.0799623247432923
All ambitions,MESSAGEix,NGFS Phase 2,High-CDR,jobs_EnergyTotal,2,273.69260550943807
All ambitions,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Fossil,2,20.202156892037234
All ambitions,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Nuclear,2,36.75192434096023
All ambitions,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Renewables,2,213.84279520507909
All ambitions,MESSAGEix,NGFS Phase 2,High-RE,jobs_Bioenergy,1,3.2499700714659037
All ambitions,MESSAGEix,NGFS Phase 2,High-RE,jobs_Decommission,1,0.9304378728230153
All ambitions,MESSAGEix,NGFS Phase 2,High-RE,jobs_EnergyTotal,1,289.58744420335063
All ambitions,MESSAGEix,NGFS Phase 2,High-RE,jobs_Fossil,1,19.723106335465605
All ambitions,MESSAGEix,NGFS Phase 2,High-RE,jobs_Nuclear,1,26.561934105122866
All ambitions,MESSAGEix,NGFS Phase 2,High-RE,jobs_Renewables,1,239.12199581847327
All ambitions,MESSAGEix,NGFS Phase 5,High-RE,jobs_Bioenergy,2,0.9377735919033857
All ambitions,MESSAGEix,NGFS Phase 5,High-RE,jobs_Decommission,2,4.246902883612874
All ambitions,MESSAGEix,NGFS Phase 5,High-RE,jobs_EnergyTotal,2,375.889254410553
All ambitions,MESSAGEix,NGFS Phase 5,High-RE,jobs_Fossil,2,20.494479639429855
All ambitions,MESSAGEix,NGFS Phase 5,High-RE,jobs_Nuclear,2,3.121467231819981
All ambitions,MESSAGEix,NGFS Phase 5,High-RE,jobs_Renewables,2,347.0886310637869
All ambitions,POLES,ENGAGE,High-CDR,jobs_Bioenergy,60,42.546202791916855
All ambitions,POLES,ENGAGE,High-CDR,jobs_Decommission,60,5.151407911848112
All ambitions,POLES,ENGAGE,High-CDR,jobs_EnergyTotal,60,373.581713847144
All ambitions,POLES,ENGAGE,High-CDR,jobs_Fossil,60,46.4171910331483
All ambitions,POLES,ENGAGE,High-CDR,jobs_Nuclear,60,23.59766607694739
All ambitions,POLES,ENGAGE,High-CDR,jobs_Renewables,60,257.6442009346979
All ambitions,POLES,ENGAGE,High-RE,jobs_Bioenergy,9,82.89573118160524
All ambitions,POLES,ENGAGE,High-RE,jobs_Decommission,9,1.8074116144129397
All ambitions,POLES,ENGAGE,High-RE,jobs_EnergyTotal,9,424.0572961333819
All ambitions,POLES,ENGAGE,High-RE,jobs_Fossil,9,59.1817569877591
All ambitions,POLES,ENGAGE,High-RE,jobs_Nuclear,9,9.511203396171528
All ambitions,POLES,ENGAGE,High-RE,jobs_Renewables,9,277.3857596203194
All ambitions,REMIND,BEG,High-RE,jobs_Bioenergy,2,21.138114368752177
All ambitions,REMIND,BEG,High-RE,jobs_Decommission,2,7.330564454824243
All ambitions,REMIND,BEG,High-RE,jobs_EnergyTotal,2,795.1956797199126
All ambitions,REMIND,BEG,High-RE,jobs_Fossil,2,13.803589172375794
All ambitions,REMIND,BEG,High-RE,jobs_Nuclear,2,21.582728146731604
All ambitions,REMIND,BEG,High-RE,jobs_Renewables,2,731.3406835772288
All ambitions,REMIND,CD,High-RE,jobs_Bioenergy,9,1.5743185490286147
All ambitions,REMIND,CD,High-RE,jobs_Decommission,9,7.856970848132123
All ambitions,REMIND,CD,High-RE,jobs_EnergyTotal,9,731.5127570805398
All ambitions,REMIND,CD,High-RE,jobs_Fossil,9,12.807356720612594
All ambitions,REMIND,CD,High-RE,jobs_Nuclear,9,16.55329660852536
All ambitions,REMIND,CD,High-RE,jobs_Renewables,9,692.4017232412189
All ambitions,REMIND,CEMICS,High-RE,jobs_Bioenergy,15,8.20704715584213
All ambitions,REMIND,CEMICS,High-RE,jobs_Decommission,15,6.74388426731573
All ambitions,REMIND,CEMICS,High-RE,jobs_EnergyTotal,15,718.1723108741681
All ambitions,REMIND,CEMICS,High-RE,jobs_Fossil,15,18.575061324696872
All ambitions,REMIND,CEMICS,High-RE,jobs_Nuclear,15,14.73433266845742
All ambitions,REMIND,CEMICS,High-RE,jobs_Renewables,15,660.4904361235057
All ambitions,REMIND,COMMIT,High-RE,jobs_Bioenergy,7,1.4444907177701043
All ambitions,REMIND,COMMIT,High-RE,jobs_Decommission,7,6.657284468920683
All ambitions,REMIND,COMMIT,High-RE,jobs_EnergyTotal,7,606.006156842186
All ambitions,REMIND,COMMIT,High-RE,jobs_Fossil,7,19.02420937954066
All ambitions,REMIND,COMMIT,High-RE,jobs_Nuclear,7,16.497544251301274
All ambitions,REMIND,COMMIT,High-RE,jobs_Renewables,7,562.4061074746417
All ambitions,REMIND,DeepElectrification,High-RE,jobs_Bioenergy,4,3.493229075316556
All ambitions,REMIND,DeepElectrification,High-RE,jobs_Decommission,4,8.747363585684068
All ambitions,REMIND,DeepElectrification,High-RE,jobs_EnergyTotal,4,741.2397419860064
All ambitions,REMIND,DeepElectrification,High-RE,jobs_Fossil,4,14.746116782826778
All ambitions,REMIND,DeepElectrification,High-RE,jobs_Nuclear,4,1.6298904181000289
All ambitions,REMIND,DeepElectrification,High-RE,jobs_Renewables,4,712.8635972495968
All ambitions,REMIND,Diff,High-RE,jobs_Bioenergy,0,NA
All ambitions,REMIND,Diff,High-RE,jobs_Decommission,0,NA
All ambitions,REMIND,Diff,High-RE,jobs_EnergyTotal,0,NA
All ambitions,REMIND,Diff,High-RE,jobs_Fossil,0,NA
All ambitions,REMIND,Diff,High-RE,jobs_Nuclear,0,NA
All ambitions,REMIND,Diff,High-RE,jobs_Renewables,0,NA
All ambitions,REMIND,ENGAGE,High-RE,jobs_Bioenergy,94,3.5169079389162223
All ambitions,REMIND,ENGAGE,High-RE,jobs_Decommission,94,5.958580767805871
All ambitions,REMIND,ENGAGE,High-RE,jobs_EnergyTotal,94,625.1790640050399
All ambitions,REMIND,ENGAGE,High-RE,jobs_Fossil,94,18.339329014984017
All ambitions,REMIND,ENGAGE,High-RE,jobs_Nuclear,94,6.129895032398516
All ambitions,REMIND,ENGAGE,High-RE,jobs_Renewables,94,583.9920050435481
All ambitions,REMIND,LeastTotalCost,High-RE,jobs_Bioenergy,11,3.7268906554394845
All ambitions,REMIND,LeastTotalCost,High-RE,jobs_Decommission,11,6.037786910284285
All ambitions,REMIND,LeastTotalCost,High-RE,jobs_EnergyTotal,11,609.8076946591709
All ambitions,REMIND,LeastTotalCost,High-RE,jobs_Fossil,11,26.620452927484894
All ambitions,REMIND,LeastTotalCost,High-RE,jobs_Nuclear,11,11.9106534795711
All ambitions,REMIND,LeastTotalCost,High-RE,jobs_Renewables,11,550.7835508691375
All ambitions,REMIND,NAVIGATE,High-CDR,jobs_Bioenergy,1,6.856442020570761
All ambitions,REMIND,NAVIGATE,High-CDR,jobs_Decommission,1,4.567664641336618
All ambitions,REMIND,NAVIGATE,High-CDR,jobs_EnergyTotal,1,369.0978178339944
All ambitions,REMIND,NAVIGATE,High-CDR,jobs_Fossil,1,13.089570482680545
All ambitions,REMIND,NAVIGATE,High-CDR,jobs_Nuclear,1,4.1832304372186115
All ambitions,REMIND,NAVIGATE,High-CDR,jobs_Renewables,1,340.4009102521878
All ambitions,REMIND,NAVIGATE,High-RE,jobs_Bioenergy,7,3.1183144789851793
All ambitions,REMIND,NAVIGATE,High-RE,jobs_Decommission,7,4.309762386960061
All ambitions,REMIND,NAVIGATE,High-RE,jobs_EnergyTotal,7,433.0884448586681
All ambitions,REMIND,NAVIGATE,High-RE,jobs_Fossil,7,22.295515530197513
All ambitions,REMIND,NAVIGATE,High-RE,jobs_Nuclear,7,4.024665911585389
All ambitions,REMIND,NAVIGATE,High-RE,jobs_Renewables,7,390.55306464835945
All ambitions,REMIND,NGFS Phase 2,High-RE,jobs_Bioenergy,5,3.1039966131856436
All ambitions,REMIND,NGFS Phase 2,High-RE,jobs_Decommission,5,4.306690787881834
All ambitions,REMIND,NGFS Phase 2,High-RE,jobs_EnergyTotal,5,373.79811327541336
All ambitions,REMIND,NGFS Phase 2,High-RE,jobs_Fossil,5,16.698226619837847
All ambitions,REMIND,NGFS Phase 2,High-RE,jobs_Nuclear,5,2.8812636658267716
All ambitions,REMIND,NGFS Phase 2,High-RE,jobs_Renewables,5,346.9190508702877
All ambitions,REMIND,NGFS Phase 5,High-RE,jobs_Bioenergy,6,3.2041718781478563
All ambitions,REMIND,NGFS Phase 5,High-RE,jobs_Decommission,6,5.347664089293802
All ambitions,REMIND,NGFS Phase 5,High-RE,jobs_EnergyTotal,6,505.4469387478265
All ambitions,REMIND,NGFS Phase 5,High-RE,jobs_Fossil,6,20.46383396524147
All ambitions,REMIND,NGFS Phase 5,High-RE,jobs_Nuclear,6,4.6428827775532655
All ambitions,REMIND,NGFS Phase 5,High-RE,jobs_Renewables,6,473.1680038181936
All ambitions,REMIND,PEP,High-RE,jobs_Bioenergy,18,3.9587109072846376
All ambitions,REMIND,PEP,High-RE,jobs_Decommission,18,8.0782731892649835
All ambitions,REMIND,PEP,High-RE,jobs_EnergyTotal,18,744.4770623672822
All ambitions,REMIND,PEP,High-RE,jobs_Fossil,18,11.185036426736424
All ambitions,REMIND,PEP,High-RE,jobs_Nuclear,18,16.838617610673843
All ambitions,REMIND,PEP,High-RE,jobs_Renewables,18,702.9082252011406
All ambitions,REMIND,R2p1,High-RE,jobs_Bioenergy,10,4.073818633150021
All ambitions,REMIND,R2p1,High-RE,jobs_Decommission,10,6.182158005004368
All ambitions,REMIND,R2p1,High-RE,jobs_EnergyTotal,10,631.7701018136006
All ambitions,REMIND,R2p1,High-RE,jobs_Fossil,10,29.164429674399187
All ambitions,REMIND,R2p1,High-RE,jobs_Nuclear,10,8.213401104955727
All ambitions,REMIND,R2p1,High-RE,jobs_Renewables,10,586.7258406753438
All ambitions,REMIND,RESCUE,High-RE,jobs_Bioenergy,8,3.520488682779937
All ambitions,REMIND,RESCUE,High-RE,jobs_Decommission,8,6.1196178745544785
All ambitions,REMIND,RESCUE,High-RE,jobs_EnergyTotal,8,715.9148931908312
All ambitions,REMIND,RESCUE,High-RE,jobs_Fossil,8,17.040375278100935
All ambitions,REMIND,RESCUE,High-RE,jobs_Nuclear,8,3.8386957468209335
All ambitions,REMIND,RESCUE,High-RE,jobs_Renewables,8,685.6553589184234
All ambitions,REMIND,SHAPE,High-RE,jobs_Bioenergy,2,3.115078515288168
All ambitions,REMIND,SHAPE,High-RE,jobs_Decommission,2,4.103351487986358
All ambitions,REMIND,SHAPE,High-RE,jobs_EnergyTotal,2,580.0291114524703
All ambitions,REMIND,SHAPE,High-RE,jobs_Fossil,2,34.98823182951166
All ambitions,REMIND,SHAPE,High-RE,jobs_Nuclear,2,3.850623213300974
All ambitions,REMIND,SHAPE,High-RE,jobs_Renewables,2,533.9718264063831
All ambitions,REMIND,SusDev,High-RE,jobs_Bioenergy,5,5.0349619922889115
All ambitions,REMIND,SusDev,High-RE,jobs_Decommission,5,5.515536351169974
All ambitions,REMIND,SusDev,High-RE,jobs_EnergyTotal,5,488.57114901925263
All ambitions,REMIND,SusDev,High-RE,jobs_Fossil,5,24.410058850842244
All ambitions,REMIND,SusDev,High-RE,jobs_Nuclear,5,5.409611267057401
All ambitions,REMIND,SusDev,High-RE,jobs_Renewables,5,446.69585150369363
All ambitions,REMIND,TechCost,High-RE,jobs_Bioenergy,9,5.028265439326323
All ambitions,REMIND,TechCost,High-RE,jobs_Decommission,9,7.222607887521673
All ambitions,REMIND,TechCost,High-RE,jobs_EnergyTotal,9,772.9290415025217
All ambitions,REMIND,TechCost,High-RE,jobs_Fossil,9,18.64004942514972
All ambitions,REMIND,TechCost,High-RE,jobs_Nuclear,9,14.077907990962656
All ambitions,REMIND,TechCost,High-RE,jobs_Renewables,9,726.7473925881242
All ambitions,REMIND,Transport,High-RE,jobs_Bioenergy,8,13.22942997790502
All ambitions,REMIND,Transport,High-RE,jobs_Decommission,8,6.992295017612673
All ambitions,REMIND,Transport,High-RE,jobs_EnergyTotal,8,763.1248427537498
All ambitions,REMIND,Transport,High-RE,jobs_Fossil,8,11.058156038874138
All ambitions,REMIND,Transport,High-RE,jobs_Nuclear,8,11.359343479600831
All ambitions,REMIND,Transport,High-RE,jobs_Renewables,8,721.3012261799149
All ambitions,TIAM,ENGAGE,High-CDR,jobs_Bioenergy,12,0
All ambitions,TIAM,ENGAGE,High-CDR,jobs_Decommission,12,0.9655516952374246
All ambitions,TIAM,ENGAGE,High-CDR,jobs_EnergyTotal,12,104.45879686184061
All ambitions,TIAM,ENGAGE,High-CDR,jobs_Fossil,12,0
All ambitions,TIAM,ENGAGE,High-CDR,jobs_Nuclear,12,21.85350795619698
All ambitions,TIAM,ENGAGE,High-CDR,jobs_Renewables,12,81.41048718389027
All ambitions,WITCH,COMMIT,High-CDR,jobs_Bioenergy,2,60.46275127455013
All ambitions,WITCH,COMMIT,High-CDR,jobs_Decommission,2,6.070547123708815
All ambitions,WITCH,COMMIT,High-CDR,jobs_EnergyTotal,2,383.2268810053613
All ambitions,WITCH,COMMIT,High-CDR,jobs_Fossil,2,26.205985863680098
All ambitions,WITCH,COMMIT,High-CDR,jobs_Nuclear,2,15.331969646900347
All ambitions,WITCH,COMMIT,High-CDR,jobs_Renewables,2,275.1556270965219
All ambitions,WITCH,COMMIT,High-RE,jobs_Bioenergy,1,26.493083260802567
All ambitions,WITCH,COMMIT,High-RE,jobs_Decommission,1,10.608346105538141
All ambitions,WITCH,COMMIT,High-RE,jobs_EnergyTotal,1,728.1154780174771
All ambitions,WITCH,COMMIT,High-RE,jobs_Fossil,1,22.79433979485505
All ambitions,WITCH,COMMIT,High-RE,jobs_Nuclear,1,20.181684931158316
All ambitions,WITCH,COMMIT,High-RE,jobs_Renewables,1,648.0380239251231
All ambitions,WITCH,ENGAGE,High-CDR,jobs_Bioenergy,6,63.24019082639561
All ambitions,WITCH,ENGAGE,High-CDR,jobs_Decommission,6,6.398678740891887
All ambitions,WITCH,ENGAGE,High-CDR,jobs_EnergyTotal,6,443.8990093973391
All ambitions,WITCH,ENGAGE,High-CDR,jobs_Fossil,6,20.584959707720174
