database,ambition_view,Region,metric,label,unit,Pathway,n,median
Full,1.5C,R10CHINA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,67,372.99455388983455
Full,1.5C,R10CHINA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,58,307.35189694573944
Full,1.5C,R10CHINA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,67,444.8916997384263
Full,1.5C,R10CHINA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,58,312.21882513870634
Full,1.5C,R10CHINA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,67,450.6392965003281
Full,1.5C,R10EUROPE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,58,4.115066471772806
Full,1.5C,R10EUROPE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,67,3.731548378905512
Full,1.5C,R10EUROPE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,58,2.015205382177328
Full,1.5C,R10EUROPE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,67,2.4955636120886715
Full,1.5C,R10EUROPE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,58,0.324026650238974
Full,1.5C,R10EUROPE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,67,0.22422522439536574
Full,1.5C,R10EUROPE,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,58,5416.945013877968
Full,1.5C,R10EUROPE,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,67,9358.97373
Full,1.5C,R10EUROPE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,58,65.90810317684554
Full,1.5C,R10EUROPE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,67,171.1023029757663
Full,1.5C,R10EUROPE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,58,158.0938838828699
Full,1.5C,R10EUROPE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,67,193.69627488377608
Full,1.5C,R10EUROPE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,58,160.28467718425668
Full,1.5C,R10EUROPE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,67,197.48258513690908
Full,1.5C,R10INDIA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,58,2.691905371577087
Full,1.5C,R10INDIA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,67,6.307259398748574
Full,1.5C,R10INDIA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,58,3.1941051865960457
Full,1.5C,R10INDIA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,67,8.5193965322861
Full,1.5C,R10INDIA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,58,0.13958672216446094
