database,ambition_view,Region,metric,label,unit,Pathway,n,median
Full,2C,R10CHINA+,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,238,15044.13337
Full,2C,R10CHINA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,215,129.51450429911162
Full,2C,R10CHINA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,238,266.25479233945316
Full,2C,R10CHINA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,215,248.82095227129096
Full,2C,R10CHINA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,238,377.0099705202979
Full,2C,R10CHINA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,215,251.65311943858796
Full,2C,R10CHINA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,238,382.8479082471947
Full,2C,R10EUROPE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,215,2.860370680216944
Full,2C,R10EUROPE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,238,3.18810754871531
Full,2C,R10EUROPE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,215,1.690520224916723
Full,2C,R10EUROPE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,238,2.025670677774629
Full,2C,R10EUROPE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,215,0.3403363684894423
Full,2C,R10EUROPE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,238,0.24907037765428658
Full,2C,R10EUROPE,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,215,3439.753402005463
Full,2C,R10EUROPE,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,238,7105.392369999999
Full,2C,R10EUROPE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,215,60.07951976247559
Full,2C,R10EUROPE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,238,116.43290583136233
Full,2C,R10EUROPE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,215,151.1689994480506
Full,2C,R10EUROPE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,238,155.28654461579816
Full,2C,R10EUROPE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,215,153.56532766569075
Full,2C,R10EUROPE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,238,157.33641960260053
Full,2C,R10INDIA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,212,2.323629115441059
Full,2C,R10INDIA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,238,4.802911320093736
Full,2C,R10INDIA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,212,2.266401397146706
Full,2C,R10INDIA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,238,5.385017927808711
Full,2C,R10INDIA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,212,0.2054804939090642
Full,2C,R10INDIA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,238,0.15687621236168628
Full,2C,R10INDIA+,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,212,4894.157526732233
Full,2C,R10INDIA+,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,238,13019.873474999997
Full,2C,R10INDIA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,212,242.52132824711873
Full,2C,R10INDIA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,238,668.1790103189942
Full,2C,R10INDIA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,212,346.6631740119045
Full,2C,R10INDIA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,238,771.1663094288726
Full,2C,R10INDIA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,212,347.1923421875433
Full,2C,R10INDIA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,238,775.3671643585315
Full,2C,R10LATIN_AM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,215,4.074766614873389
Full,2C,R10LATIN_AM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,238,7.416548505142691
Full,2C,R10LATIN_AM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,215,2.534787201001409
Full,2C,R10LATIN_AM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,238,3.5908322374651287
Full,2C,R10LATIN_AM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,215,0.1289387131098454
Full,2C,R10LATIN_AM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,238,0.06146394101208208
Full,2C,R10LATIN_AM,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,215,1939.359056193646
Full,2C,R10LATIN_AM,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,238,5121.517539999999
Full,2C,R10LATIN_AM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,215,178.7178759989487
Full,2C,R10LATIN_AM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,238,374.9586890476246
Full,2C,R10LATIN_AM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,215,280.3000063804194
Full,2C,R10LATIN_AM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,238,435.39297492087246
Full,2C,R10LATIN_AM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,215,283.6772886539848
Full,2C,R10LATIN_AM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,238,442.42133461814115
Full,2C,R10MIDDLE_EAST,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,212,2.1083404325992303
Full,2C,R10MIDDLE_EAST,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,238,5.505673422072343
Full,2C,R10MIDDLE_EAST,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,212,1.6432145697318328
Full,2C,R10MIDDLE_EAST,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,238,3.98525093152805
Full,2C,R10MIDDLE_EAST,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,212,0.021533275871864484
Full,2C,R10MIDDLE_EAST,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,238,0.01777868045681287
Full,2C,R10MIDDLE_EAST,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,212,1520.198283381781
Full,2C,R10MIDDLE_EAST,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,238,5923.039630000001
Full,2C,R10MIDDLE_EAST,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,212,153.832701847387
Full,2C,R10MIDDLE_EAST,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,238,549.9700826176957
Full,2C,R10MIDDLE_EAST,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,212,285.3771023312936
Full,2C,R10MIDDLE_EAST,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,238,647.7306131870099
Full,2C,R10MIDDLE_EAST,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,212,287.66312017713074
Full,2C,R10MIDDLE_EAST,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,238,653.3399128438057
Full,2C,R10NORTH_AM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,215,5.294979950351087
Full,2C,R10NORTH_AM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,238,6.773240788773453
Full,2C,R10NORTH_AM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,215,2.479344444873606
Full,2C,R10NORTH_AM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,238,3.7109985796330314
Full,2C,R10NORTH_AM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,215,0.06470396304412694
Full,2C,R10NORTH_AM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,238,0.05143380414275265
Full,2C,R10NORTH_AM,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,215,4727.317129202839
Full,2C,R10NORTH_AM,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,238,8583.745448240003
Full,2C,R10NORTH_AM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,215,101.32495168388063
Full,2C,R10NORTH_AM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,238,219.5432684574684
Full,2C,R10NORTH_AM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,215,222.46374124944126
Full,2C,R10NORTH_AM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,238,288.5910688432001
Full,2C,R10NORTH_AM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,215,226.98813779445564
Full,2C,R10NORTH_AM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,238,295.8364173268369
Full,2C,R10PAC_OECD,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,212,3.5886178776740447
Full,2C,R10PAC_OECD,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,234,2.7544984481438273
Full,2C,R10PAC_OECD,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,212,1.471099791381965
Full,2C,R10PAC_OECD,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,234,1.3665949092386085
Full,2C,R10PAC_OECD,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,212,0.4105660846888416
Full,2C,R10PAC_OECD,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,234,0.2199304365314193
Full,2C,R10PAC_OECD,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,212,1118.1480543018652
Full,2C,R10PAC_OECD,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,234,1212.632665
Full,2C,R10PAC_OECD,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,212,75.20382360287476
Full,2C,R10PAC_OECD,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,234,97.86592315041253
Full,2C,R10PAC_OECD,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,212,159.53597848541696
Full,2C,R10PAC_OECD,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,234,147.16271750904605
Full,2C,R10PAC_OECD,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,212,161.52666424334083
Full,2C,R10PAC_OECD,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,234,149.84741612388564
Full,2C,R10REF_ECON,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,215,14.849761687783326
Full,2C,R10REF_ECON,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,238,16.889216387376727
Full,2C,R10REF_ECON,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,215,6.342167823755135
Full,2C,R10REF_ECON,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,238,8.27549522057219
Full,2C,R10REF_ECON,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,215,1.3299573878085684
Full,2C,R10REF_ECON,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,238,1.0656868028367261
Full,2C,R10REF_ECON,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,215,1347.0283172331526
Full,2C,R10REF_ECON,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,238,2314.23689
Full,2C,R10REF_ECON,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,215,383.21035306075476
Full,2C,R10REF_ECON,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,238,605.4554252313136
Full,2C,R10REF_ECON,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,215,754.8991384411358
Full,2C,R10REF_ECON,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,238,882.2227130439016
Full,2C,R10REF_ECON,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,215,761.7164595646412
Full,2C,R10REF_ECON,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,238,893.66606850074
Full,2C,R10REST_ASIA,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,212,2.425599471792458
Full,2C,R10REST_ASIA,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,238,6.552989679967377
Full,2C,R10REST_ASIA,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,212,1.4114671734466115
Full,2C,R10REST_ASIA,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,238,6.077123874715566
Full,2C,R10REST_ASIA,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,212,0.1812526486237939
Full,2C,R10REST_ASIA,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,238,0.18646460414889435
Full,2C,R10REST_ASIA,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,212,2400.530674027277
Full,2C,R10REST_ASIA,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,238,9878.657300000003
Full,2C,R10REST_ASIA,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,212,129.18084102366507
Full,2C,R10REST_ASIA,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,238,543.6640648439986
Full,2C,R10REST_ASIA,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,212,180.13825411872637
Full,2C,R10REST_ASIA,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,238,598.8516983422633
Full,2C,R10REST_ASIA,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,212,181.8242865036259
Full,2C,R10REST_ASIA,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,238,605.7784188998529
Full,All ambitions pooled,Aggregated R10 regions,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,270,3.832356002462176
Full,All ambitions pooled,Aggregated R10 regions,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,301,5.944004370964575
Full,All ambitions pooled,Aggregated R10 regions,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,270,2.7546368764579783
Full,All ambitions pooled,Aggregated R10 regions,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,301,5.233084654314413
Full,All ambitions pooled,Aggregated R10 regions,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,270,0.3613167586247983
Full,All ambitions pooled,Aggregated R10 regions,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,301,0.25580617339258427
Full,All ambitions pooled,Aggregated R10 regions,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,270,37988.523792631095
Full,All ambitions pooled,Aggregated R10 regions,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,301,87572.39597543872
Full,All ambitions pooled,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,270,192.67508488158444
Full,All ambitions pooled,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,301,509.50537371772106
Full,All ambitions pooled,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,270,301.3301620459045
Full,All ambitions pooled,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,301,577.9427132024152
Full,All ambitions pooled,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,270,303.5695088216967
Full,All ambitions pooled,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,301,582.0386278172977
Full,All ambitions pooled,R10AFRICA,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,270,1.4975350873195035
Full,All ambitions pooled,R10AFRICA,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,305,3.3127659208920646
Full,All ambitions pooled,R10AFRICA,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,270,1.1570352713904026
Full,All ambitions pooled,R10AFRICA,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,305,3.830428189636912
Full,All ambitions pooled,R10AFRICA,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,270,0.05844597977822524
Full,All ambitions pooled,R10AFRICA,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,305,0.012766113468815623
Full,All ambitions pooled,R10AFRICA,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,270,2732.9564742969146
Full,All ambitions pooled,R10AFRICA,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,305,9540.425389999997
Full,All ambitions pooled,R10AFRICA,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,270,234.2461852523444
Full,All ambitions pooled,R10AFRICA,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,305,784.3038078636702
Full,All ambitions pooled,R10AFRICA,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,270,302.03626516262557
Full,All ambitions pooled,R10AFRICA,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,305,798.6077861379026
Full,All ambitions pooled,R10AFRICA,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,270,302.2937558072924
Full,All ambitions pooled,R10AFRICA,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,305,801.6214207349144
Full,All ambitions pooled,R10CHINA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,273,4.040963615868609
Full,All ambitions pooled,R10CHINA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,305,5.402665729646723
Full,All ambitions pooled,R10CHINA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,273,3.9182806976575946
Full,All ambitions pooled,R10CHINA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,305,4.955834758020094
Full,All ambitions pooled,R10CHINA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,273,0.7101096078161313
Full,All ambitions pooled,R10CHINA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,305,0.6244296347560613
Full,All ambitions pooled,R10CHINA+,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,273,8848.94037299167
Full,All ambitions pooled,R10CHINA+,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,305,15793.35122
Full,All ambitions pooled,R10CHINA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,273,144.9677564997078
Full,All ambitions pooled,R10CHINA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,305,286.4970017860864
Full,All ambitions pooled,R10CHINA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,273,277.7779005794175
Full,All ambitions pooled,R10CHINA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,305,390.6185283793592
Full,All ambitions pooled,R10CHINA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,273,283.0225907235266
Full,All ambitions pooled,R10CHINA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,305,396.1096431974228
Full,All ambitions pooled,R10EUROPE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,273,3.35462020811388
Full,All ambitions pooled,R10EUROPE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,305,3.346492597366904
Full,All ambitions pooled,R10EUROPE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,273,1.8036076101948875
Full,All ambitions pooled,R10EUROPE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,305,2.1584491653579594
Full,All ambitions pooled,R10EUROPE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,273,0.340205470244919
Full,All ambitions pooled,R10EUROPE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,305,0.24157631895123902
Full,All ambitions pooled,R10EUROPE,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,273,4414.582393360994
Full,All ambitions pooled,R10EUROPE,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,305,7685.826219999999
Full,All ambitions pooled,R10EUROPE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,273,60.3378522417015
Full,All ambitions pooled,R10EUROPE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,305,125.16300567846197
Full,All ambitions pooled,R10EUROPE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,273,152.918498859122
Full,All ambitions pooled,R10EUROPE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,305,161.85153130661442
Full,All ambitions pooled,R10EUROPE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,273,155.73225937097607
Full,All ambitions pooled,R10EUROPE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,305,164.52668455314722
Full,All ambitions pooled,R10INDIA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,270,2.377513951288801
Full,All ambitions pooled,R10INDIA+,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,305,5.01622489364999
Full,All ambitions pooled,R10INDIA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,270,2.36420579531948
Full,All ambitions pooled,R10INDIA+,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,305,6.459280416342942
Full,All ambitions pooled,R10INDIA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,270,0.18230006214064837
Full,All ambitions pooled,R10INDIA+,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,305,0.15511876802890368
Full,All ambitions pooled,R10INDIA+,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,270,5463.140585715135
Full,All ambitions pooled,R10INDIA+,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,305,15796.83979
Full,All ambitions pooled,R10INDIA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,270,251.8478505614092
Full,All ambitions pooled,R10INDIA+,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,305,776.5060151212642
Full,All ambitions pooled,R10INDIA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,270,350.87213763849684
Full,All ambitions pooled,R10INDIA+,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,305,854.5139880380783
Full,All ambitions pooled,R10INDIA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,270,351.57105435232415
Full,All ambitions pooled,R10INDIA+,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,305,859.4870466357505
