database,ambition_view,fuel,tech_group,measure,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,raw_difference_high_re_minus_high_cmt
Full,2C,gas,Fossil,plant_jobs_displaced_thousands,195,234,1592.009677265026,1821.418786492371,229.40910922734497
Full,2C,gas,Fossil,upstream_jobs_displaced_thousands,195,234,1.9368234516716105,2.5368214644946665,0.599998012823056
Full,2C,geothermal,Renewables,decommission_jobyears_thousands,136,191,34.032583720357906,5.479654763025981,-28.552928957331925
Full,2C,geothermal,Renewables,inferred_retirements_GW,136,191,14.322700734851503,3.204200000000002,-11.118500734851501
Full,2C,geothermal,Renewables,plant_jobs_displaced_thousands,136,191,26.585998409929044,4.291989386530712,-22.29400902339833
Full,2C,geothermal,Renewables,upstream_jobs_displaced_thousands,136,191,0,0,0
Full,2C,hydro,Renewables,decommission_jobyears_thousands,207,234,1170.0680455496467,605.7117503858187,-564.356295163828
Full,2C,hydro,Renewables,inferred_retirements_GW,207,234,1434.7117181668061,627.9051349999999,-806.8065831668063
Full,2C,hydro,Renewables,plant_jobs_displaced_thousands,207,234,1233.1234304819159,503.42762125889254,-729.6958092230234
Full,2C,hydro,Renewables,upstream_jobs_displaced_thousands,207,234,0,0,0
Full,2C,nuclear,Nuclear,decommission_jobyears_thousands,207,234,2770.6927921320485,1940.8352629746048,-829.8575291574437
Full,2C,nuclear,Nuclear,inferred_retirements_GW,207,234,817.4211388934676,611.7203850000001,-205.70075389346755
Full,2C,nuclear,Nuclear,plant_jobs_displaced_thousands,207,234,933.445358398384,701.6150377999005,-231.83032059848347
Full,2C,nuclear,Nuclear,upstream_jobs_displaced_thousands,207,234,14.862045948847241,10.814305962825,-4.047739986022242
Full,2C,oil,Fossil,decommission_jobyears_thousands,195,170,1005.3066884263852,689.7287211863226,-315.57796724006266
Full,2C,oil,Fossil,inferred_retirements_GW,195,170,406.48571006599815,251.40109999999999,-155.08461006599816
Full,2C,oil,Fossil,plant_jobs_displaced_thousands,195,170,116.87439222032677,79.4639286141109,-37.41046360621587
Full,2C,oil,Fossil,upstream_jobs_displaced_thousands,195,170,3.8816056875524545,2.6442385647874342,-1.2373671227650203
Full,2C,solar_pv,Renewables,decommission_jobyears_thousands,195,234,8015.415489893022,26724.298310004087,18708.882820111066
Full,2C,solar_pv,Renewables,inferred_retirements_GW,195,234,13098.737730722427,40404.82442373999,27306.086693017565
Full,2C,solar_pv,Renewables,plant_jobs_displaced_thousands,195,234,5041.130435387807,17157.885569615828,12116.75513422802
Full,2C,solar_pv,Renewables,upstream_jobs_displaced_thousands,195,234,0,0,0
Full,2C,wind_on,Renewables,decommission_jobyears_thousands,207,234,898.5033075438641,2308.524682295244,1410.0213747513799
Full,2C,wind_on,Renewables,inferred_retirements_GW,207,234,9375.549613148014,22141.80538677,12766.255773621986
Full,2C,wind_on,Renewables,plant_jobs_displaced_thousands,207,234,3813.8015535049917,9142.675537716765,5328.873984211773
Full,2C,wind_on,Renewables,upstream_jobs_displaced_thousands,207,234,0,0,0
Full,All ambitions pooled,biomass,Bioenergy,decommission_jobyears_thousands,248,301,1136.611091452258,310.3490784471426,-826.2620130051155
Full,All ambitions pooled,biomass,Bioenergy,inferred_retirements_GW,248,301,699.6867216185703,157.49099999999999,-542.1957216185704
Full,All ambitions pooled,biomass,Bioenergy,plant_jobs_displaced_thousands,248,301,2493.0404257335317,736.31675685835,-1756.7236688751818
Full,All ambitions pooled,biomass,Bioenergy,upstream_jobs_displaced_thousands,248,301,67.1217873811172,12.608197192599999,-54.5135901885172
Full,All ambitions pooled,coal,Fossil,decommission_jobyears_thousands,258,301,5899.012740950497,4310.690217099593,-1588.322523850904
Full,All ambitions pooled,coal,Fossil,inferred_retirements_GW,258,301,2731.3056880220774,1930.9121300000004,-800.3935580220771
Full,All ambitions pooled,coal,Fossil,plant_jobs_displaced_thousands,258,301,2141.7797732490735,1618.9730007734393,-522.8067724756343
Full,All ambitions pooled,coal,Fossil,upstream_jobs_displaced_thousands,258,301,2693.0950374731947,1926.9021241538874,-766.1929133193073
Full,All ambitions pooled,gas,Fossil,decommission_jobyears_thousands,248,301,3059.1234137919964,3117.0695911819184,57.94617738992201
Full,All ambitions pooled,gas,Fossil,inferred_retirements_GW,248,301,4732.78312591557,4537.0711593099995,-195.71196660557052
Full,All ambitions pooled,gas,Fossil,plant_jobs_displaced_thousands,248,301,1597.3016912273667,1626.2490564485702,28.947365221203427
Full,All ambitions pooled,gas,Fossil,upstream_jobs_displaced_thousands,248,301,1.9392947374502834,2.1921349793826868,0.2528402419324034
Full,All ambitions pooled,geothermal,Renewables,decommission_jobyears_thousands,170,235,31.743686596844363,5.358698066109134,-26.384988530735228
Full,All ambitions pooled,geothermal,Renewables,inferred_retirements_GW,170,235,12.651091081574622,3.2013000000000025,-9.44979108157462
Full,All ambitions pooled,geothermal,Renewables,plant_jobs_displaced_thousands,170,235,24.728074960778507,4.24488918807401,-20.483185772704495
Full,All ambitions pooled,geothermal,Renewables,upstream_jobs_displaced_thousands,170,235,0,0,0
Full,All ambitions pooled,hydro,Renewables,decommission_jobyears_thousands,260,301,1187.392441064821,612.1569256385123,-575.2355154263087
Full,All ambitions pooled,hydro,Renewables,inferred_retirements_GW,260,301,1453.111652689683,632.7812099999998,-820.3304426896833
Full,All ambitions pooled,hydro,Renewables,plant_jobs_displaced_thousands,260,301,1238.6852947440843,505.65215803815454,-733.0331367059298
Full,All ambitions pooled,hydro,Renewables,upstream_jobs_displaced_thousands,260,301,0,0,0
Full,All ambitions pooled,nuclear,Nuclear,decommission_jobyears_thousands,260,301,3044.6771690002415,1991.0406380810089,-1053.6365309192327
Full,All ambitions pooled,nuclear,Nuclear,inferred_retirements_GW,260,301,935.8400164668266,627.20839242,-308.6316240468266
