database,ambition_view,Region,model_family,metric,label,unit,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,comparable,robust_3_per_arm,raw_difference_high_re_minus_high_cmt,favours_more_employment
Full,1.5C,R10REST_ASIA,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",25,3,142.76056676607206,121.37306245060896,TRUE,TRUE,-21.387504315463104,High-CMT
Full,1.5C,R10REST_ASIA,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",25,3,204.00361372374363,249.52443727329648,TRUE,TRUE,45.52082354955286,High-RE
Full,1.5C,R10REST_ASIA,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",25,3,204.79965404772915,253.56474742837423,TRUE,TRUE,48.765093380645084,High-RE
Full,1.5C,R10REST_ASIA,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",4,1,3.3225801545488074,0.8449485719575398,TRUE,FALSE,-2.4776315825912674,High-CMT
Full,1.5C,R10REST_ASIA,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",4,1,2.632774859989126,0.5474335444042706,TRUE,FALSE,-2.0853413155848557,High-CMT
Full,1.5C,R10REST_ASIA,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",4,1,0.18743333298539805,0.1059101422314797,TRUE,FALSE,-0.08152319075391835,High-CMT
Full,1.5C,R10REST_ASIA,POLES,inferred_retirements_GW,Inferred retired capacity,GW,4,1,3985.3473856609316,680.2902336865664,TRUE,FALSE,-3305.0571519743653,High-CMT
Full,1.5C,R10REST_ASIA,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",4,1,157.30747009742754,178.82308066176307,TRUE,FALSE,21.51561056433553,High-RE
Full,1.5C,R10REST_ASIA,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",4,1,223.44482570474958,253.0624300528904,TRUE,FALSE,29.617604348140816,High-RE
Full,1.5C,R10REST_ASIA,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",4,1,226.76630269883833,253.90737862484795,TRUE,FALSE,27.14107592600962,High-RE
Full,1.5C,R10REST_ASIA,REMIND,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",1,59,4.8879077395644375,8.955789158006768,TRUE,FALSE,4.06788141844233,High-RE
Full,1.5C,R10REST_ASIA,REMIND,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",1,59,4.273630005629334,9.610256564245093,TRUE,FALSE,5.336626558615759,High-RE
Full,1.5C,R10REST_ASIA,REMIND,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",1,59,0.21217839239618444,0.1889952094669936,TRUE,FALSE,-0.023183182929190832,High-CMT
Full,1.5C,R10REST_ASIA,REMIND,inferred_retirements_GW,Inferred retired capacity,GW,1,59,6644.148592880003,15698.47837,TRUE,FALSE,9054.329777119998,High-RE
Full,1.5C,R10REST_ASIA,REMIND,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",1,59,378.3099476305711,887.4043182537158,TRUE,FALSE,509.0943706231447,High-RE
Full,1.5C,R10REST_ASIA,REMIND,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",1,59,399.57094457144757,916.798927030205,TRUE,FALSE,517.2279824587574,High-RE
Full,1.5C,R10REST_ASIA,REMIND,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",1,59,404.458852311012,925.6130532942312,TRUE,FALSE,521.1542009832192,High-RE
Full,1.5C,R10REST_ASIA,WITCH,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",6,0,3.975073661861119,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10REST_ASIA,WITCH,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",6,0,3.907630623133845,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10REST_ASIA,WITCH,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",6,0,0.11364772088473972,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10REST_ASIA,WITCH,inferred_retirements_GW,Inferred retired capacity,GW,6,0,5588.433669089737,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10REST_ASIA,WITCH,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",6,0,199.87963977361565,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10REST_ASIA,WITCH,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",6,0,240.47368703948183,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10REST_ASIA,WITCH,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",6,0,244.44876070134296,NA,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,AIM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",20,11,7.480512001862544,1.4878880977876152,TRUE,TRUE,-5.992623904074929,High-CMT
Full,2C,Aggregated R10 regions,AIM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",20,11,5.790736088563326,0.6238973446299568,TRUE,TRUE,-5.166838743933369,High-CMT
Full,2C,Aggregated R10 regions,AIM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",20,11,0.5231172242663533,0.3727979983783659,TRUE,TRUE,-0.1503192258879874,High-CMT
Full,2C,Aggregated R10 regions,AIM,inferred_retirements_GW,Inferred retired capacity,GW,20,11,78906.90620999999,7879.488500000001,TRUE,TRUE,-71027.41770999998,High-CMT
Full,2C,Aggregated R10 regions,AIM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",20,11,251.6321172971503,288.78968540765413,TRUE,TRUE,37.15756811050383,High-RE
Full,2C,Aggregated R10 regions,AIM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",20,11,454.6132589447639,435.8868190892137,TRUE,TRUE,-18.72643985555021,High-CMT
Full,2C,Aggregated R10 regions,AIM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",20,11,462.0937709466265,437.088864357465,TRUE,TRUE,-25.004906589161465,High-CMT
Full,2C,Aggregated R10 regions,COFFEE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",0,8,NA,1.0898987621398621,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,COFFEE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",0,8,NA,0.5458466700380751,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,COFFEE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",0,8,NA,0.2690204131861008,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,COFFEE,inferred_retirements_GW,Inferred retired capacity,GW,0,8,NA,7546.685179228627,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,COFFEE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",0,8,NA,166.39936955041935,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,COFFEE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",0,8,NA,208.57970799518944,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,COFFEE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",0,8,NA,209.7117364026971,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,GCAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",3,4,8.09262326832654,8.925546525576097,TRUE,TRUE,0.8329232572495577,High-RE
Full,2C,Aggregated R10 regions,GCAM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",3,4,6.178911763865099,6.238265326851028,TRUE,TRUE,0.059353562985928754,High-RE
Full,2C,Aggregated R10 regions,GCAM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",3,4,0.5103893316935423,0.3359023484520173,TRUE,TRUE,-0.174486983241525,High-CMT
Full,2C,Aggregated R10 regions,GCAM,inferred_retirements_GW,Inferred retired capacity,GW,3,4,71440.5657393979,105323.1336206512,TRUE,TRUE,33882.5678812533,High-RE
Full,2C,Aggregated R10 regions,GCAM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",3,4,187.4773062204174,474.4576911552121,TRUE,TRUE,286.9803849347947,High-RE
Full,2C,Aggregated R10 regions,GCAM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",3,4,331.29072374052305,545.7341935723666,TRUE,TRUE,214.44346983184357,High-RE
Full,2C,Aggregated R10 regions,GCAM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",3,4,339.3833470088495,554.6597400979427,TRUE,TRUE,215.27639308909323,High-RE
Full,2C,Aggregated R10 regions,IMAGE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",45,2,3.160697529577076,8.44850489871225,TRUE,FALSE,5.287807369135173,High-RE
Full,2C,Aggregated R10 regions,IMAGE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",45,2,2.50627383751076,4.999928346425749,TRUE,FALSE,2.493654508914989,High-RE
Full,2C,Aggregated R10 regions,IMAGE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",45,2,0.41581342394254883,0.6885071601320388,TRUE,FALSE,0.27269373618949,High-RE
Full,2C,Aggregated R10 regions,IMAGE,inferred_retirements_GW,Inferred retired capacity,GW,45,2,28717.961925526473,89604.79968816425,TRUE,FALSE,60886.83776263778,High-RE
Full,2C,Aggregated R10 regions,IMAGE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",45,2,77.44867688650885,333.5689907310173,TRUE,FALSE,256.1203138445085,High-RE
Full,2C,Aggregated R10 regions,IMAGE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",45,2,251.3298576507713,522.3297855142857,TRUE,FALSE,270.9999278635145,High-RE
Full,2C,Aggregated R10 regions,IMAGE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",45,2,254.3194472940188,530.7782904129981,TRUE,FALSE,276.4588431189793,High-RE
Full,2C,Aggregated R10 regions,MESSAGEix,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",74,24,1.1361280551941795,1.1763283260025372,TRUE,TRUE,0.04020027080835775,High-RE
Full,2C,Aggregated R10 regions,MESSAGEix,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",74,24,0.5216093562910695,0.5304871795438917,TRUE,TRUE,0.008877823252822159,High-RE
Full,2C,Aggregated R10 regions,MESSAGEix,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",74,24,0.25619374339072487,0.2570604005473175,TRUE,TRUE,8.666571565926207e-4,High-RE
Full,2C,Aggregated R10 regions,MESSAGEix,inferred_retirements_GW,Inferred retired capacity,GW,74,24,7017.550884122837,7916.149591812426,TRUE,TRUE,898.598707689589,High-RE
Full,2C,Aggregated R10 regions,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",74,24,181.5853455644348,215.33525826568092,TRUE,TRUE,33.74991270124613,High-RE
Full,2C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",74,24,274.5241127376788,298.38315448994376,TRUE,TRUE,23.859041752264943,High-RE
Full,2C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",74,24,275.6231653103852,299.70008068001795,TRUE,TRUE,24.07691536963273,High-RE
Full,2C,Aggregated R10 regions,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",56,8,5.091468189475982,1.8159784137366766,TRUE,TRUE,-3.275489775739306,High-CMT
Full,2C,Aggregated R10 regions,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",56,8,3.691399349609535,1.1125152327584804,TRUE,TRUE,-2.5788841168510546,High-CMT
Full,2C,Aggregated R10 regions,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",56,8,0.4202327079864409,0.29287189308676737,TRUE,TRUE,-0.12736081489967355,High-CMT
Full,2C,Aggregated R10 regions,POLES,inferred_retirements_GW,Inferred retired capacity,GW,56,8,56802.02242574553,12424.543542225334,TRUE,TRUE,-44377.47888352019,High-CMT
Full,2C,Aggregated R10 regions,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",56,8,205.54438135653749,212.30252688024785,TRUE,TRUE,6.758145523710368,High-RE
Full,2C,Aggregated R10 regions,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",56,8,367.78297517172666,421.02474085718995,TRUE,TRUE,53.24176568546329,High-RE
Full,2C,Aggregated R10 regions,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",56,8,372.85672065391867,422.930662292531,TRUE,TRUE,50.073941638612325,High-RE
Full,2C,Aggregated R10 regions,REMIND,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",0,161,NA,5.928717218459501,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,REMIND,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",0,161,NA,5.2334053975761545,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,REMIND,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",0,161,NA,0.2551589560156855,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,REMIND,inferred_retirements_GW,Inferred retired capacity,GW,0,161,NA,89700.53465,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,REMIND,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",0,161,NA,534.2542364427001,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,REMIND,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",0,161,NA,596.6261443477628,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,REMIND,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",0,161,NA,602.3275150662467,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,TIAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",12,0,0.9655516952374246,NA,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,TIAM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",12,0,1.2819002305319347,NA,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,TIAM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",12,0,0.00329799763365565,NA,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,TIAM,inferred_retirements_GW,Inferred retired capacity,GW,12,0,20058.48637635185,NA,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,TIAM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",12,0,81.41048718389027,NA,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,TIAM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",12,0,103.49540532038165,NA,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,TIAM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",12,0,104.45879686184061,NA,FALSE,FALSE,NA,NA
Full,2C,Aggregated R10 regions,WITCH,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",2,16,6.070547123708815,1.3778758531306796,TRUE,FALSE,-4.692671270578136,High-CMT
Full,2C,Aggregated R10 regions,WITCH,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",2,16,5.732172636188828,0.6607650657624216,TRUE,FALSE,-5.071407570426406,High-CMT
Full,2C,Aggregated R10 regions,WITCH,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",2,16,0.34383243889608534,0.2824314560529019,TRUE,FALSE,-0.06140098284318346,High-CMT
Full,2C,Aggregated R10 regions,WITCH,inferred_retirements_GW,Inferred retired capacity,GW,2,16,70129.30634774212,8870.969888592315,TRUE,FALSE,-61258.33645914981,High-CMT
Full,2C,Aggregated R10 regions,WITCH,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",2,16,248.94964123284188,240.1081177058487,TRUE,FALSE,-8.841523526993171,High-CMT
Full,2C,Aggregated R10 regions,WITCH,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",2,16,377.15633388165253,322.4367544590174,TRUE,FALSE,-54.71957942263515,High-CMT
Full,2C,Aggregated R10 regions,WITCH,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",2,16,383.2268810053613,323.555643218059,TRUE,FALSE,-59.67123778730229,High-CMT
Full,2C,R10AFRICA,AIM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",20,11,1.969154395612966,0.16247282786667822,TRUE,TRUE,-1.8066815677462877,High-CMT
Full,2C,R10AFRICA,AIM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",20,11,1.888569378895018,0.03658964062824593,TRUE,TRUE,-1.851979738266772,High-CMT
Full,2C,R10AFRICA,AIM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",20,11,0.06921538040801184,0.01435173615815184,TRUE,TRUE,-0.05486364424986,High-CMT
Full,2C,R10AFRICA,AIM,inferred_retirements_GW,Inferred retired capacity,GW,20,11,4503.2737,160.7693,TRUE,TRUE,-4342.5044,High-CMT
Full,2C,R10AFRICA,AIM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",20,11,169.64119416422358,197.4491322389337,TRUE,TRUE,27.80793807471011,High-RE
Full,2C,R10AFRICA,AIM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",20,11,206.3212793782949,215.96699239914363,TRUE,TRUE,9.645713020848746,High-RE
Full,2C,R10AFRICA,AIM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",20,11,208.28747040626146,216.12382736592258,TRUE,TRUE,7.836356959661117,High-RE
Full,2C,R10AFRICA,COFFEE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",0,8,NA,0.28666997609644124,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,COFFEE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",0,8,NA,0.09872646270851004,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,COFFEE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",0,8,NA,0.017422799694460166,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,COFFEE,inferred_retirements_GW,Inferred retired capacity,GW,0,8,NA,321.53768117749996,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,COFFEE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",0,8,NA,109.27225916449261,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,COFFEE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",0,8,NA,112.54233732850926,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,COFFEE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",0,8,NA,112.83411823428038,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,GCAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",3,4,4.583866203057201,8.337344007156787,TRUE,TRUE,3.753477804099586,High-RE
Full,2C,R10AFRICA,GCAM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",3,4,2.7312576686363115,7.722515257343999,TRUE,TRUE,4.991257588707688,High-RE
Full,2C,R10AFRICA,GCAM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",3,4,0.07531698559781398,0.05502068482541862,TRUE,TRUE,-0.02029630077239536,High-CMT
Full,2C,R10AFRICA,GCAM,inferred_retirements_GW,Inferred retired capacity,GW,3,4,7237.991860305705,16938.870169200156,TRUE,TRUE,9700.878308894451,High-RE
Full,2C,R10AFRICA,GCAM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",3,4,230.4432050162031,921.3144887620213,TRUE,TRUE,690.8712837458181,High-RE
Full,2C,R10AFRICA,GCAM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",3,4,318.0133027983541,948.2402959997312,TRUE,TRUE,630.2269932013771,High-RE
Full,2C,R10AFRICA,GCAM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",3,4,322.59716900141126,956.577640006888,TRUE,TRUE,633.9804710054768,High-RE
Full,2C,R10AFRICA,IMAGE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",45,2,1.4642165294237122,6.150617468868427,TRUE,FALSE,4.686400939444715,High-RE
Full,2C,R10AFRICA,IMAGE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",45,2,1.1521396638581067,5.434789799279492,TRUE,FALSE,4.282650135421385,High-RE
Full,2C,R10AFRICA,IMAGE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",45,2,0.07189931249906661,0.08343955629443747,TRUE,FALSE,0.011540243795370858,High-RE
Full,2C,R10AFRICA,IMAGE,inferred_retirements_GW,Inferred retired capacity,GW,45,2,2601.0859577823685,12463.972551601888,TRUE,FALSE,9862.88659381952,High-RE
Full,2C,R10AFRICA,IMAGE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",45,2,120.70432841529595,711.5081403267297,TRUE,FALSE,590.8038119114337,High-RE
Full,2C,R10AFRICA,IMAGE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",45,2,218.10461894310876,781.0432444892007,TRUE,FALSE,562.9386255460919,High-RE
Full,2C,R10AFRICA,IMAGE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",45,2,219.30525283605692,787.1938619580692,TRUE,FALSE,567.8886091220122,High-RE
Full,2C,R10AFRICA,MESSAGEix,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",74,24,0.27044979564735894,0.24962265950168253,TRUE,TRUE,-0.02082713614567641,High-CMT
Full,2C,R10AFRICA,MESSAGEix,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",74,24,0.08857707587713162,0.06777986223916055,TRUE,TRUE,-0.020797213637971074,High-CMT
Full,2C,R10AFRICA,MESSAGEix,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",74,24,0.020729973242334707,0.019702814237189656,TRUE,TRUE,-0.0010271590051450508,High-CMT
Full,2C,R10AFRICA,MESSAGEix,inferred_retirements_GW,Inferred retired capacity,GW,74,24,318.1839279610515,285.8553092163259,TRUE,TRUE,-32.32861874472559,High-CMT
Full,2C,R10AFRICA,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",74,24,230.5531596201162,230.18753821806868,TRUE,TRUE,-0.36562140204750904,High-CMT
Full,2C,R10AFRICA,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",74,24,277.92875131535254,283.9998704812565,TRUE,TRUE,6.071119165903951,High-RE
Full,2C,R10AFRICA,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",74,24,278.7203485232954,284.2360933112783,TRUE,TRUE,5.5157447879828965,High-RE
Full,2C,R10AFRICA,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",56,8,2.520168944079896,0.24898773093779608,TRUE,TRUE,-2.2711812131421,High-CMT
Full,2C,R10AFRICA,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",56,8,2.1798922679716997,0.043853571058287494,TRUE,TRUE,-2.136038696913412,High-CMT
Full,2C,R10AFRICA,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",56,8,0.08844005422007589,0.011550213000610834,TRUE,TRUE,-0.07688984121946506,High-CMT
Full,2C,R10AFRICA,POLES,inferred_retirements_GW,Inferred retired capacity,GW,56,8,4966.172322265268,134.28665447235105,TRUE,TRUE,-4831.885667792917,High-CMT
Full,2C,R10AFRICA,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",56,8,310.0812297494937,318.1485541995454,TRUE,TRUE,8.067324450051728,High-RE
Full,2C,R10AFRICA,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",56,8,408.302374785551,388.02953374323846,TRUE,TRUE,-20.272841042312564,High-CMT
Full,2C,R10AFRICA,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",56,8,410.7495488927673,388.2758719981857,TRUE,TRUE,-22.47367689458156,High-CMT
Full,2C,R10AFRICA,REMIND,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",0,165,NA,3.4414410433153093,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,REMIND,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",0,165,NA,3.942357901704269,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,REMIND,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",0,165,NA,0.012550059461364798,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,REMIND,inferred_retirements_GW,Inferred retired capacity,GW,0,165,NA,9818.768527530001,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,REMIND,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",0,165,NA,822.0007723619939,FALSE,FALSE,NA,NA
Full,2C,R10AFRICA,REMIND,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",0,165,NA,855.6205701502475,FALSE,FALSE,NA,NA
