database,ambition_view,Region,model_family,metric,label,unit,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,comparable,robust_3_per_arm,raw_difference_high_re_minus_high_cmt,favours_more_employment
Full,1.5C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",25,3,294.1226111733909,435.7615650223265,TRUE,TRUE,141.6389538489356,High-RE
Full,1.5C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",25,3,295.36125574465535,440.3862565281169,TRUE,TRUE,145.02500078346156,High-RE
Full,1.5C,Aggregated R10 regions,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",4,1,5.605560969740801,1.60556928897884,TRUE,FALSE,-3.999991680761961,High-CMT
Full,1.5C,Aggregated R10 regions,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",4,1,4.390784201365546,1.0881556423953018,TRUE,FALSE,-3.3026285589702438,High-CMT
Full,1.5C,Aggregated R10 regions,POLES,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",4,1,0.398666493235015,0.2775633252999116,TRUE,FALSE,-0.1211031679351034,High-CMT
Full,1.5C,Aggregated R10 regions,POLES,inferred_retirements_GW,Inferred retired capacity,GW,4,1,63081.94474866183,12954.008148611014,TRUE,FALSE,-50127.936600050816,High-CMT
Full,1.5C,Aggregated R10 regions,POLES,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",4,1,260.9110656630321,261.35345564930424,TRUE,FALSE,0.4423899862721328,High-RE
Full,1.5C,Aggregated R10 regions,POLES,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",4,1,440.6390421911183,454.5190613389847,TRUE,FALSE,13.880019147866449,High-RE
Full,1.5C,Aggregated R10 regions,POLES,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",4,1,446.30488831787466,456.12463062796354,TRUE,FALSE,9.819742310088884,High-RE
Full,1.5C,Aggregated R10 regions,REMIND,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",1,59,4.567664641336618,7.614557143493024,TRUE,FALSE,3.046892502156406,High-RE
Full,1.5C,Aggregated R10 regions,REMIND,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",1,59,3.166869412154913,6.6009022846392,TRUE,FALSE,3.434032872484287,High-RE
Full,1.5C,Aggregated R10 regions,REMIND,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",1,59,0.28333146380498353,0.2451078942151064,TRUE,FALSE,-0.03822356958987713,High-CMT
Full,1.5C,Aggregated R10 regions,REMIND,inferred_retirements_GW,Inferred retired capacity,GW,1,59,52488.53908026,111048.25098000001,TRUE,FALSE,58559.71189974001,High-RE
Full,1.5C,Aggregated R10 regions,REMIND,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",1,59,327.3113397695073,708.0383569418038,TRUE,FALSE,380.72701717229654,High-RE
Full,1.5C,Aggregated R10 regions,REMIND,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",1,59,364.53015319265774,751.4479682604181,TRUE,FALSE,386.91781506776033,High-RE
Full,1.5C,Aggregated R10 regions,REMIND,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",1,59,369.0978178339944,757.5802846363026,TRUE,FALSE,388.48246680230824,High-RE
Full,1.5C,Aggregated R10 regions,WITCH,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",6,0,6.398678740891887,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,WITCH,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",6,0,6.6496189253657345,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,WITCH,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",6,0,0.3086157325929708,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,WITCH,inferred_retirements_GW,Inferred retired capacity,GW,6,0,83349.13592328856,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,WITCH,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",6,0,317.32907113966246,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,WITCH,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",6,0,437.5003306564473,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,WITCH,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",6,0,443.8990093973391,NA,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,AIM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",1,3,2.3000772509911718,0.16045125361825074,TRUE,FALSE,-2.139625997372921,High-CMT
Full,1.5C,R10AFRICA,AIM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",1,3,2.434284806902479,0.03858439387780064,TRUE,FALSE,-2.395700413024678,High-CMT
Full,1.5C,R10AFRICA,AIM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",1,3,0.07515772750024415,0.014016110812751736,TRUE,FALSE,-0.061141616687492406,High-CMT
Full,1.5C,R10AFRICA,AIM,inferred_retirements_GW,Inferred retired capacity,GW,1,3,5575.915440000001,166.55270000000004,TRUE,FALSE,-5409.3627400000005,High-CMT
Full,1.5C,R10AFRICA,AIM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",1,3,211.93813852368035,187.4636959543117,TRUE,FALSE,-24.474442569368648,High-CMT
Full,1.5C,R10AFRICA,AIM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",1,3,247.2309388844374,193.61519138116145,TRUE,FALSE,-53.61574750327594,High-CMT
Full,1.5C,R10AFRICA,AIM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",1,3,249.53101613542853,193.77241735653254,TRUE,FALSE,-55.75859877889599,High-CMT
Full,1.5C,R10AFRICA,GCAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",0,1,NA,7.839360765514298,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,GCAM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",0,1,NA,7.982832923374217,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,GCAM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",0,1,NA,0.0634176043865051,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,GCAM,inferred_retirements_GW,Inferred retired capacity,GW,0,1,NA,17317.985329901127,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,GCAM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",0,1,NA,1058.8380598148808,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,GCAM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",0,1,NA,1074.532867335656,FALSE,FALSE,NA,NA
Full,1.5C,R10AFRICA,GCAM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",0,1,NA,1082.3722281011703,FALSE,FALSE,NA,NA
