Model,Scenario,Region,Category,fuel,tech_group,inferred_retirements_GW,gross_additions_GW,plant_jobs_displaced_thousands,upstream_jobs_displaced_thousands,decommission_jobyears_thousands,absolute_balance_residual_GW,unexplained_additions_GW
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10INDIA+,C3,nuclear,Nuclear,33.263999999999996,49.5626,46.236959999999996,0,88.70567828693859,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10INDIA+,C3,oil,Fossil,4.3938,0,1.362078,0.03958099807499999,8.617402628633892,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10INDIA+,C3,solar_pv,Renewables,0,9635.770600000002,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10INDIA+,C3,wind_on,Renewables,3.3384999999999536,341.62659999999994,1.6692499999999768,0,0.28150845124834356,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,biomass,Bioenergy,0,118.75820000000002,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,coal,Fossil,16.7933,1.4690999999999974,12.133159249999999,37.50978415216884,78.01173113416823,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,gas,Fossil,105.76629999999999,0,54.22198596066005,0.014807282,129.08135227133255,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,geothermal,Renewables,0,5.704400000000001,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,hydro,Renewables,20.871899999999982,221.4602,15.063819479764637,0,30.617412394065564,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,nuclear,Nuclear,1.5816999999999997,1.1399999999999997,4.9365470364279584,0.06984391774999998,9.990536993570831,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,oil,Fossil,38.39920000000001,0,19.685673823331044,0.9894410066962402,178.37995308647814,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,solar_pv,Renewables,7.639700000000005,1022.9053,2.337748200000002,0,9.459062401767332,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,wind_on,Renewables,0,402.7425,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10MIDDLE_EAST,C3,biomass,Bioenergy,0.07570000000000005,70.6892,0.28535115000000016,0.003168802000000002,0.1193010295019237,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10MIDDLE_EAST,C3,coal,Fossil,12.975800000000001,10.836300000000001,3.8603005000000006,11.934157916662102,28.809285112860188,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10MIDDLE_EAST,C3,gas,Fossil,291.4377,84.27930000000003,194.2918000000001,0.011307782760000001,169.99509684843693,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10MIDDLE_EAST,C3,hydro,Renewables,0,26.824099999999994,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10MIDDLE_EAST,C3,nuclear,Nuclear,0.8495,0,1.0917210057726001,0.015446033750000001,2.564499215711121,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10MIDDLE_EAST,C3,oil,Fossil,89.3523,0,18.86179251306546,0.3707204016153847,198.3828269694213,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10MIDDLE_EAST,C3,solar_pv,Renewables,0,5194.5278,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10MIDDLE_EAST,C3,wind_on,Renewables,0,418.5944,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,biomass,Bioenergy,0,277.46689999999995,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,coal,Fossil,267.71029999999996,0,37.479442,19.667732329902798,352.0674857241464,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,gas,Fossil,408.6142,141.57160000000002,66.01725716536119,0.09602433699999999,141.17786790984093,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,geothermal,Renewables,0.8564999999999996,3.7001,0.50733701876735815,0,0.6470489733723468,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,hydro,Renewables,0,112.22129999999996,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,nuclear,Nuclear,18.739800000000002,259.1481,14.2963927354818,0.056313099000000005,33.5093989741997,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,oil,Fossil,7.384400000000001,4.672300000000002,1.1930516213384001,0.0738797478804,9.71127050988097,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,solar_pv,Renewables,0,3595.6007999999997,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,wind_on,Renewables,19.449499999999944,1277.3383999999999,4.084394999999988,0,1.0996974949418115,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,biomass,Bioenergy,0,53.6676,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,coal,Fossil,83.90090000000001,0,16.78018,55.118351632053255,107.18042613145958,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,gas,Fossil,81.97659999999999,12.713799999999992,8.197659999999999,0.0243880385,27.51256537702437,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,geothermal,Renewables,0,4.837400000000001,0,0,0,0,0
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,hydro,Renewables,0,14.034600000000005,0,0,0,0,0
