"Model","Scenario","Category","total_cdr","total_re","Ambition","cdr_thresh","re_thresh","high_cdr","high_re","Pathway_overlap","high_cdr_only","high_re_only","Pathway_excl","threshold_label"
"IMAGE 3.0","ENGAGE-INDCi2030-800f","C3",887538.712028109,812767.785044349,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.0","ENGAGE-INDCi2100","C4",472863.587221862,565048.573428677,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.0","ENGAGE-NPi2020-1000","C3",842848.044547377,683474.301139702,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.0","ENGAGE-NPi2020-1200","C4",810140.605251675,669224.327706253,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.0","ENGAGE-NPi2020-1400","C4",798889.138114873,652779.438378513,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.0","ENGAGE-NPi2020-1400f","C4",827021.237222786,667645.946700914,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.0","ENGAGE-NPi2020-3000","C4",643076.280085541,634028.200372592,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.0","ENGAGE-NPi2020-3000f","C4",643076.280085541,634028.200372592,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.0","ENGAGE-NPi2100","C4",284378.327722237,536517.112002437,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.0.1","SSP1-34","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"IMAGE 3.0.1","SSP1-45","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"IMAGE 3.0.1","SSP1-Baseline","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Default","C2",945220.52226963,1588856.51319239,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Default-LowBiomass","C1",1146296.93466715,2051418.10832005,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Lifestyle","C2",957721.025438778,1514239.10725892,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Lifestyle-Renewables","C2",1406398.2288187,2093442.17829837,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Renewables","C2",1049871.70154164,2635442.63858426,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Renewables-LowBiomass","C1",1252757.28115821,3142295.30906495,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,TRUE,TRUE,"Both High",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-26-Default","C3",700267.711472806,1482153.59831313,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-26-Lifestyle","C3",682403.118995186,1358639.41885895,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-26-Lifestyle-Renewables","C3",1018159.79604593,1792900.45793675,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,TRUE,"Both High",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-26-Renewables","C3",728478.48626138,2600647.9559622,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,TRUE,"Both High",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-34-Default","C3",344342.431489462,1524714.83168443,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-34-Lifestyle","C3",486865.631230238,1317649.97868909,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-34-Lifestyle-Renewables","C3",483321.219050652,2350496.07332979,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"IMAGE 3.2","SSP2021-SSP1-SPA1-34-Renewables","C3",302546.924158593,2539069.7579947,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA0-26-Default","C3",966850.008481895,862844.258967459,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA1-19-Default-LowBiomass","C1",1677755.82455086,1153913.8510039,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-19-Default","C2",1417157.08030829,1099454.02529209,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-19-Lifestyle","C1",1224476.98780122,1008660.30526297,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-19-Lifestyle-Renewables","C2",1282064.51223395,2551674.87706988,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-19-Renewables","C2",1334168.49513672,2645840.87325305,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,TRUE,TRUE,"Both High",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-26-Default","C3",1118489.20518413,933531.783439759,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-26-Lifestyle","C3",941965.447547248,797330.837959991,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-26-Lifestyle-Renewables","C3",976121.540940465,1777164.95425487,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,TRUE,"Both High",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-26-Renewables","C3",1174576.12734791,2074357.60617239,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,TRUE,"Both High",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-34-Default","C3",672687.619525106,876946.126232003,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-34-Lifestyle","C3",549981.026565024,767654.52946589,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-34-Lifestyle-Renewables","C3",642254.014341902,1973323.81353873,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,TRUE,"Both High",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-34-Renewables","C3",705641.955317788,1974767.80185279,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,TRUE,"Both High",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-45-Default","C4",139515.606362025,821962.912696191,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-45-Lifestyle","C4",333222.49472766,681934.114876183,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.2","SSP2021-SSP2-SPA2-45-Lifestyle-Renewables","C4",324905.306402484,1467597.3805989,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
