approach,Region,Ambition,outcome,n_models,median_model_effect,n_re_lower,n_re_higher
A,R10REF_ECON,1.5C (High-Ambition),net_re_jobs_per_1k,3,-64.60102116199101,2,1
A,R10REF_ECON,2C (Medium-Ambition),gap_GJ_pc,5,-0.18094921363716,3,2
A,R10REF_ECON,2C (Medium-Ambition),headcount_pct,5,0.006367834725188426,2,3
A,R10REF_ECON,2C (Medium-Ambition),net_re_jobs_per_1k,6,27.982067286640756,3,3
A,R10REST_ASIA,1.5C (High-Ambition),gap_GJ_pc,3,0.021403378875250012,1,2
A,R10REST_ASIA,1.5C (High-Ambition),headcount_pct,3,-0.5466046864074103,2,1
A,R10REST_ASIA,1.5C (High-Ambition),net_re_jobs_per_1k,3,8.634620306616995,1,2
A,R10REST_ASIA,2C (Medium-Ambition),gap_GJ_pc,5,-0.46943094761580006,4,1
A,R10REST_ASIA,2C (Medium-Ambition),headcount_pct,5,-0.49798979238486485,4,1
A,R10REST_ASIA,2C (Medium-Ambition),net_re_jobs_per_1k,6,40.28021653018749,1,5
C,Aggregated R10 regions,1.5C (High-Ambition),gap_GJ_pc,1,-1.0990343524941508,1,0
C,Aggregated R10 regions,1.5C (High-Ambition),headcount_pct,1,-0.645637089324901,1,0
C,Aggregated R10 regions,1.5C (High-Ambition),net_re_jobs_per_1k,1,269.506732005392,0,1
C,Aggregated R10 regions,2C (Medium-Ambition),gap_GJ_pc,1,-1.4665524903779517,1,0
C,Aggregated R10 regions,2C (Medium-Ambition),headcount_pct,1,-0.7966462637006702,1,0
C,Aggregated R10 regions,2C (Medium-Ambition),net_re_jobs_per_1k,1,186.155546325246,0,1
C,R10AFRICA,1.5C (High-Ambition),gap_GJ_pc,1,-2.568497081288399,1,0
C,R10AFRICA,1.5C (High-Ambition),headcount_pct,1,-2.6319556245145463,1,0
C,R10AFRICA,1.5C (High-Ambition),net_re_jobs_per_1k,1,491.53582911214596,0,1
C,R10AFRICA,2C (Medium-Ambition),gap_GJ_pc,1,-4.8857341857601995,1,0
