Model,Scenario,Category,Ambition,fossil_ccs,renewables,novel_cdr,engineered_cmt,cmt_high,re_high,high_cmt,high_re,Pathway,cmt_axis,portfolio_rule,approach
AIM/CGE V2.2,ENGAGE-INDCi2030-900f,C3,2C (Medium-Ambition),455822.4862,1928637.1643,0,455822.4862,335872.01218836295,1914001.2595672116,TRUE,TRUE,NA,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-INDCi2100,C4,2C (Medium-Ambition),422604.0961,1293248.6469999999,0,422604.0961,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-1000,C3,2C (Medium-Ambition),650563.8775,1824135.2392,0,650563.8775,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-1000f,C3,2C (Medium-Ambition),709840.3755,1755606.9144,0,709840.3755,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-1200,C3,2C (Medium-Ambition),711376.8371,1705643.62,0,711376.8371,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-1200f,C4,2C (Medium-Ambition),708024.0359,1665230.0655999999,0,708024.0359,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-1400,C4,2C (Medium-Ambition),696488.9916000001,1622322.9743,0,696488.9916000001,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-1400f,C4,2C (Medium-Ambition),685647.3573,1611005.7704999999,0,685647.3573,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-1600,C3,2C (Medium-Ambition),670823.5008,1540805.1032,0,670823.5008,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
AIM/CGE V2.2,ENGAGE-NPi2020-1600f,C3,2C (Medium-Ambition),671274.7675,1541651.689,0,671274.7675,335872.01218836295,1914001.2595672116,TRUE,FALSE,High-engineered-CMT,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,A
