approach,Region,Ambition,outcome,n_cmt,n_re,median_cmt,median_re,re_minus_cmt
A,R10NORTH_AM,1.5C (High-Ambition),net_re_jobs_per_1k,53,43,190.783524473276,344.593232282111,153.809707808835
A,R10NORTH_AM,2C (Medium-Ambition),gap_GJ_pc,217,222,7.06607416076594,8.048177192299164,0.9821030315332244
A,R10NORTH_AM,2C (Medium-Ambition),headcount_pct,217,222,1.80303957323076,2.0770919438463853,0.27405237061562526
A,R10NORTH_AM,2C (Medium-Ambition),net_re_jobs_per_1k,217,222,106.448299313048,209.393379759205,102.94508044615701
A,R10PAC_OECD,1.5C (High-Ambition),gap_GJ_pc,53,43,5.7378551696356,6.50062364092242,0.7627684712868197
A,R10PAC_OECD,1.5C (High-Ambition),headcount_pct,53,43,1.57361264950864,1.79117978244348,0.2175671329348401
A,R10PAC_OECD,1.5C (High-Ambition),net_re_jobs_per_1k,53,43,138.1258554540005,127.763850571982,-10.362004882018482
A,R10PAC_OECD,2C (Medium-Ambition),gap_GJ_pc,216,218,3.87906552200746,5.147554999351286,1.2684894773438256
A,R10PAC_OECD,2C (Medium-Ambition),headcount_pct,216,218,1.0507305181276,1.42499438761699,0.37426386948938983
A,R10PAC_OECD,2C (Medium-Ambition),net_re_jobs_per_1k,216,218,76.89548972914764,94.94427342569595,18.048783696548313
A,R10REF_ECON,1.5C (High-Ambition),gap_GJ_pc,53,43,1.87263462945466,1.95986009250957,0.08722546305490986
A,R10REF_ECON,1.5C (High-Ambition),headcount_pct,53,43,0.758233801628801,0.67143191324741,-0.08680188838139102
A,R10REF_ECON,1.5C (High-Ambition),net_re_jobs_per_1k,53,43,503.39426950570396,879.043640954802,375.649371449098
A,R10REF_ECON,2C (Medium-Ambition),gap_GJ_pc,217,222,1.15018210389208,1.3912903518564401,0.24110824796436003
A,R10REF_ECON,2C (Medium-Ambition),headcount_pct,217,222,0.4499378985607005,0.514844375328162,0.06490647676746147
A,R10REF_ECON,2C (Medium-Ambition),net_re_jobs_per_1k,217,222,297.827126375474,600.9110268784565,303.0839005029825
A,R10REST_ASIA,1.5C (High-Ambition),gap_GJ_pc,53,43,10.6536473314479,8.33412220666363,-2.3195251247842705
A,R10REST_ASIA,1.5C (High-Ambition),headcount_pct,53,43,4.79511733358077,3.85289950607219,-0.9422178275085806
A,R10REST_ASIA,1.5C (High-Ambition),net_re_jobs_per_1k,53,43,170.70017255593552,836.821919590924,666.1217470349885
A,R10REST_ASIA,2C (Medium-Ambition),gap_GJ_pc,216,222,3.82732164573022,6.843588964968831,3.0162673192386107
A,R10REST_ASIA,2C (Medium-Ambition),headcount_pct,216,222,2.05050197042548,3.067067216272535,1.016565245847055
