Model,Scenario
REMIND-MAgPIE 1.7-3.0,COMMIT-2<U+00B0>C-2020
REMIND-MAgPIE 1.7-3.0,COMMIT-2<U+00B0>C-2030
REMIND-MAgPIE 1.7-3.0,COMMIT-Baseline
REMIND-MAgPIE 1.7-3.0,COMMIT-Bridge
REMIND-MAgPIE 1.7-3.0,COMMIT-Current-Policies
REMIND-MAgPIE 1.7-3.0,COMMIT-GPP
REMIND-MAgPIE 1.7-3.0,COMMIT-NDCplus
REMIND-MAgPIE 1.7-3.0,PEP-1.5<U+00B0>C-Full-CDR-Cost-Effective
REMIND-MAgPIE 1.7-3.0,PEP-1.5<U+00B0>C-Full-CDR-Good-Practice
REMIND-MAgPIE 1.7-3.0,PEP-1.5<U+00B0>C-Full-CDR-NDC
REMIND-MAgPIE 1.7-3.0,PEP-1.5<U+00B0>C-Full-CDR-NetZero
REMIND-MAgPIE 1.7-3.0,PEP-1.5<U+00B0>C-Reduced-CDR-Cost-Effective
REMIND-MAgPIE 1.7-3.0,PEP-2<U+00B0>C-Full-CDR-Cost-Effective
REMIND-MAgPIE 1.7-3.0,PEP-2<U+00B0>C-Full-CDR-Good-Practice
REMIND-MAgPIE 1.7-3.0,PEP-2<U+00B0>C-Full-CDR-NDC
REMIND-MAgPIE 1.7-3.0,PEP-2<U+00B0>C-Full-CDR-NetZero
REMIND-MAgPIE 1.7-3.0,PEP-2<U+00B0>C-Reduced-CDR-Cost-Effective
REMIND-MAgPIE 1.7-3.0,PEP-2<U+00B0>C-Reduced-CDR-Good-Practice
REMIND-MAgPIE 1.7-3.0,PEP-2<U+00B0>C-Reduced-CDR-NDC
REMIND-MAgPIE 1.7-3.0,PEP-2<U+00B0>C-Reduced-CDR-NetZero
REMIND-MAgPIE 1.7-3.0,PEP-Good-Practice
REMIND-MAgPIE 1.7-3.0,PEP-NDC
REMIND-MAgPIE 1.7-3.0,PEP-NPi
REMIND-MAgPIE 1.7-3.0,PEP-NetZero
REMIND-MAgPIE 1.7-3.0,PEP-NoPolicy
REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-hybrid-def
REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-no-transfer-def
REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-uniform-pricing-def
REMIND-MAgPIE 2.0-4.1,Diff-NoPolicy-Baseline
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP1-1.5<U+00B0>C-minCDR
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-1.5<U+00B0>C-fullCDR
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-1.5<U+00B0>C-minCDR
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-2.0<U+00B0>C-fullCDR
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-2.0<U+00B0>C-minCDR
REMIND-MAgPIE 2.1-4.2,CEMICS-SSP2-Npi
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1000
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1000-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1000-COV-NDCp
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1000-NDCp
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1000f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1000f-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1000f-COV-NDCp
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1000f-NDCp
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1200
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1200f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1400
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1400f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1600
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1600f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1800
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-1800f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-2000
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-2000f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-2500
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-2500f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-3000
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-3000f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-300f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-400f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-500f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-600-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-600-COV-NDCp
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-600f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-600f-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-600f-COV-NDCp
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-600f-NDCp
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-700
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-700f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-800
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-800f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-900
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2030-900f
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2100
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2100-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2100-COV-NDCp
REMIND-MAgPIE 2.1-4.2,ENGAGE-INDCi2100-NDCp
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1000
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1000-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1000f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1000f-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1200
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1200f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1400
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1400f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1600
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1600f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1800
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-1800f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-2000
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-2000f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-200f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-2500
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-2500f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-3000
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-3000f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-300f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-400
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-400f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-500
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-500f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-600
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-600-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-600f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-600f-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-700
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-700f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-800
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-800f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-900
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2020-900f
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2100
REMIND-MAgPIE 2.1-4.2,ENGAGE-NPi2100-COV
REMIND-MAgPIE 2.1-4.2,ENGAGE-NoPolicy
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2<U+00B0>C
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2<U+00B0>C [IPD 95th]
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Below 2<U+00B0>C [IPD Median]
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Nationally Determined Contributions (NDCs)
REMIND-MAgPIE 2.1-4.2,SusDev-SSP1-900
REMIND-MAgPIE 2.1-4.2,SusDev-SSP1-NDC
REMIND-MAgPIE 2.1-4.2,SusDev-SSP2-900
REMIND-MAgPIE 2.1-4.2,SusDev-SSP2-NDC
REMIND-MAgPIE 2.1-4.2,SusDev-SSP2-NPi
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-Baseline
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-Default-1300
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-HighRenewables-1100
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-HighRenewables-1300
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-HighRenewables-900
REMIND-MAgPIE 2.1-4.3,DeepElectrification-SSP2-NPi
REMIND-MAgPIE 3.2-4.6,SHAPE-SSP1-1.5<U+00B0>C
REMIND-MAgPIE 3.2-4.6,SHAPE-SSP2-NPi
REMIND-MAgPIE 3.2-4.6,SHAPE-SSP2-NPi [with Climate Change Impacts]
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-500
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-500-with-OAE
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2<U+00B0>C
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Current Policies
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Fragmented World
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Nationally Determined Contributions (NDCs)
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050
REMIND-Transport 2.1,Transport-1100-Conventional
REMIND-Transport 2.1,Transport-1100-Conventional-LowDemand
REMIND-Transport 2.1,Transport-1100-Conventional-SynFuel
REMIND-Transport 2.1,Transport-1100-Electrification
REMIND-Transport 2.1,Transport-1100-Electrification-LowDemand
REMIND-Transport 2.1,Transport-1100-H2
REMIND-Transport 2.1,Transport-NDC-Conventional
REMIND-Transport 2.1,Transport-NPi-Conventional
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-COV
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-NDCp
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-COV
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-NDCp
TIAM-ECN 1.1,ENGAGE-INDCi2030-1200
TIAM-ECN 1.1,ENGAGE-INDCi2030-1200f
TIAM-ECN 1.1,ENGAGE-INDCi2030-1400f
TIAM-ECN 1.1,ENGAGE-INDCi2030-900
TIAM-ECN 1.1,ENGAGE-INDCi2030-900f
TIAM-ECN 1.1,ENGAGE-NPi2020-1000
TIAM-ECN 1.1,ENGAGE-NPi2020-1000-COV
TIAM-ECN 1.1,ENGAGE-NPi2020-1000f
TIAM-ECN 1.1,ENGAGE-NPi2020-1000f-COV
TIAM-ECN 1.1,ENGAGE-NPi2020-1200
TIAM-ECN 1.1,ENGAGE-NPi2020-1200f
TIAM-ECN 1.1,ENGAGE-NPi2020-800
TIAM-ECN 1.1,ENGAGE-NPi2020-800f
TIAM-ECN 1.1,ENGAGE-NPi2020-900
TIAM-ECN 1.1,ENGAGE-NPi2020-900f
WITCH 5.0,COMMIT-2<U+00B0>C-2020
WITCH 5.0,COMMIT-2<U+00B0>C-2030
WITCH 5.0,COMMIT-Bridge
WITCH 5.0,ENGAGE-Feasibility-1000/Cost-Effective
WITCH 5.0,ENGAGE-Feasibility-1000/Institutional
WITCH 5.0,ENGAGE-Feasibility-1000/Technology
WITCH 5.0,ENGAGE-Feasibility-1000/Technology & Institutional
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Institutional
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Institutional [Optimistic]
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional [Optimistic]
WITCH 5.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional [Pessimistic]
WITCH 5.0,ENGAGE-INDCi2030-1000
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp
WITCH 5.0,ENGAGE-INDCi2030-1000f
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp
WITCH 5.0,ENGAGE-INDCi2030-1200
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp
WITCH 5.0,ENGAGE-INDCi2030-1200f
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp
WITCH 5.0,ENGAGE-INDCi2030-1400
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp
WITCH 5.0,ENGAGE-INDCi2030-1400f
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp
WITCH 5.0,ENGAGE-INDCi2030-1600
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp
WITCH 5.0,ENGAGE-INDCi2030-1600f
WITCH 5.0,ENGAGE-INDCi2030-1600f-NDCp
WITCH 5.0,ENGAGE-INDCi2030-1800
WITCH 5.0,ENGAGE-INDCi2030-1800-NDCp
WITCH 5.0,ENGAGE-INDCi2030-1800f
WITCH 5.0,ENGAGE-INDCi2030-1800f-NDCp
WITCH 5.0,ENGAGE-INDCi2030-2000
WITCH 5.0,ENGAGE-INDCi2030-2000-NDCp
WITCH 5.0,ENGAGE-INDCi2030-2000f
WITCH 5.0,ENGAGE-INDCi2030-2000f-NDCp
WITCH 5.0,ENGAGE-INDCi2030-2500-NDCp
WITCH 5.0,ENGAGE-INDCi2030-2500f-NDCp
WITCH 5.0,ENGAGE-INDCi2030-500f
WITCH 5.0,ENGAGE-INDCi2100
WITCH 5.0,ENGAGE-NPi2020-400f
WITCH 5.0,ENGAGE-NPi2020-450
WITCH 5.0,ENGAGE-NPi2020-450f
WITCH 5.0,ENGAGE-NPi2020-500
WITCH 5.0,ENGAGE-NPi2020-500f
WITCH 5.0,ENGAGE-NPi2020-900
WITCH 5.0,NAVIGATE Demand-1.5<U+00B0>C-ele_u
WITCH 5.0,NAVIGATE Demand-1.5<U+00B0>C-ref
WITCH 5.0,NAVIGATE Demand-2.0<U+00B0>C-ele_u
WITCH 5.0,NAVIGATE Demand-2.0<U+00B0>C-ref
WITCH 5.0,NAVIGATE Demand-NPi-ele
WITCH 5.0,NAVIGATE Demand-NPi-ref
