Model,Scenario
GEM-E3 V2021,ENGAGE-INDCi2030-1000-COV
GEM-E3 V2021,ENGAGE-INDCi2030-1000-COV-NDCp
GEM-E3 V2021,ENGAGE-INDCi2030-1000-NDCp
GEM-E3 V2021,ENGAGE-INDCi2030-1000f
GEM-E3 V2021,ENGAGE-INDCi2030-1000f-COV
GEM-E3 V2021,ENGAGE-INDCi2030-1000f-COV-NDCp
GEM-E3 V2021,ENGAGE-INDCi2030-1000f-NDCp
GEM-E3 V2021,ENGAGE-INDCi2030-1400
GEM-E3 V2021,ENGAGE-INDCi2030-1400f
GEM-E3 V2021,ENGAGE-INDCi2030-1800
GEM-E3 V2021,ENGAGE-INDCi2030-1800f
GEM-E3 V2021,ENGAGE-INDCi2030-800
GEM-E3 V2021,ENGAGE-NPi2020-1000
GEM-E3 V2021,ENGAGE-NPi2020-1000-COV
GEM-E3 V2021,ENGAGE-NPi2020-1000f
GEM-E3 V2021,ENGAGE-NPi2020-1000f-COV
GEM-E3 V2021,ENGAGE-NPi2020-1400
GEM-E3 V2021,ENGAGE-NPi2020-1400f
GEM-E3 V2021,ENGAGE-NPi2020-1800
GEM-E3 V2021,ENGAGE-NPi2020-1800f
GEM-E3 V2021,ENGAGE-NPi2020-600
GEM-E3 V2021,ENGAGE-NPi2020-600f
GEM-E3 V2021,ENGAGE-NPi2020-800
GEM-E3 V2021,ENGAGE-NPi2020-800f
IMAGE 3.0,COMMIT-2<U+00B0>C-2020
IMAGE 3.0,COMMIT-2<U+00B0>C-2030
IMAGE 3.0,COMMIT-Bridge
IMAGE 3.0,ENGAGE-INDCi2030-1000
IMAGE 3.0,ENGAGE-INDCi2030-1000f
IMAGE 3.0,ENGAGE-INDCi2030-1200
IMAGE 3.0,ENGAGE-INDCi2030-1200f
IMAGE 3.0,ENGAGE-INDCi2030-1400
IMAGE 3.0,ENGAGE-INDCi2030-1400f
IMAGE 3.0,ENGAGE-INDCi2030-3000
IMAGE 3.0,ENGAGE-INDCi2030-3000f
IMAGE 3.0,ENGAGE-INDCi2030-800f
IMAGE 3.0,ENGAGE-NPi2020-1000
IMAGE 3.0,ENGAGE-NPi2020-1000f
IMAGE 3.0,ENGAGE-NPi2020-1200
IMAGE 3.0,ENGAGE-NPi2020-1200f
IMAGE 3.0,ENGAGE-NPi2020-1400
IMAGE 3.0,ENGAGE-NPi2020-1400f
IMAGE 3.0,ENGAGE-NPi2020-3000
IMAGE 3.0,ENGAGE-NPi2020-3000f
IMAGE 3.0,ENGAGE-NPi2020-600f
IMAGE 3.0,ENGAGE-NPi2020-800
IMAGE 3.0,ENGAGE-NPi2020-800f
IMAGE 3.2,ENGAGE-Feasibility-1000/Cost-Effective
IMAGE 3.2,ENGAGE-Feasibility-1000/Institutional
IMAGE 3.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective
IMAGE 3.2,ENGAGE-Feasibility-Maximum-Effort/Institutional
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default-LowBiomass
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables-LowBiomass
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables-LowBiomass
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables
IMAGE 3.2,SSP2021-SSP1-SPA1-34-Lifestyle-Renewables
IMAGE 3.2,SSP2021-SSP1-SPA1-34-Renewables
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default
IMAGE 3.2,SSP2021-SSP2-SPA1-19-Default-LowBiomass
IMAGE 3.2,SSP2021-SSP2-SPA1-19-Lifestyle-Renewables-LowBiomass
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Default
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Lifestyle
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Lifestyle-Renewables
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables
IMAGE 3.2,SSP2021-SSP2-SPA2-34-Default
IMAGE 3.2,SSP2021-SSP2-SPA2-34-Lifestyle-Renewables
IMAGE 3.2,SSP2021-SSP2-SPA2-45-Renewables
IMAGE 3.3,GEO7-Behavioural Focused Pathway
IMAGE 3.3,GEO7-Technology Focused Pathway
IMAGE 3.3,NAVIGATE Demand-1.5<U+00B0>C-act_u
IMAGE 3.3,NAVIGATE Demand-1.5<U+00B0>C-all_u
IMAGE 3.3,NAVIGATE Demand-1.5<U+00B0>C-ref
IMAGE 3.3,NAVIGATE Demand-1.5<U+00B0>C-tec_u
IMAGE 3.3,NAVIGATE Demand-2.0<U+00B0>C-act_u
IMAGE 3.3,NAVIGATE Demand-2.0<U+00B0>C-all_u
IMAGE 3.3,NAVIGATE Demand-2.0<U+00B0>C-ele_u
