"Model","Scenario","Category","total_cdr","total_re","Ambition","cdr_thresh","re_thresh","high_cdr","high_re","Pathway_overlap","high_cdr_only","high_re_only","Pathway_excl","threshold_label"
"AIM/CGE V2.2","ENGAGE-Feasibility-1000/Enablers & Institutional","C3",202574.5237,2391191.705,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"AIM/CGE V2.2","ENGAGE-Feasibility-1000/Institutional","C3",257345.3409,2915637.2769,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","C3",193217.4237,3389935.366,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","C2",104419.9692,2876115.9333,"1.5C (High-Ambition)",511882.90914693,2771556.31926819,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Institutional","C3",125594.5322,3824299.616,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"AIM/CGE V2.2","ENGAGE-Feasibility-Maximum-Effort/Cost-Effective","C1",339720.1469,2958169.4917,"1.5C (High-Ambition)",511882.90914693,2771556.31926819,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"AIM/CGE V2.2","ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional","C3",200139.0403,2408540.9477,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"AIM/CGE V2.2","ENGAGE-Feasibility-Maximum-Effort/Institutional","C2",153405.0805,3260817.7052,"1.5C (High-Ambition)",511882.90914693,2771556.31926819,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"AIM/CGE V2.2","ENGAGE-Feasibility-Maximum-Effort/Technology","C3",227800.6283,3273241.3328,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3",475713.9547,1887149.9563,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4",506735.7401,1817130.6943,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4",592587.4066,1735293.2243,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1400","C4",652574.9155,1628170.807,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1400f","C4",658044.7038,1596562.8623,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1600","C3",645334.7052,1556058.7791,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1600f","C3",636360.7656,1540557.388,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1800","C3",618567.0054,1486736.4456,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1800f","C3",618567.0054,1486736.4456,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3",458822.7462,1950620.2386,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
