database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,High-CMT,High-RE,n_High-CMT,n_High-RE,raw_advantage_high_re,direction
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10CHINA+,gap_GJ_pc,5.390547785033842,4.632345406450538,226,230,0.7582023785833041,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10CHINA+,headcount_pct,2.2923173887444133,2.0788425977831873,226,230,0.213474790961226,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10EUROPE,gap_GJ_pc,0.02483834443521787,0.012389526522243415,226,230,0.012448817912974456,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10EUROPE,headcount_pct,0.014366675792836917,0.009368781315536222,226,230,0.004997894477300695,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10INDIA+,gap_GJ_pc,0.8523975129525247,0.32031078995763296,223,230,0.5320867229948918,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10INDIA+,headcount_pct,0.5104853056852561,0.255711917960964,223,230,0.2547733877242921,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10LATIN_AM,gap_GJ_pc,28.337803783127978,20.57910777930372,226,230,7.758696003824259,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10LATIN_AM,headcount_pct,8.188932652431514,5.807789751770178,226,230,2.3811429006613363,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10MIDDLE_EAST,gap_GJ_pc,0.4343604758032105,1.0816876698167173,223,230,-0.6473271940135068,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10MIDDLE_EAST,headcount_pct,0.288836262349203,0.4003813123044586,223,230,-0.1115450499552556,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10NORTH_AM,gap_GJ_pc,0.008023292289277175,0.010630152341944268,226,230,-0.0026068600526670937,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10NORTH_AM,headcount_pct,0.0034137373985245033,0.005434264139860414,226,230,-0.002020526741335911,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10PAC_OECD,gap_GJ_pc,0.020234304997387785,0.048790181240425244,223,226,-0.02855587624303746,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10PAC_OECD,headcount_pct,0.00965619348095251,0.03792317113908089,223,226,-0.028266977658128384,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REF_ECON,gap_GJ_pc,1.9971935841489188,2.0960526658062646,226,230,-0.0988590816573458,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REF_ECON,headcount_pct,0.7342872014415587,0.7594591537682119,226,230,-0.025171952326653257,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REST_ASIA,gap_GJ_pc,2.252153638510991,4.936922772606247,223,230,-2.6847691340952555,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,2C,R10REST_ASIA,headcount_pct,1.7041041076324857,1.795079711024987,223,230,-0.09097560339250133,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,Aggregated R10 regions,gap_GJ_pc,7.690865075573445,5.431363169855971,293,297,2.2595019057174737,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,Aggregated R10 regions,headcount_pct,2.793603442999915,1.9760026651341949,293,297,0.8176007778657202,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10AFRICA,gap_GJ_pc,21.02541641980898,12.466650568205157,290,297,8.558765851603823,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10AFRICA,headcount_pct,5.410653232647063,3.6883274017378835,290,297,1.7223258309091798,High-RE
