database,ambition,Region,outcome,baseline_advantage,baseline_direction,min_advantage,max_advantage,n_specs,n_high_re,n_high_cmt,n_tie,direction_stable
Full,2C,R10PAC_OECD,gap_GJ_pc,-0.27052621397903354,High-CMT,-6.956968869882456,-7.150382783423859e-4,27,0,27,0,TRUE
Full,2C,R10PAC_OECD,headcount_pct,-0.19768317488162634,High-CMT,-3.0474977991067878,-8.321592590215778e-4,27,0,27,0,TRUE
Full,2C,R10REF_ECON,gap_GJ_pc,-0.24711292859597123,High-CMT,-1.7946967348376006,-0.01486767171477732,27,0,27,0,TRUE
Full,2C,R10REF_ECON,headcount_pct,-0.08289680884289474,High-CMT,-0.2525345741791458,0.08223602647088057,27,2,25,0,FALSE
Full,2C,R10REST_ASIA,gap_GJ_pc,-9.101062851295078,High-CMT,-34.66302612806728,-1.0133141358516424,27,0,27,0,TRUE
Full,2C,R10REST_ASIA,headcount_pct,0.19951953732853678,High-RE,-0.41142933651885794,1.3294600408219175,27,17,10,0,FALSE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,6.269259160818862,High-RE,0.8514434050589998,18.350517955015803,27,27,0,0,TRUE
Full,All ambitions,Aggregated R10 regions,headcount_pct,1.5877179421841436,High-RE,0.3744058824557276,3.166309173713003,27,27,0,0,TRUE
Full,All ambitions,R10AFRICA,gap_GJ_pc,26.830140756602077,High-RE,3.6694480567857353,90.56885873480022,27,27,0,0,TRUE
Full,All ambitions,R10AFRICA,headcount_pct,3.4562792381223364,High-RE,0.8424294245427069,6.964549925729401,27,27,0,0,TRUE
Full,All ambitions,R10CHINA+,gap_GJ_pc,2.732695502490568,High-RE,0.3465964639730317,11.211209199413616,27,27,0,0,TRUE
Full,All ambitions,R10CHINA+,headcount_pct,0.6034040902140676,High-RE,0.1421132216240948,1.1899623266723403,27,27,0,0,TRUE
Full,All ambitions,R10EUROPE,gap_GJ_pc,0.1930056384340959,High-RE,2.0032767937829324e-4,4.204336398118896,27,27,0,0,TRUE
Full,All ambitions,R10EUROPE,headcount_pct,0.05219455052084958,High-RE,1.4162577709183913e-4,0.38298607215485236,27,27,0,0,TRUE
Full,All ambitions,R10INDIA+,gap_GJ_pc,3.5697636807043693,High-RE,0.07902484595312353,26.01935281796013,27,27,0,0,TRUE
Full,All ambitions,R10INDIA+,headcount_pct,1.1621942733590402,High-RE,0.057688039503847766,4.44780000146075,27,27,0,0,TRUE
Full,All ambitions,R10LATIN_AM,gap_GJ_pc,22.095439453468913,High-RE,4.3069138721610525,62.91937060517634,27,27,0,0,TRUE
Full,All ambitions,R10LATIN_AM,headcount_pct,4.776926007783995,High-RE,1.4231783695916511,7.497759824342818,27,27,0,0,TRUE
Full,All ambitions,R10MIDDLE_EAST,gap_GJ_pc,-2.3921173947973795,High-CMT,-14.938717169783416,-0.1238385008347857,27,0,27,0,TRUE
Full,All ambitions,R10MIDDLE_EAST,headcount_pct,-0.2554402044047108,High-CMT,-0.4643749918519693,-0.027243178157688563,27,0,27,0,TRUE
Full,All ambitions,R10NORTH_AM,gap_GJ_pc,0.04568414616596478,High-RE,-0.005553574537454864,0.7204029848566273,27,26,1,0,FALSE
Full,All ambitions,R10NORTH_AM,headcount_pct,0.004449338684131665,High-RE,-0.18896540968173392,0.0416889751166889,27,18,9,0,FALSE
Full,All ambitions,R10PAC_OECD,gap_GJ_pc,-0.2663708469065326,High-CMT,-6.354406673611162,-7.057422733207851e-4,27,0,27,0,TRUE
Full,All ambitions,R10PAC_OECD,headcount_pct,-0.20435610428182763,High-CMT,-3.036674452030248,-8.314933652240632e-4,27,0,27,0,TRUE
Full,All ambitions,R10REF_ECON,gap_GJ_pc,0.08773021217422006,High-RE,-0.7297268300700139,5.164327183630419,27,15,12,0,FALSE
Full,All ambitions,R10REF_ECON,headcount_pct,0.1187578275765282,High-RE,-0.06656965883352406,0.9941316300034551,27,21,6,0,FALSE
Full,All ambitions,R10REST_ASIA,gap_GJ_pc,-9.318857784002208,High-CMT,-35.910628981523985,-1.0340778397760733,27,0,27,0,TRUE
Full,All ambitions,R10REST_ASIA,headcount_pct,0.1901687921299553,High-RE,-0.40183590865284113,1.2730508687625353,27,15,12,0,FALSE
SCI-vetted,1.5C,Aggregated R10 regions,gap_GJ_pc,4.0185708688570685,High-RE,0.6159996005363126,19.627984428223115,27,27,0,0,TRUE
SCI-vetted,1.5C,Aggregated R10 regions,headcount_pct,0.9106591919677314,High-RE,0.23301853798616978,2.6388919375817963,27,27,0,0,TRUE
SCI-vetted,1.5C,R10AFRICA,gap_GJ_pc,7.189876632347307,High-RE,1.0476187558565897,32.102134713094415,27,27,0,0,TRUE
SCI-vetted,1.5C,R10AFRICA,headcount_pct,1.4710241331709657,High-RE,0.32545855512194555,4.050412053060619,27,27,0,0,TRUE
SCI-vetted,1.5C,R10CHINA+,gap_GJ_pc,2.1938863377654485,High-RE,0.38316512777962064,5.366124882936219,27,27,0,0,TRUE
SCI-vetted,1.5C,R10CHINA+,headcount_pct,0.38741230570196983,High-RE,0.16464971547097162,0.5726771285065828,27,27,0,0,TRUE
SCI-vetted,1.5C,R10EUROPE,gap_GJ_pc,0.5624003249007081,High-RE,4.4828803230830255e-4,19.65724006959476,27,27,0,0,TRUE
SCI-vetted,1.5C,R10EUROPE,headcount_pct,0.314685004880223,High-RE,3.2937028827283925e-4,4.017733353605113,27,27,0,0,TRUE
SCI-vetted,1.5C,R10INDIA+,gap_GJ_pc,2.5120105716047076,High-RE,0.06300103983450445,12.350081165112218,27,27,0,0,TRUE
SCI-vetted,1.5C,R10INDIA+,headcount_pct,1.010263010508372,High-RE,0.04066175304781247,2.879654000106215,27,27,0,0,TRUE
SCI-vetted,1.5C,R10LATIN_AM,gap_GJ_pc,32.634605764794415,High-RE,4.8982839914162035,95.10083783560327,27,27,0,0,TRUE
SCI-vetted,1.5C,R10LATIN_AM,headcount_pct,6.869461045583908,High-RE,2.048278758196466,10.5526623627458,27,27,0,0,TRUE
SCI-vetted,1.5C,R10MIDDLE_EAST,gap_GJ_pc,-0.5634332089047054,High-CMT,-3.7726969431920594,0.06085133147788735,27,3,24,0,FALSE
SCI-vetted,1.5C,R10MIDDLE_EAST,headcount_pct,0.4018140988043668,High-RE,-0.005339303672009819,2.6479136679359616,27,26,1,0,FALSE
SCI-vetted,1.5C,R10NORTH_AM,gap_GJ_pc,0.7003962581456395,High-RE,3.6809608802247e-4,19.884332625042738,27,27,0,0,TRUE
SCI-vetted,1.5C,R10NORTH_AM,headcount_pct,0.21268029048507148,High-RE,2.6951897257000506e-4,2.374330546908766,27,27,0,0,TRUE
SCI-vetted,1.5C,R10PAC_OECD,gap_GJ_pc,0.37022627462179936,High-RE,0.0011192362531131904,7.091137742708636,27,27,0,0,TRUE
SCI-vetted,1.5C,R10PAC_OECD,headcount_pct,0.007681349338213128,High-RE,-0.6912889521927417,0.13117176745972192,27,14,13,0,FALSE
SCI-vetted,1.5C,R10REF_ECON,gap_GJ_pc,3.754933814006332,High-RE,0.1456929018903505,24.797171098260236,27,27,0,0,TRUE
SCI-vetted,1.5C,R10REF_ECON,headcount_pct,0.9063779451706351,High-RE,0.05934283434374808,2.969134393048938,27,27,0,0,TRUE
