database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,Pathway,n_scenarios,median
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10NORTH_AM,headcount_pct,High-RE,67,0.006009275610724295
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10PAC_OECD,gap_GJ_pc,High-CMT,67,0.04445264638241622
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10PAC_OECD,gap_GJ_pc,High-RE,67,0.06313255987085044
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10PAC_OECD,headcount_pct,High-CMT,67,0.028740438039131577
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10PAC_OECD,headcount_pct,High-RE,67,0.04719641437956645
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REF_ECON,gap_GJ_pc,High-CMT,67,2.8722121045233653
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REF_ECON,gap_GJ_pc,High-RE,67,2.2402709836879713
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REF_ECON,headcount_pct,High-CMT,67,1.105931710387289
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REF_ECON,headcount_pct,High-RE,67,0.8156838928429073
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REST_ASIA,gap_GJ_pc,High-CMT,67,2.7685575034357823
