database,ambition_view,Region,new_n_cdr,new_n_re,new_median_cdr,new_median_re,new_effect_million_deaths,new_relative_effect_pct,new_favours,old_n_cdr,old_n_re,old_median_cdr,old_median_re,old_effect_million_deaths,old_relative_effect_pct,old_favours,added_cdr,added_re,effect_shift_pct_points,direction_changed
Full,All ambitions,Aggregated R10 regions,246,226,438.181675,427.66765250000003,10.514022499999953,2.399466499825661,High-RE,226,204,434.84968,426.8416125,8.008067500000038,1.8415714368238787,High-RE,20,22,0.5578950630017825,FALSE
Full,All ambitions,R10AFRICA,246,226,76.35986249999999,78.616455,-2.2565925000000107,-2.9552076524496242,High-CDR,226,204,76.34924749999999,78.63142,-2.2821725000000157,-2.9891224533680125,High-CDR,20,22,0.03391480091838828,FALSE
Full,All ambitions,R10CHINA+,246,226,79.579425,78.81377,0.7656549999999953,0.9621268311501312,High-RE,226,204,78.9684475,78.54454,0.42390749999999855,0.5368061718574353,High-RE,20,22,0.4253206592926959,FALSE
Full,All ambitions,R10EUROPE,246,226,15.261855,11.2344625,4.027392500000001,26.38861724213735,High-RE,226,204,15.084644999999998,11.2103025,3.874342499999998,25.684015102775028,High-RE,20,22,0.7046021393623221,FALSE
Full,All ambitions,R10INDIA+,246,226,117.69358500000001,110.747905,6.94568000000001,5.901494121366096,High-RE,226,204,115.91396,110.747905,5.166055,4.456801406836588,High-RE,20,22,1.4446927145295083,FALSE
Full,All ambitions,R10LATIN_AM,246,226,14.190545,15.61995,-1.4294049999999991,-10.07293941141795,High-CDR,226,204,14.060815000000002,15.6620975,-1.6012824999999982,-11.388262344679152,High-CDR,20,22,1.3153229332612018,FALSE
Full,All ambitions,R10MIDDLE_EAST,246,226,46.95055,46.5460025,0.4045474999999996,0.8616459232106964,High-RE,226,204,47.250895,46.54309,0.7078050000000005,1.497971625722646,High-RE,20,22,-0.6363257025119496,FALSE
Full,All ambitions,R10NORTH_AM,246,226,6.90724,8.92639,-2.01915,-29.232370671932635,High-CDR,226,204,6.820365000000001,8.92639,-2.106024999999999,-30.878479377569953,High-CDR,20,22,1.6461087056373174,FALSE
Full,All ambitions,R10PAC_OECD,246,226,5.4880075,3.633605,1.8544025,33.79008683934925,High-RE,226,204,5.498055,3.630585,1.86747,33.96601161683541,High-RE,20,22,-0.1759247774861592,FALSE
Full,All ambitions,R10REF_ECON,246,226,14.1653725,13.2108975,0.9544750000000004,6.738086132221376,High-RE,226,204,14.15165,13.214325,0.9373249999999996,6.623432603265341,High-RE,20,22,0.11465352895603509,FALSE
Full,All ambitions,R10REST_ASIA,246,226,58.97830999999999,57.40043,1.5778799999999933,2.6753564149260862,High-RE,226,204,58.3385225,57.557424999999995,0.7810975000000013,1.3389051805348708,High-RE,20,22,1.3364512343912154,FALSE
Full,1.5C,Aggregated R10 regions,57,54,425.807625,417.9452725,7.862352499999986,1.8464564837231334,High-RE,48,39,423.01208,415.121345,7.89073499999995,1.8653687147657696,High-RE,9,15,-0.018912231042636174,FALSE
Full,1.5C,R10AFRICA,57,54,75.436235,78.456135,-3.019900000000007,-4.00324857145907,High-CDR,48,39,75.4642975,78.51001,-3.0457124999999934,-4.035964821642968,High-CDR,9,15,0.032716250183897344,FALSE
Full,1.5C,R10CHINA+,57,54,78.93552,78.52739,0.4081299999999999,0.5170422643697031,High-RE,48,39,76.09084999999999,77.312175,-1.221325000000007,-1.6050878653609564,High-CDR,9,15,2.1221301297306594,TRUE
Full,1.5C,R10EUROPE,57,54,15.678805,11.26678,4.412025,28.140059143538043,High-RE,48,39,15.4415225,11.160875,4.280647499999999,27.721667342064222,High-RE,9,15,0.4183918014738204,FALSE
Full,1.5C,R10INDIA+,57,54,112.90542,106.278505,6.626915000000011,5.869439217355562,High-RE,48,39,110.0836525,104.832935,5.250717499999993,4.769752257266349,High-RE,9,15,1.0996869600892127,FALSE
Full,1.5C,R10LATIN_AM,57,54,15.185745,15.61344,-0.42769499999999994,-2.816424218897393,High-CDR,48,39,14.1536,15.661335,-1.5077349999999985,-10.65266080714446,High-CDR,9,15,7.8362365882470675,FALSE
Full,1.5C,R10MIDDLE_EAST,57,54,55.288645,46.253277499999996,9.035367500000007,16.34217568544139,High-RE,48,39,57.0971625,46.24088,10.8562825,19.0136987980795,High-RE,9,15,-2.671523112638109,FALSE
Full,1.5C,R10NORTH_AM,57,54,7.42729,8.92639,-1.4990999999999994,-20.183673991455827,High-CDR,48,39,7.3478,8.92411,-1.5763100000000012,-21.452815808813536,High-CDR,9,15,1.2691418173577098,FALSE
Full,1.5C,R10PAC_OECD,57,54,5.24925,3.6120900000000002,1.6371599999999997,31.188455493641946,High-RE,48,39,5.2098125,3.591945,1.6178675,31.05423659680651,High-RE,9,15,0.13421889683543498,FALSE
