database,ambition_view,Region,pooled_n_cdr,pooled_n_re,pooled_median_cdr,pooled_median_re,pooled_effect_million_deaths,pooled_effect_pct,pooled_favours,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr,loo_min_pct,loo_max_pct,n_families_tested,n_direction_flips,most_negative_exclusion,most_positive_exclusion,pooled_equal_family_agree,leave_one_out_stable,validation_class,n_comparable_cells,n_robust_cells,matched_cell_mean_pct,matched_cell_median_pct,robust_matched_cell_mean_pct,robust_matched_cell_median_pct,cells_favour_re,cells_favour_cdr,robust_cells_favour_re,robust_cells_favour_cdr,total_cdr_support,total_re_support
Full,All ambitions,Aggregated R10 regions,246,226,438.181675,427.66765250000003,10.514022499999953,2.399466499825661,High-RE,5,4,4.051773342618527,2.191942190754993,4.51673113058441,2.068906580467545,4,1,3,1,-0.4400549155781142,7.047335964405672,7,1,REMIND,POLES,TRUE,FALSE,Dominant-family sensitive,7,3,2.9141457255704397,3.23815625516348,3.4919673111554914,3.7385017054392846,5,2,3,0,103,29
Full,1.5C,Aggregated R10 regions,57,54,425.807625,417.9452725,7.862352499999986,1.8464564837231334,High-RE,1,1,1.457792499188579,1.457792499188579,1.457792499188579,1.457792499188579,1,0,1,0,0.6050744935580181,9.84197711815379,7,0,IMAGE,MESSAGEix,TRUE,TRUE,Insufficient cross-model support,1,1,4.3902816622473795,4.3902816622473795,4.3902816622473795,4.3902816622473795,1,0,1,0,6,3
Full,2C,Aggregated R10 regions,189,172,440.495065,434.621435,5.8736299999999915,1.333415619537075,High-RE,5,3,4.201414532981648,3.7385017054392846,5.71333601398973,3.7385017054392846,4,1,3,0,-0.25119747936335024,6.15226327185227,7,3,REMIND,POLES,TRUE,FALSE,Dominant-family sensitive,6,2,2.6681230694576166,2.792637410471645,3.0428101356095474,3.0428101356095474,4,2,2,0,97,26
SCI-vetted,All ambitions,Aggregated R10 regions,69,69,420.124325,442.17121,-22.046884999999975,-5.247704950195391,High-CDR,1,1,4.8277681047176335,4.8277681047176335,4.8277681047176335,4.8277681047176335,1,0,1,0,-8.448351995878069,15.128921698117532,6,1,IMAGE,POLES,FALSE,FALSE,Insufficient cross-model support,2,1,9.693540564737098,9.693540564737098,8.854903880644379,8.854903880644379,2,0,1,0,10,4
SCI-vetted,1.5C,Aggregated R10 regions,6,6,481.9203375,428.3386425,53.581695000000025,11.118371820114362,High-RE,1,0,10.532177248829816,10.532177248829816,NA,NA,1,0,0,0,-4.9874689518543365,17.691542225747533,4,1,IMAGE,POLES,TRUE,FALSE,Insufficient cross-model support,1,0,10.532177248829816,10.532177248829816,NA,NA,1,0,0,0,4,1
SCI-vetted,2C,Aggregated R10 regions,63,63,419.717675,442.17121,-22.453534999999988,-5.349675826732812,High-CDR,1,1,4.233988406243592,4.233988406243592,4.233988406243592,4.233988406243592,1,0,1,0,-8.823192876020775,15.128921698117532,6,1,WITCH,POLES,FALSE,FALSE,Insufficient cross-model support,1,1,8.854903880644379,8.854903880644379,8.854903880644379,8.854903880644379,1,0,1,0,6,3
