database,ambition_view,Region,excluded_family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,direction_coded_difference_million_deaths,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip
Full,2C,R10EUROPE,GCAM,186,168,15.08559,11.23153,3.8540600000000005,25.54795669244624,High-RE,25.560068003701705,High-RE,FALSE
Full,2C,R10EUROPE,IMAGE,153,170,14.81512,11.2326625,3.5824575000000003,24.181089994546113,High-RE,25.560068003701705,High-RE,FALSE
Full,2C,R10EUROPE,MESSAGEix,117,151,16.24215,11.19978,5.042369999999998,31.04496633758461,High-RE,25.560068003701705,High-RE,FALSE
Full,2C,R10EUROPE,POLES,133,172,16.04942,11.23325,4.816170000000001,30.0083741343924,High-RE,25.560068003701705,High-RE,FALSE
Full,2C,R10EUROPE,REMIND,189,38,15.090355,15.32817,-0.23781499999999944,-1.5759403937150547,High-CDR,25.560068003701705,High-RE,TRUE
Full,2C,R10EUROPE,WITCH,187,165,15.08619,11.23065,3.8555399999999995,25.5567509092753,High-RE,25.560068003701705,High-RE,FALSE
Full,2C,R10INDIA+,AIM,169,168,125.29499,113.2836525,12.011337499999996,9.586446752579649,High-RE,6.3712505992554584,High-RE,FALSE
Full,2C,R10INDIA+,GCAM,186,168,120.52015499999999,113.02140750000001,7.498747499999979,6.221986272752454,High-RE,6.3712505992554584,High-RE,FALSE
Full,2C,R10INDIA+,IMAGE,153,170,115.212715,112.83585,2.3768650000000093,2.0630231654553137,High-RE,6.3712505992554584,High-RE,FALSE
Full,2C,R10INDIA+,MESSAGEix,117,151,110.657605,111.833015,-1.1754099999999994,-1.0622044458670503,High-CDR,6.3712505992554584,High-RE,TRUE
Full,2C,R10INDIA+,POLES,133,172,129.52422,113.02140750000001,16.502812500000005,12.741101625626468,High-RE,6.3712505992554584,High-RE,FALSE
Full,2C,R10INDIA+,REMIND,189,38,120.71229,117.41707500000001,3.2952149999999847,2.7298090360144647,High-RE,6.3712505992554584,High-RE,FALSE
Full,2C,R10INDIA+,WITCH,187,165,121.008695,113.429315,7.5793800000000005,6.263500321195928,High-RE,6.3712505992554584,High-RE,FALSE
Full,2C,R10LATIN_AM,AIM,169,168,13.800635,15.5997925,-1.7991574999999997,-13.036773307894888,High-CDR,-10.771766335094135,High-CDR,FALSE
Full,2C,R10LATIN_AM,GCAM,186,168,14.100435000000001,15.6105975,-1.5101624999999999,-10.710041924238507,High-CDR,-10.771766335094135,High-CDR,FALSE
Full,2C,R10LATIN_AM,IMAGE,153,170,13.704915,15.6105975,-1.905682500000001,-13.905102658425834,High-CDR,-10.771766335094135,High-CDR,FALSE
Full,2C,R10LATIN_AM,MESSAGEix,117,151,17.04013,15.693215,1.346915000000001,7.904370447878044,High-RE,-10.771766335094135,High-CDR,TRUE
Full,2C,R10LATIN_AM,POLES,133,172,14.91302,15.629935,-0.7169150000000002,-4.807309317629831,High-CDR,-10.771766335094135,High-CDR,FALSE
Full,2C,R10LATIN_AM,REMIND,189,38,14.110035,14.27785,-0.16781500000000094,-1.1893308556640783,High-CDR,-10.771766335094135,High-CDR,FALSE
Full,2C,R10LATIN_AM,WITCH,187,165,14.106475,15.663805,-1.5573300000000003,-11.039823910650963,High-CDR,-10.771766335094135,High-CDR,FALSE
Full,2C,R10MIDDLE_EAST,AIM,169,168,47.27277,46.625855,0.6469149999999999,1.36847280157266,High-RE,0.6106147815050333,High-RE,FALSE
Full,2C,R10MIDDLE_EAST,GCAM,186,168,46.8117325,46.61803999999999,0.19369250000000449,0.4137691336247905,High-RE,0.6106147815050333,High-RE,FALSE
Full,2C,R10MIDDLE_EAST,IMAGE,153,170,47.02647,46.61803999999999,0.40843000000000984,0.8685108620740826,High-RE,0.6106147815050333,High-RE,FALSE
Full,2C,R10MIDDLE_EAST,MESSAGEix,117,151,43.62415,46.547435,-2.923285,-6.701070393348638,High-CDR,0.6106147815050333,High-RE,TRUE
