database,ambition_view,Region,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,cliffs_delta_raw,direction_coded_difference_million_deaths,relative_effect_pct,direction_coded_cliffs_delta,favours,estimand
SCI-vetted,All ambitions,R10CHINA+,69,69,81.837665,92.36805,0.2984667086746482,-10.530384999999995,-12.867406468647408,-0.2984667086746482,High-CDR,Scenario-weighted pooled medians
SCI-vetted,All ambitions,R10EUROPE,69,69,12.232365,17.823535,0.07120352867044738,-5.59117,-45.70800495243561,-0.07120352867044738,High-CDR,Scenario-weighted pooled medians
SCI-vetted,All ambitions,R10INDIA+,69,69,115.212715,96.08855,-0.5694181894559966,19.124165000000005,16.599005587187147,0.5694181894559966,High-RE,Scenario-weighted pooled medians
SCI-vetted,All ambitions,R10LATIN_AM,69,69,13.423695,15.41072,0.2736819995799202,-1.9870249999999992,-14.802369988293083,-0.2736819995799202,High-CDR,Scenario-weighted pooled medians
SCI-vetted,All ambitions,R10MIDDLE_EAST,69,69,43.605375,50.07149,0.7660155429531611,-6.466114999999995,-14.828710910065547,-0.7660155429531611,High-CDR,Scenario-weighted pooled medians
SCI-vetted,All ambitions,R10NORTH_AM,69,69,6.70137,10.559495,0.5387523629489603,-3.8581250000000002,-57.572183001386286,-0.5387523629489603,High-CDR,Scenario-weighted pooled medians
SCI-vetted,All ambitions,R10PAC_OECD,69,69,4.495145,5.272255,-0.18294475950430583,-0.7771100000000004,-17.287762686186994,0.18294475950430583,High-CDR,Scenario-weighted pooled medians
SCI-vetted,All ambitions,R10REF_ECON,69,69,13.31229,15.212805,0.5837009031716026,-1.9005149999999986,-14.276394219176403,-0.5837009031716026,High-CDR,Scenario-weighted pooled medians
SCI-vetted,All ambitions,R10REST_ASIA,69,69,56.248365,55.137975,-0.26906112161310647,1.1103900000000024,1.9740840467096288,0.26906112161310647,High-RE,Scenario-weighted pooled medians
SCI-vetted,1.5C,Aggregated R10 regions,6,6,481.9203375,428.3386425,-0.3333333333333333,53.581695000000025,11.118371820114362,0.3333333333333333,High-RE,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10AFRICA,6,6,78.6303025,78.659675,0.05555555555555555,-0.029372499999993806,-0.037355191403459,-0.05555555555555555,High-CDR,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10CHINA+,6,6,89.5881775,86.4642075,-0.16666666666666666,3.12397,3.48703376625783,0.16666666666666666,High-RE,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10EUROPE,6,6,16.675512500000004,17.056355,0,-0.3808424999999964,-2.2838428504071246,-0,High-CDR,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10INDIA+,6,6,136.3275325,100.12599,-0.6666666666666666,36.20154249999999,26.554828533994034,0.6666666666666666,High-RE,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10LATIN_AM,6,6,22.340055,15.87274,-0.2777777777777778,6.467314999999999,28.949413956232423,0.2777777777777778,High-RE,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10MIDDLE_EAST,6,6,43.195584999999994,45.753834999999995,0.6666666666666666,-2.558250000000001,-5.922480272000024,-0.6666666666666666,High-CDR,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10NORTH_AM,6,6,7.81337,9.9319875,0.3888888888888889,-2.1186175,-27.115284441924548,-0.3888888888888889,High-CDR,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10PAC_OECD,6,6,5.8691075,4.785665,-0.5,1.0834425000000003,18.460089545131016,0.5,High-RE,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10REF_ECON,6,6,13.541284999999998,13.8316125,0.4444444444444444,-0.29032750000000185,-2.1440173513813634,-0.4444444444444444,High-CDR,Scenario-weighted pooled medians
SCI-vetted,1.5C,R10REST_ASIA,6,6,68.082905,56.4121875,-0.3333333333333333,11.670717499999995,17.141920574628823,0.3333333333333333,High-RE,Scenario-weighted pooled medians
SCI-vetted,2C,Aggregated R10 regions,63,63,419.717675,442.17121,0.25371630133534895,-22.453534999999988,-5.349675826732812,-0.25371630133534895,High-CDR,Scenario-weighted pooled medians
SCI-vetted,2C,R10AFRICA,63,63,73.7414,78.200205,-0.00781053162005543,-4.458804999999998,-6.046542376466948,0.00781053162005543,High-CDR,Scenario-weighted pooled medians
SCI-vetted,2C,R10CHINA+,63,63,81.144235,92.840965,0.3232552280171328,-11.696730000000002,-14.414739383518747,-0.3232552280171328,High-CDR,Scenario-weighted pooled medians
SCI-vetted,2C,R10EUROPE,63,63,12.21634,17.823535,0.08440413202317965,-5.607194999999999,-45.89914000428933,-0.08440413202317965,High-CDR,Scenario-weighted pooled medians
SCI-vetted,2C,R10INDIA+,63,63,114.354115,96.08855,-0.5530360292265054,18.265564999999995,15.972809548655066,0.5530360292265054,High-RE,Scenario-weighted pooled medians
SCI-vetted,2C,R10LATIN_AM,63,63,13.419615,15.402855,0.3232552280171328,-1.9832400000000003,-14.77866540880644,-0.3232552280171328,High-CDR,Scenario-weighted pooled medians
SCI-vetted,2C,R10MIDDLE_EAST,63,63,43.636585,52.054875,0.7732426303854876,-8.418290000000006,-19.29181671755479,-0.7732426303854876,High-CDR,Scenario-weighted pooled medians
SCI-vetted,2C,R10NORTH_AM,63,63,6.70137,10.559875,0.5580750818846056,-3.858505,-57.57785348369065,-0.5580750818846056,High-CDR,Scenario-weighted pooled medians
SCI-vetted,2C,R10PAC_OECD,63,63,4.47825,5.272255,-0.14134542705971279,-0.7940050000000003,-17.730251772455762,0.14134542705971279,High-CDR,Scenario-weighted pooled medians
SCI-vetted,2C,R10REF_ECON,63,63,13.29234,15.63072,0.5993953136810279,-2.338380000000001,-17.591936408487904,-0.5993953136810279,High-CDR,Scenario-weighted pooled medians
SCI-vetted,2C,R10REST_ASIA,63,63,55.98183,55.08901,-0.2693373645754598,0.8928200000000004,1.59483889683492,0.2693373645754598,High-RE,Scenario-weighted pooled medians
