database,ambition_view,Region,family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,cliffs_delta_raw,comparable,robust,direction_coded_difference_million_deaths,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_relative_effect_pct,pooled_favours,agrees_with_pooled
Full,All ambitions,R10INDIA+,IMAGE,59,2,141.544995,143.6417475,0.01694915254237288,TRUE,FALSE,-2.096752500000008,-1.4813328440189695,-0.01694915254237288,High-CDR,5.901494121366096,High-RE,FALSE
Full,All ambitions,R10INDIA+,MESSAGEix,95,24,124.285145,118.45612,-0.3263157894736842,TRUE,TRUE,5.8290250000000015,4.690041597489388,0.3263157894736842,High-RE,5.901494121366096,High-RE,TRUE
Full,All ambitions,R10INDIA+,POLES,60,0,106.113485,NA,NA,FALSE,FALSE,NA,NA,NA,NA,5.901494121366096,High-RE,FALSE
Full,All ambitions,R10INDIA+,REMIND,0,184,NA,109.8745025,NA,FALSE,FALSE,NA,NA,NA,NA,5.901494121366096,High-RE,FALSE
Full,All ambitions,R10INDIA+,WITCH,8,7,84.19686250000001,85.713095,0.2857142857142857,TRUE,TRUE,-1.5162324999999868,-1.8008182905865247,-0.2857142857142857,High-CDR,5.901494121366096,High-RE,FALSE
Full,All ambitions,R10LATIN_AM,AIM,21,4,19.574445,19.4412275,-0.6904761904761905,TRUE,TRUE,0.13321750000000065,0.6805684656704221,0.6904761904761905,High-RE,-10.07293941141795,High-CDR,FALSE
Full,All ambitions,R10LATIN_AM,GCAM,3,5,17.15655,15.744395,-1,TRUE,TRUE,1.4121549999999985,8.230996325018717,1,High-RE,-10.07293941141795,High-CDR,FALSE
Full,All ambitions,R10LATIN_AM,IMAGE,59,2,22.405635,22.094002500000002,-0.3050847457627119,TRUE,FALSE,0.3116324999999982,1.3908666279710358,0.3050847457627119,High-RE,-10.07293941141795,High-CDR,FALSE
Full,All ambitions,R10LATIN_AM,MESSAGEix,95,24,13.84513,14.06104,0.18947368421052632,TRUE,TRUE,-0.21591000000000093,-1.559465313796266,-0.18947368421052632,High-CDR,-10.07293941141795,High-CDR,TRUE
Full,All ambitions,R10LATIN_AM,POLES,60,0,13.2348175,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-10.07293941141795,High-CDR,FALSE
Full,All ambitions,R10LATIN_AM,REMIND,0,184,NA,15.663725,NA,FALSE,FALSE,NA,NA,NA,NA,-10.07293941141795,High-CDR,FALSE
Full,All ambitions,R10LATIN_AM,WITCH,8,7,15.2153325,15.030135,-0.42857142857142855,TRUE,TRUE,0.18519750000000101,1.21717681818653,0.42857142857142855,High-RE,-10.07293941141795,High-CDR,FALSE
Full,All ambitions,R10MIDDLE_EAST,AIM,21,4,43.57767,43.055895,-0.7142857142857143,TRUE,TRUE,0.5217749999999981,1.1973448786958967,0.7142857142857143,High-RE,0.8616459232106964,High-RE,TRUE
Full,All ambitions,R10MIDDLE_EAST,GCAM,3,5,47.493905,45.344695,-0.7333333333333333,TRUE,TRUE,2.1492099999999965,4.525233290461158,0.7333333333333333,High-RE,0.8616459232106964,High-RE,TRUE
Full,All ambitions,R10MIDDLE_EAST,IMAGE,59,2,45.54939,43.534955,-0.4915254237288136,TRUE,FALSE,2.014435000000006,4.422529039357071,0.4915254237288136,High-RE,0.8616459232106964,High-RE,TRUE
