database,ambition_view,Region,n_comparable_cells,n_robust_cells,matched_cell_mean_pct,matched_cell_median_pct,robust_matched_cell_mean_pct,robust_matched_cell_median_pct,cells_favour_re,cells_favour_cdr,robust_cells_favour_re,robust_cells_favour_cdr,total_cdr_support,total_re_support
SCI-vetted,1.5C,Aggregated R10 regions,1,0,10.532177248829816,10.532177248829816,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10AFRICA,1,0,8.837866315710412,8.837866315710412,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10CHINA+,1,0,5.466522040839505,5.466522040839505,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10EUROPE,1,0,2.984206491753051,2.984206491753051,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10INDIA+,1,0,19.808675439529086,19.808675439529086,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10LATIN_AM,1,0,0.6206200034042235,0.6206200034042235,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10MIDDLE_EAST,1,0,1.0047274443412593,1.0047274443412593,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10NORTH_AM,1,0,1.632701969749398,1.632701969749398,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10PAC_OECD,1,0,2.164647595637528,2.164647595637528,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10REF_ECON,1,0,1.16524567570212,1.16524567570212,NA,NA,1,0,0,0,4,1
SCI-vetted,1.5C,R10REST_ASIA,1,0,14.78357810433006,14.78357810433006,NA,NA,1,0,0,0,4,1
SCI-vetted,2C,Aggregated R10 regions,1,1,8.854903880644379,8.854903880644379,8.854903880644379,8.854903880644379,1,0,1,0,6,3
SCI-vetted,2C,R10AFRICA,1,1,8.682123203177643,8.682123203177643,8.682123203177643,8.682123203177643,1,0,1,0,6,3
SCI-vetted,2C,R10CHINA+,1,1,8.172013138668174,8.172013138668174,8.172013138668174,8.172013138668174,1,0,1,0,6,3
SCI-vetted,2C,R10EUROPE,1,1,12.417389149475943,12.417389149475943,12.417389149475943,12.417389149475943,1,0,1,0,6,3
SCI-vetted,2C,R10INDIA+,1,1,6.417456436570248,6.417456436570248,6.417456436570248,6.417456436570248,1,0,1,0,6,3
SCI-vetted,2C,R10LATIN_AM,1,1,3.4589631689628866,3.4589631689628866,3.4589631689628866,3.4589631689628866,1,0,1,0,6,3
SCI-vetted,2C,R10MIDDLE_EAST,1,1,2.545492613001121,2.545492613001121,2.545492613001121,2.545492613001121,1,0,1,0,6,3
SCI-vetted,2C,R10NORTH_AM,1,1,11.423945230126405,11.423945230126405,11.423945230126405,11.423945230126405,1,0,1,0,6,3
SCI-vetted,2C,R10PAC_OECD,1,1,3.6395053597860194,3.6395053597860194,3.6395053597860194,3.6395053597860194,1,0,1,0,6,3
SCI-vetted,2C,R10REF_ECON,1,1,3.1714757052043283,3.1714757052043283,3.1714757052043283,3.1714757052043283,1,0,1,0,6,3
SCI-vetted,2C,R10REST_ASIA,1,1,5.978901382878207,5.978901382878207,5.978901382878207,5.978901382878207,1,0,1,0,6,3
