"Model_Group","Model","Scenario","ModelGroup_Scenario","Region","Category","Variable","Total_Value","proxy"
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10AFRICA","C4","Renewable Capacity",114118.187722927,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10AFRICA","C4","Total CDR",0.000533735965,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10CHINA+","C4","Fossil CCS",0.018753944,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10CHINA+","C4","Renewable Capacity",108769.874508177,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10CHINA+","C4","Total CDR",0.018753944,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10EUROPE","C4","Fossil CCS",0.00305597552,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10EUROPE","C4","Renewable Capacity",103546.919373063,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10EUROPE","C4","Total CDR",0.00305597552,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10INDIA+","C4","Fossil CCS",0.0006842136,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10INDIA+","C4","Renewable Capacity",90220.508985282,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10INDIA+","C4","Total CDR",0.0006842136,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10LATIN_AM","C4","Fossil CCS",0.005918691054,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10LATIN_AM","C4","Renewable Capacity",65078.161161804,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10LATIN_AM","C4","Total CDR",0.005918691054,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10MIDDLE_EAST","C4","Fossil CCS",0.0010537,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10MIDDLE_EAST","C4","Renewable Capacity",25470.266615675,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10MIDDLE_EAST","C4","Total CDR",0.0010537,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10NORTH_AM","C4","Fossil CCS",0.003221913,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10NORTH_AM","C4","Renewable Capacity",105524.90923761,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10NORTH_AM","C4","Total CDR",0.003221913,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10PAC_OECD","C4","Fossil CCS",0.0071997095,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10PAC_OECD","C4","Renewable Capacity",22353.193841265,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10PAC_OECD","C4","Total CDR",0.0071997095,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10REF_ECON","C4","Fossil CCS",0.00080956563,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10REF_ECON","C4","Renewable Capacity",13107.677748,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10REF_ECON","C4","Total CDR",0.00080956563,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10REST_ASIA","C4","Fossil CCS",0.000205572,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10REST_ASIA","C4","Renewable Capacity",70033.348172322,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Current Policies","COMPASS_NGFS Phase 2-Current Policies","R10REST_ASIA","C4","Total CDR",0.000205572,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10AFRICA","C4","Fossil CCS",21022.330521756,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10AFRICA","C4","Renewable Capacity",304003.113277765,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10AFRICA","C4","Total CDR",21022.330521756,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10CHINA+","C4","Fossil CCS",65672.34280811,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10CHINA+","C4","Renewable Capacity",290341.487654918,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10CHINA+","C4","Total CDR",65672.34280811,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10EUROPE","C4","Fossil CCS",15143.733818407,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10EUROPE","C4","Renewable Capacity",220622.697778197,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10EUROPE","C4","Total CDR",15143.733818407,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10INDIA+","C4","Fossil CCS",31400.95884194,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10INDIA+","C4","Renewable Capacity",216525.322713743,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10INDIA+","C4","Total CDR",31400.95884194,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10LATIN_AM","C4","Fossil CCS",17521.224358999,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10LATIN_AM","C4","Renewable Capacity",150703.343819734,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10LATIN_AM","C4","Total CDR",17521.224358999,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10MIDDLE_EAST","C4","Fossil CCS",16118.014043005,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10MIDDLE_EAST","C4","Renewable Capacity",79586.349701001,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10MIDDLE_EAST","C4","Total CDR",16118.014043005,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10NORTH_AM","C4","Fossil CCS",19732.604446041,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10NORTH_AM","C4","Renewable Capacity",262914.612872621,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10NORTH_AM","C4","Total CDR",19732.604446041,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10PAC_OECD","C4","Fossil CCS",8636.557009042,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10PAC_OECD","C4","Renewable Capacity",64679.548784292,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10PAC_OECD","C4","Total CDR",8636.557009042,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10REF_ECON","C4","Fossil CCS",5843.049303312,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10REF_ECON","C4","Renewable Capacity",56491.215006587,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10REF_ECON","C4","Total CDR",5843.049303312,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10REST_ASIA","C4","Fossil CCS",26846.604629186,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10REST_ASIA","C4","Renewable Capacity",207195.20672885,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Delayed Transition","COMPASS_NGFS Phase 2-Delayed Transition","R10REST_ASIA","C4","Total CDR",26846.604629186,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10AFRICA","C3","Fossil CCS",73218.0206236541,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10AFRICA","C3","Renewable Capacity",225296.288447919,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10AFRICA","C3","Total CDR",73218.0206236541,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10CHINA+","C3","Fossil CCS",6979.577191942,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10CHINA+","C3","Renewable Capacity",109363.432199797,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10CHINA+","C3","Total CDR",6979.577191942,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10EUROPE","C3","Fossil CCS",53745.135673216,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10EUROPE","C3","Renewable Capacity",176197.162289245,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10EUROPE","C3","Total CDR",53745.135673216,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10INDIA+","C3","Fossil CCS",0.00070064085,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10INDIA+","C3","Renewable Capacity",89871.335712582,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10INDIA+","C3","Total CDR",0.00070064085,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10LATIN_AM","C3","Fossil CCS",36074.776457801,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10LATIN_AM","C3","Renewable Capacity",102431.71148896,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10LATIN_AM","C3","Total CDR",36074.776457801,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10MIDDLE_EAST","C3","Fossil CCS",341.36836128,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10MIDDLE_EAST","C3","Renewable Capacity",24690.685671819,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10MIDDLE_EAST","C3","Total CDR",341.36836128,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10NORTH_AM","C3","Fossil CCS",71188.89951874,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10NORTH_AM","C3","Renewable Capacity",204327.331711929,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10NORTH_AM","C3","Total CDR",71188.89951874,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10PAC_OECD","C3","Fossil CCS",25033.720217861,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10PAC_OECD","C3","Renewable Capacity",49442.15900076,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10PAC_OECD","C3","Total CDR",25033.720217861,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10REF_ECON","C3","Fossil CCS",19741.036459863,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10REF_ECON","C3","Renewable Capacity",30220.062567792,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10REF_ECON","C3","Total CDR",19741.036459863,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10REST_ASIA","C3","Fossil CCS",57755.225388717,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10REST_ASIA","C3","Renewable Capacity",123122.254318982,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","COMPASS_NGFS Phase 2-Nationally Determined Contributions (NDCs)","R10REST_ASIA","C3","Total CDR",57755.225388717,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10AFRICA","C3","Fossil CCS",12814.7806032798,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10AFRICA","C3","Renewable Capacity",588650.571243227,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10AFRICA","C3","Total CDR",12814.7806032798,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10CHINA+","C3","Fossil CCS",53507.9284924515,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10CHINA+","C3","Renewable Capacity",454706.931637554,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10CHINA+","C3","Total CDR",53507.9284924515,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10EUROPE","C3","Fossil CCS",16748.4793924612,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10EUROPE","C3","Renewable Capacity",295667.323960267,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10EUROPE","C3","Total CDR",16748.4793924612,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10INDIA+","C3","Fossil CCS",32513.9434549256,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10INDIA+","C3","Renewable Capacity",435040.997992582,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10INDIA+","C3","Total CDR",32513.9434549256,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10LATIN_AM","C3","Fossil CCS",11996.4714639486,FALSE
"COMPASS","GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","COMPASS_NGFS Phase 5-Below 2°C","R10LATIN_AM","C3","Renewable Capacity",256547.94754891,FALSE
