"Model","Scenario","Category","Ambition","total_cdr","total_re","Pathway_overlap","Pathway_excl","high_cdr_only","high_re_only","approach","vetting","ambition_method","threshold_label","top_frac"
"IMAGE 3.0","ENGAGE-NPi2020-1200","C4","2C (Medium-Ambition)",810140.605251675,669224.327706253,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.0","ENGAGE-NPi2020-1400","C4","2C (Medium-Ambition)",798889.138114873,652779.438378513,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.0","ENGAGE-NPi2020-1400f","C4","2C (Medium-Ambition)",827021.237222786,667645.946700914,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.0","ENGAGE-NPi2020-3000","C4","2C (Medium-Ambition)",643076.280085541,634028.200372592,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.0","ENGAGE-NPi2020-3000f","C4","2C (Medium-Ambition)",643076.280085541,634028.200372592,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.0","ENGAGE-NPi2100","C4","2C (Medium-Ambition)",284378.327722237,536517.112002437,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.0.1","SSP1-34","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.0.1","SSP1-45","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.0.1","SSP1-Baseline","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Default","C2","1.5C (High-Ambition)",945220.52226963,1588856.51319239,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Default-LowBiomass","C1","1.5C (High-Ambition)",1146296.93466715,2051418.10832005,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Lifestyle","C2","1.5C (High-Ambition)",957721.025438778,1514239.10725892,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Lifestyle-Renewables","C2","1.5C (High-Ambition)",1406398.2288187,2093442.17829837,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Renewables","C2","1.5C (High-Ambition)",1049871.70154164,2635442.63858426,"High-RE only","High-RE",FALSE,TRUE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-19-Renewables-LowBiomass","C1","1.5C (High-Ambition)",1252757.28115821,3142295.30906495,"Both High",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-26-Default","C3","2C (Medium-Ambition)",700267.711472806,1482153.59831313,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-26-Lifestyle","C3","2C (Medium-Ambition)",682403.118995186,1358639.41885895,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-26-Lifestyle-Renewables","C3","2C (Medium-Ambition)",1018159.79604593,1792900.45793675,"Both High",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-26-Renewables","C3","2C (Medium-Ambition)",728478.48626138,2600647.9559622,"Both High",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-34-Default","C3","2C (Medium-Ambition)",344342.431489462,1524714.83168443,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-34-Lifestyle","C3","2C (Medium-Ambition)",486865.631230238,1317649.97868909,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-34-Lifestyle-Renewables","C3","2C (Medium-Ambition)",483321.219050652,2350496.07332979,"High-RE only","High-RE",FALSE,TRUE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP1-SPA1-34-Renewables","C3","2C (Medium-Ambition)",302546.924158593,2539069.7579947,"High-RE only","High-RE",FALSE,TRUE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA0-26-Default","C3","2C (Medium-Ambition)",966850.008481895,862844.258967459,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA1-19-Default-LowBiomass","C1","1.5C (High-Ambition)",1677755.82455086,1153913.8510039,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-19-Default","C2","1.5C (High-Ambition)",1417157.08030829,1099454.02529209,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-19-Lifestyle","C1","1.5C (High-Ambition)",1224476.98780122,1008660.30526297,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-19-Lifestyle-Renewables","C2","1.5C (High-Ambition)",1282064.51223395,2551674.87706988,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-19-Renewables","C2","1.5C (High-Ambition)",1334168.49513672,2645840.87325305,"Both High",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-26-Default","C3","2C (Medium-Ambition)",1118489.20518413,933531.783439759,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-26-Lifestyle","C3","2C (Medium-Ambition)",941965.447547248,797330.837959991,"High-CMT only","High-CMT",TRUE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"IMAGE 3.2","SSP2021-SSP2-SPA2-26-Lifestyle-Renewables","C3","2C (Medium-Ambition)",976121.540940465,1777164.95425487,"Both High",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
