"Model","Scenario","Category","Ambition","total_cdr","total_re","Pathway_overlap","Pathway_excl","high_cdr_only","high_re_only","approach","vetting","ambition_method","threshold_label","top_frac"
"AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","C2","1.5C (High-Ambition)",104419.9692,2876115.9333,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Institutional","C3","2C (Medium-Ambition)",125594.5322,3824299.616,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-Feasibility-Maximum-Effort/Cost-Effective","C1","1.5C (High-Ambition)",339720.1469,2958169.4917,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional","C3","2C (Medium-Ambition)",200139.0403,2408540.9477,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-Feasibility-Maximum-Effort/Institutional","C2","1.5C (High-Ambition)",153405.0805,3260817.7052,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-Feasibility-Maximum-Effort/Technology","C3","2C (Medium-Ambition)",227800.6283,3273241.3328,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","2C (Medium-Ambition)",475713.9547,1887149.9563,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","2C (Medium-Ambition)",506735.7401,1817130.6943,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","2C (Medium-Ambition)",592587.4066,1735293.2243,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-1400","C4","2C (Medium-Ambition)",652574.9155,1628170.807,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-1400f","C4","2C (Medium-Ambition)",658044.7038,1596562.8623,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-1600","C3","2C (Medium-Ambition)",645334.7052,1556058.7791,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-1600f","C3","2C (Medium-Ambition)",636360.7656,1540557.388,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-1800","C3","2C (Medium-Ambition)",618567.0054,1486736.4456,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-1800f","C3","2C (Medium-Ambition)",618567.0054,1486736.4456,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","2C (Medium-Ambition)",458822.7462,1950620.2386,"High-RE only","High-RE",FALSE,TRUE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2030-900f","C3","2C (Medium-Ambition)",455822.4862,1928637.1643,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-INDCi2100","C4","2C (Medium-Ambition)",422604.0961,1293248.647,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1000","C3","2C (Medium-Ambition)",650563.8775,1824135.2392,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1000f","C3","2C (Medium-Ambition)",709840.3755,1755606.9144,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1200","C3","2C (Medium-Ambition)",711376.8371,1705643.62,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1200f","C4","2C (Medium-Ambition)",708024.0359,1665230.0656,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1400","C4","2C (Medium-Ambition)",696488.9916,1622322.9743,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1400f","C4","2C (Medium-Ambition)",685647.3573,1611005.7705,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1600","C3","2C (Medium-Ambition)",670823.5008,1540805.1032,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1600f","C3","2C (Medium-Ambition)",671274.7675,1541651.689,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1800","C3","2C (Medium-Ambition)",637394.8699,1497546.3932,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-1800f","C3","2C (Medium-Ambition)",637394.8699,1497546.3932,"High-CMT only","High-CMT",TRUE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE V2.2","ENGAGE-NPi2020-300f","C1","1.5C (High-Ambition)",486762.6304,2183379.2478,"Low (both)",NA,FALSE,FALSE,"A","none","ar6","top_33pct",0.333333333333333
