database,ambition_view,Region,outcome,outcome_label,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr
SCI-vetted,All ambitions,R10NORTH_AM,mortality_million_deaths,PM2.5 mortality,1,1,7.49765518556996,7.49765518556996,7.49765518556996,7.49765518556996,1,0,1,0
SCI-vetted,All ambitions,R10NORTH_AM,total_energy_jobyears_per_1k,Employment,1,1,29.902919819878633,29.902919819878633,29.902919819878633,29.902919819878633,1,0,1,0
SCI-vetted,All ambitions,R10PAC_OECD,gap_GJ_pc,DLE gap,1,1,-40.71859183228458,-40.71859183228458,-40.71859183228458,-40.71859183228458,0,1,0,1
SCI-vetted,All ambitions,R10PAC_OECD,headcount_pct,Deprived headcount,1,1,-41.56005522038743,-41.56005522038743,-41.56005522038743,-41.56005522038743,0,1,0,1
SCI-vetted,All ambitions,R10PAC_OECD,mortality_million_deaths,PM2.5 mortality,1,1,3.882973935369179,3.882973935369179,3.882973935369179,3.882973935369179,1,0,1,0
SCI-vetted,All ambitions,R10PAC_OECD,total_energy_jobyears_per_1k,Employment,1,1,83.71416192950849,83.71416192950849,83.71416192950849,83.71416192950849,1,0,1,0
SCI-vetted,All ambitions,R10REF_ECON,gap_GJ_pc,DLE gap,1,1,-0.6104911972996049,-0.6104911972996049,-0.6104911972996049,-0.6104911972996049,0,1,0,1
SCI-vetted,All ambitions,R10REF_ECON,headcount_pct,Deprived headcount,1,1,10.39522731766455,10.39522731766455,10.39522731766455,10.39522731766455,1,0,1,0
SCI-vetted,All ambitions,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,1,1,4.610160908446447,4.610160908446447,4.610160908446447,4.610160908446447,1,0,1,0
SCI-vetted,All ambitions,R10REF_ECON,total_energy_jobyears_per_1k,Employment,1,1,27.65284154054692,27.65284154054692,27.65284154054692,27.65284154054692,1,0,1,0
SCI-vetted,All ambitions,R10REST_ASIA,gap_GJ_pc,DLE gap,1,1,-432.7317549866343,-432.7317549866343,-432.7317549866343,-432.7317549866343,0,1,0,1
SCI-vetted,All ambitions,R10REST_ASIA,headcount_pct,Deprived headcount,1,1,-320.61385373354443,-320.61385373354443,-320.61385373354443,-320.61385373354443,0,1,0,1
SCI-vetted,All ambitions,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,1,1,-4.053638776157974,-4.053638776157974,-4.053638776157974,-4.053638776157974,0,1,0,1
SCI-vetted,All ambitions,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,1,1,168.94044868569208,168.94044868569208,168.94044868569208,168.94044868569208,1,0,1,0
SCI-vetted,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,1,0,6.861686116967002,6.861686116967002,NA,NA,1,0,0,0
SCI-vetted,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,1,0,11.615045495134863,11.615045495134863,NA,NA,1,0,0,0
SCI-vetted,1.5C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,1,0,10.532177248829816,10.532177248829816,NA,NA,1,0,0,0
SCI-vetted,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,1,0,31.908716720715606,31.908716720715606,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,1,0,8.708012283947657,8.708012283947657,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10AFRICA,headcount_pct,Deprived headcount,1,0,14.037412877161838,14.037412877161838,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10AFRICA,mortality_million_deaths,PM2.5 mortality,1,0,8.837866315710412,8.837866315710412,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10AFRICA,total_energy_jobyears_per_1k,Employment,1,0,57.4907432932124,57.4907432932124,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,1,0,-6.554519016198315,-6.554519016198315,NA,NA,0,1,0,0
SCI-vetted,1.5C,R10CHINA+,headcount_pct,Deprived headcount,1,0,-7.7954790809079135,-7.7954790809079135,NA,NA,0,1,0,0
SCI-vetted,1.5C,R10CHINA+,mortality_million_deaths,PM2.5 mortality,1,0,5.466522040839505,5.466522040839505,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10CHINA+,total_energy_jobyears_per_1k,Employment,1,0,17.897470256006308,17.897470256006308,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,1,0,3.0705003987290254,3.0705003987290254,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10EUROPE,headcount_pct,Deprived headcount,1,0,3.556079868496416,3.556079868496416,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10EUROPE,mortality_million_deaths,PM2.5 mortality,1,0,2.984206491753051,2.984206491753051,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10EUROPE,total_energy_jobyears_per_1k,Employment,1,0,4.735917885595866,4.735917885595866,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,1,0,10.018532863567327,10.018532863567327,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10INDIA+,headcount_pct,Deprived headcount,1,0,11.435085847012877,11.435085847012877,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10INDIA+,mortality_million_deaths,PM2.5 mortality,1,0,19.808675439529086,19.808675439529086,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10INDIA+,total_energy_jobyears_per_1k,Employment,1,0,35.918709761376846,35.918709761376846,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10LATIN_AM,gap_GJ_pc,DLE gap,1,0,8.787346484363184,8.787346484363184,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10LATIN_AM,headcount_pct,Deprived headcount,1,0,10.98516881336086,10.98516881336086,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,1,0,0.6206200034042235,0.6206200034042235,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,1,0,17.991293652351757,17.991293652351757,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,1,0,21.526692958948846,21.526692958948846,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10MIDDLE_EAST,headcount_pct,Deprived headcount,1,0,26.373576456465386,26.373576456465386,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,1,0,1.0047274443412593,1.0047274443412593,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10MIDDLE_EAST,total_energy_jobyears_per_1k,Employment,1,0,46.914714298358966,46.914714298358966,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10NORTH_AM,gap_GJ_pc,DLE gap,1,0,-9.003910600393935,-9.003910600393935,NA,NA,0,1,0,0
SCI-vetted,1.5C,R10NORTH_AM,headcount_pct,Deprived headcount,1,0,-9.108550744885198,-9.108550744885198,NA,NA,0,1,0,0
SCI-vetted,1.5C,R10NORTH_AM,mortality_million_deaths,PM2.5 mortality,1,0,1.632701969749398,1.632701969749398,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10NORTH_AM,total_energy_jobyears_per_1k,Employment,1,0,16.072499757990755,16.072499757990755,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10PAC_OECD,gap_GJ_pc,DLE gap,1,0,-11.52000131754358,-11.52000131754358,NA,NA,0,1,0,0
SCI-vetted,1.5C,R10PAC_OECD,headcount_pct,Deprived headcount,1,0,-14.913142947584797,-14.913142947584797,NA,NA,0,1,0,0
SCI-vetted,1.5C,R10PAC_OECD,mortality_million_deaths,PM2.5 mortality,1,0,2.164647595637528,2.164647595637528,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10PAC_OECD,total_energy_jobyears_per_1k,Employment,1,0,30.789876618405565,30.789876618405565,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REF_ECON,gap_GJ_pc,DLE gap,1,0,4.1538794725422346,4.1538794725422346,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REF_ECON,headcount_pct,Deprived headcount,1,0,7.8839781136448615,7.8839781136448615,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,1,0,1.16524567570212,1.16524567570212,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REF_ECON,total_energy_jobyears_per_1k,Employment,1,0,20.362617950752707,20.362617950752707,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REST_ASIA,gap_GJ_pc,DLE gap,1,0,9.483647156680394,9.483647156680394,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REST_ASIA,headcount_pct,Deprived headcount,1,0,14.958258903427977,14.958258903427977,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,1,0,14.78357810433006,14.78357810433006,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,1,0,23.095477105847994,23.095477105847994,NA,NA,1,0,0,0
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,1,1,0.7059167713666906,0.7059167713666906,0.7059167713666906,0.7059167713666906,1,0,1,0
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,1,1,10.525362451075894,10.525362451075894,10.525362451075894,10.525362451075894,1,0,1,0
SCI-vetted,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,1,1,4.233988406243592,4.233988406243592,4.233988406243592,4.233988406243592,1,0,1,0
SCI-vetted,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,1,1,107.44051341865644,107.44051341865644,107.44051341865644,107.44051341865644,1,0,1,0
SCI-vetted,2C,R10AFRICA,gap_GJ_pc,DLE gap,1,1,15.574510328949472,15.574510328949472,15.574510328949472,15.574510328949472,1,0,1,0
SCI-vetted,2C,R10AFRICA,headcount_pct,Deprived headcount,1,1,22.625185388159537,22.625185388159537,22.625185388159537,22.625185388159537,1,0,1,0
SCI-vetted,2C,R10AFRICA,mortality_million_deaths,PM2.5 mortality,1,1,-1.8158443382879506,-1.8158443382879506,-1.8158443382879506,-1.8158443382879506,0,1,0,1
SCI-vetted,2C,R10AFRICA,total_energy_jobyears_per_1k,Employment,1,1,244.43392125368658,244.43392125368658,244.43392125368658,244.43392125368658,1,0,1,0
SCI-vetted,2C,R10CHINA+,gap_GJ_pc,DLE gap,1,1,4.972169302970733,4.972169302970733,4.972169302970733,4.972169302970733,1,0,1,0
SCI-vetted,2C,R10CHINA+,headcount_pct,Deprived headcount,1,1,18.830648629480173,18.830648629480173,18.830648629480173,18.830648629480173,1,0,1,0
SCI-vetted,2C,R10CHINA+,mortality_million_deaths,PM2.5 mortality,1,1,7.670440354686243,7.670440354686243,7.670440354686243,7.670440354686243,1,0,1,0
SCI-vetted,2C,R10CHINA+,total_energy_jobyears_per_1k,Employment,1,1,87.35730636579555,87.35730636579555,87.35730636579555,87.35730636579555,1,0,1,0
SCI-vetted,2C,R10EUROPE,gap_GJ_pc,DLE gap,1,1,-34.064567307923895,-34.064567307923895,-34.064567307923895,-34.064567307923895,0,1,0,1
SCI-vetted,2C,R10EUROPE,headcount_pct,Deprived headcount,1,1,-25.633915299722986,-25.633915299722986,-25.633915299722986,-25.633915299722986,0,1,0,1
SCI-vetted,2C,R10EUROPE,mortality_million_deaths,PM2.5 mortality,1,1,10.626088435668063,10.626088435668063,10.626088435668063,10.626088435668063,1,0,1,0
SCI-vetted,2C,R10EUROPE,total_energy_jobyears_per_1k,Employment,1,1,13.497383818943277,13.497383818943277,13.497383818943277,13.497383818943277,1,0,1,0
SCI-vetted,2C,R10INDIA+,gap_GJ_pc,DLE gap,1,1,61.26670860047448,61.26670860047448,61.26670860047448,61.26670860047448,1,0,1,0
SCI-vetted,2C,R10INDIA+,headcount_pct,Deprived headcount,1,1,60.311271696471515,60.311271696471515,60.311271696471515,60.311271696471515,1,0,1,0
SCI-vetted,2C,R10INDIA+,mortality_million_deaths,PM2.5 mortality,1,1,4.054276998660136,4.054276998660136,4.054276998660136,4.054276998660136,1,0,1,0
SCI-vetted,2C,R10INDIA+,total_energy_jobyears_per_1k,Employment,1,1,32.45858978457841,32.45858978457841,32.45858978457841,32.45858978457841,1,0,1,0
SCI-vetted,2C,R10LATIN_AM,gap_GJ_pc,DLE gap,1,1,-15.01862435811574,-15.01862435811574,-15.01862435811574,-15.01862435811574,0,1,0,1
SCI-vetted,2C,R10LATIN_AM,headcount_pct,Deprived headcount,1,1,-4.85195776914669,-4.85195776914669,-4.85195776914669,-4.85195776914669,0,1,0,1
SCI-vetted,2C,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,1,1,-2.0592164908831867,-2.0592164908831867,-2.0592164908831867,-2.0592164908831867,0,1,0,1
SCI-vetted,2C,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,1,1,49.96541498605317,49.96541498605317,49.96541498605317,49.96541498605317,1,0,1,0
SCI-vetted,2C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,1,1,26.565259829693655,26.565259829693655,26.565259829693655,26.565259829693655,1,0,1,0
SCI-vetted,2C,R10MIDDLE_EAST,headcount_pct,Deprived headcount,1,1,32.15478759706094,32.15478759706094,32.15478759706094,32.15478759706094,1,0,1,0
SCI-vetted,2C,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,1,1,6.534678757379914,6.534678757379914,6.534678757379914,6.534678757379914,1,0,1,0
SCI-vetted,2C,R10MIDDLE_EAST,total_energy_jobyears_per_1k,Employment,1,1,690.5842456552674,690.5842456552674,690.5842456552674,690.5842456552674,1,0,1,0
SCI-vetted,2C,R10NORTH_AM,gap_GJ_pc,DLE gap,1,1,-20.608554320088412,-20.608554320088412,-20.608554320088412,-20.608554320088412,0,1,0,1
SCI-vetted,2C,R10NORTH_AM,headcount_pct,Deprived headcount,1,1,-17.47736064351517,-17.47736064351517,-17.47736064351517,-17.47736064351517,0,1,0,1
SCI-vetted,2C,R10NORTH_AM,mortality_million_deaths,PM2.5 mortality,1,1,7.881896162359341,7.881896162359341,7.881896162359341,7.881896162359341,1,0,1,0
SCI-vetted,2C,R10NORTH_AM,total_energy_jobyears_per_1k,Employment,1,1,32.38934947486736,32.38934947486736,32.38934947486736,32.38934947486736,1,0,1,0
SCI-vetted,2C,R10PAC_OECD,gap_GJ_pc,DLE gap,1,1,-47.658791945206424,-47.658791945206424,-47.658791945206424,-47.658791945206424,0,1,0,1
SCI-vetted,2C,R10PAC_OECD,headcount_pct,Deprived headcount,1,1,-50.112821103980814,-50.112821103980814,-50.112821103980814,-50.112821103980814,0,1,0,1
SCI-vetted,2C,R10PAC_OECD,mortality_million_deaths,PM2.5 mortality,1,1,3.3363005710616953,3.3363005710616953,3.3363005710616953,3.3363005710616953,1,0,1,0
SCI-vetted,2C,R10PAC_OECD,total_energy_jobyears_per_1k,Employment,1,1,94.04196261339897,94.04196261339897,94.04196261339897,94.04196261339897,1,0,1,0
SCI-vetted,2C,R10REF_ECON,gap_GJ_pc,DLE gap,1,1,-2.181581997778972,-2.181581997778972,-2.181581997778972,-2.181581997778972,0,1,0,1
SCI-vetted,2C,R10REF_ECON,headcount_pct,Deprived headcount,1,1,12.437613791207434,12.437613791207434,12.437613791207434,12.437613791207434,1,0,1,0
SCI-vetted,2C,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,1,1,4.226823746949385,4.226823746949385,4.226823746949385,4.226823746949385,1,0,1,0
SCI-vetted,2C,R10REF_ECON,total_energy_jobyears_per_1k,Employment,1,1,24.668473421262796,24.668473421262796,24.668473421262796,24.668473421262796,1,0,1,0
SCI-vetted,2C,R10REST_ASIA,gap_GJ_pc,DLE gap,1,1,-469.5970138298246,-469.5970138298246,-469.5970138298246,-469.5970138298246,0,1,0,1
SCI-vetted,2C,R10REST_ASIA,headcount_pct,Deprived headcount,1,1,-349.6450862547119,-349.6450862547119,-349.6450862547119,-349.6450862547119,0,1,0,1
SCI-vetted,2C,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,1,1,-7.925955280038853,-7.925955280038853,-7.925955280038853,-7.925955280038853,0,1,0,1
SCI-vetted,2C,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,1,1,176.9061185500554,176.9061185500554,176.9061185500554,176.9061185500554,1,0,1,0
