database,ambition_view,Region,outcome,outcome_label,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr
Full,All ambitions,R10REF_ECON,headcount_pct,Deprived headcount,7,5,-0.3084128624059364,20.85768472912442,-10.754726458567703,3.520233813157079,5,2,3,2
Full,All ambitions,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,5,4,2.478668355328219,1.1819701965714131,1.869619611721428,0.9680740077939511,4,1,3,1
Full,All ambitions,R10REF_ECON,total_energy_jobyears_per_1k,Employment,7,5,1.0068956384462342,11.779880296747526,-7.159392809135435,-9.017988737764382,4,3,2,3
Full,All ambitions,R10REST_ASIA,gap_GJ_pc,DLE gap,7,5,-1.7249455552410795,13.570815712891738,17.63299526399452,13.570815712891738,5,2,4,1
Full,All ambitions,R10REST_ASIA,headcount_pct,Deprived headcount,7,5,2.5316755087236107,13.880721891741766,16.87296858223344,13.880721891741766,4,3,3,2
Full,All ambitions,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,5,4,3.367992153892607,0.660307462992552,5.469772382189542,1.275917332641471,3,2,3,1
Full,All ambitions,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,7,5,52.454143040964645,39.553141036125,31.332674249323997,16.738464248615188,6,1,4,1
Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,5,1,9.372740032367476,4.901470868786244,24.832472874834473,24.832472874834473,4,1,1,0
Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,5,1,10.425693449300178,14.300260696682283,26.341152883792248,26.341152883792248,4,1,1,0
Full,1.5C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,1,1,1.457792499188579,1.457792499188579,1.457792499188579,1.457792499188579,1,0,1,0
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,4,1,33.67554513221898,25.650560163856863,49.10088847564965,49.10088847564965,3,1,1,0
Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,5,1,3.407283397291193,8.691100225463337,16.339549064254896,16.339549064254896,4,1,1,0
Full,1.5C,R10AFRICA,headcount_pct,Deprived headcount,5,1,3.867293842297266,18.928145977662464,19.85066913898396,19.85066913898396,4,1,1,0
Full,1.5C,R10AFRICA,mortality_million_deaths,PM2.5 mortality,1,1,2.626589279487315,2.626589279487315,2.626589279487315,2.626589279487315,1,0,1,0
