database,ambition_view,Region,outcome,outcome_label,excluded_family,n_cdr,n_re,median_cdr,median_re,direction_coded_difference,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip,influence_shift_pct_points
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,AIM,269,279,21.956125888821525,16.81992495575297,5.1362009330685545,23.39302005771217,High-RE,26.786231152001978,High-RE,FALSE,3.393211094289807
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GCAM,257,288,24.6366973741141,16.962606916002184,7.674090458111916,31.14902270210585,High-RE,26.786231152001978,High-RE,FALSE,4.362791550103871
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,IMAGE,222,291,19.37603399881632,17.12947440768383,2.246559591132492,11.594527503769521,High-RE,26.786231152001978,High-RE,FALSE,15.191703648232457
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,MESSAGEix,191,266,27.008878145505065,17.375981009242793,9.632897136262272,35.66566920835037,High-RE,26.786231152001978,High-RE,FALSE,8.879438056348395
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,POLES,230,284,19.37603399881632,16.874963323635896,2.5010706751804257,12.908062998512573,High-RE,26.786231152001978,High-RE,FALSE,13.878168153489405
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,REMIND,289,73,23.255687651242333,25.51733302962139,-2.2616453783790575,-9.72512794416655,High-CDR,26.786231152001978,High-RE,TRUE,36.511359096168526
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,WITCH,282,277,22.21732923860728,16.73556411940675,5.4817651192005314,24.673375725444135,High-RE,26.786231152001978,High-RE,FALSE,2.112855426557843
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,AIM,269,279,5.709272799587488,4.374151118725021,1.3351216808624669,23.385144268442264,High-RE,26.237919252282992,High-RE,FALSE,2.852774983840728
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,GCAM,257,288,6.457360971758429,4.430086108667053,2.0272748630913755,31.394789170959427,High-RE,26.237919252282992,High-RE,FALSE,5.156869918676435
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,IMAGE,222,291,4.958611175604611,4.444908451916647,0.5137027236879641,10.359810549681333,High-RE,26.237919252282992,High-RE,FALSE,15.87810870260166
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,MESSAGEix,191,266,7.180648647810233,4.487141982645287,2.6935066651649455,37.51063166119875,High-RE,26.237919252282992,High-RE,FALSE,11.272712408915758
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,POLES,230,284,4.958611175604611,4.394386598071197,0.5642245775334143,11.37868160160022,High-RE,26.237919252282992,High-RE,FALSE,14.859237650682772
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,REMIND,289,73,6.047829436065142,7.179367660873524,-1.1315382248083816,-18.70982369411176,High-CDR,26.237919252282992,High-RE,TRUE,44.947742946394754
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,WITCH,282,277,5.930098789273373,4.370407163223159,1.5596916260502143,26.30127560221179,High-RE,26.237919252282992,High-RE,FALSE,0.06335634992879591
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,AIM,225,222,446.6981,428.36181750000003,18.33628249999998,4.104849002044106,High-RE,2.399466499825661,High-RE,FALSE,1.7053825022184448
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,GCAM,243,221,437.579795,427.54933,10.030464999999992,2.2922596323260294,High-RE,2.399466499825661,High-RE,FALSE,0.10720686749963182
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,IMAGE,187,224,430.64255000000003,427.60837,3.034180000000049,0.7045704146048849,High-RE,2.399466499825661,High-RE,FALSE,1.6948960852207762
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,MESSAGEix,151,202,431.31202,426.6242925,4.687727499999994,1.086852970153717,High-RE,2.399466499825661,High-RE,FALSE,1.3126135296719441
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,POLES,186,226,460.0918725,427.66765250000003,32.42421999999999,7.047335964405672,High-RE,2.399466499825661,High-RE,FALSE,4.647869464580011
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,REMIND,246,42,438.181675,440.109915,-1.9282400000000166,-0.4400549155781142,High-CDR,2.399466499825661,High-RE,TRUE,2.8395214154037753
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,WITCH,238,219,439.52067,428.290165,11.230504999999994,2.555171068518801,High-RE,2.399466499825661,High-RE,FALSE,0.15570456869313976
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,AIM,249,287,295.9793452228964,599.7756299584491,303.7962847355527,102.641042234474,High-RE,91.73158400409754,High-RE,FALSE,10.909458230376458
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,COFFEE,270,293,303.5695088216967,596.8501395656695,293.2806307439728,96.61070108204869,High-RE,91.73158400409754,High-RE,FALSE,4.87911707795115
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,GCAM,267,296,302.7579094096578,580.0291114524703,277.27120204281243,91.58181947532222,High-RE,91.73158400409754,High-RE,FALSE,0.14976452877532154
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,IMAGE,204,299,312.7732575160311,588.1474721186423,275.37421460261123,88.04276196423123,High-RE,91.73158400409754,High-RE,FALSE,3.6888220398663094
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,MESSAGEix,171,274,360.54047826791157,605.8333728948242,245.29289462691258,68.03477262950751,High-RE,91.73158400409754,High-RE,FALSE,23.696811374590027
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,POLES,210,292,285.34485021770786,596.9112417795626,311.56639156185474,109.18942161533344,High-RE,91.73158400409754,High-RE,FALSE,17.457837611235902
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,REMIND,269,81,302.7696057718814,349.05093197769565,46.28132620581425,15.285988198129914,High-RE,91.73158400409754,High-RE,FALSE,76.44559580596763
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,TIAM,258,301,308.8510681238731,582.0386278172977,273.18755969342453,88.45284601180502,High-RE,91.73158400409754,High-RE,FALSE,3.2787379922925197
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,WITCH,262,285,299.4008609065131,599.7756299584491,300.374769051936,100.3252856863785,High-RE,91.73158400409754,High-RE,FALSE,8.593701682280965
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,AIM,269,283,59.60316137670646,40.34958539588684,19.25357598081962,32.30294423333075,High-RE,39.52228567460866,High-RE,FALSE,7.219341441277912
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GCAM,257,292,73.55259481275502,40.72675823615023,32.825836576604786,44.62906667014328,High-RE,39.52228567460866,High-RE,FALSE,5.106780995534621
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,IMAGE,222,295,46.09755936742492,40.967587106790894,5.129972260634027,11.128511641462623,High-RE,39.52228567460866,High-RE,FALSE,28.393774033146038
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,MESSAGEix,191,270,92.05774002423396,41.20960964282773,50.848130381406236,55.23504092976929,High-RE,39.52228567460866,High-RE,FALSE,15.71275525516063
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,POLES,230,288,47.46866643161705,40.66212809426495,6.806538337352102,14.33901318284882,High-RE,39.52228567460866,High-RE,FALSE,25.18327249175984
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,REMIND,289,73,67.84299243586268,78.22857824079787,-10.38558580493519,-15.308266089166837,High-CDR,39.52228567460866,High-RE,TRUE,54.830551763775496
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,WITCH,282,281,63.67265221024661,40.19031371943313,23.482338490813483,36.87978696611377,High-RE,39.52228567460866,High-RE,FALSE,2.642498708494891
Full,All ambitions,R10AFRICA,headcount_pct,Deprived share,AIM,269,283,10.940654622267065,8.190767110142064,2.7498875121250013,25.134579301390872,High-RE,29.207900153507147,High-RE,FALSE,4.073320852116275
Full,All ambitions,R10AFRICA,headcount_pct,Deprived share,GCAM,257,292,12.757389834769416,8.320746539254717,4.436643295514699,34.777045719986724,High-RE,29.207900153507147,High-RE,FALSE,5.569145566479577
Full,All ambitions,R10AFRICA,headcount_pct,Deprived share,IMAGE,222,295,9.913557663948156,8.264401139801986,1.6491565241461696,16.635365224570446,High-RE,29.207900153507147,High-RE,FALSE,12.572534928936701
Full,All ambitions,R10AFRICA,headcount_pct,Deprived share,MESSAGEix,191,270,15.33103560702161,8.412399318394662,6.9186362886269475,45.12830356651324,High-RE,29.207900153507147,High-RE,FALSE,15.920403413006092
Full,All ambitions,R10AFRICA,headcount_pct,Deprived share,POLES,230,288,9.803172638077477,8.244922996666721,1.5582496414107556,15.895360603547909,High-RE,29.207900153507147,High-RE,FALSE,13.312539549959238
Full,All ambitions,R10AFRICA,headcount_pct,Deprived share,REMIND,289,73,11.793272056015878,14.22097966649315,-2.427707610477272,-20.585530452838757,High-CDR,29.207900153507147,High-RE,TRUE,49.79343060634591
Full,All ambitions,R10AFRICA,headcount_pct,Deprived share,WITCH,282,281,11.434450413807042,8.183600854930779,3.250849558876263,28.43030877068546,High-RE,29.207900153507147,High-RE,FALSE,0.7775913828216865
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,AIM,225,222,76.20122,78.61378,-2.412559999999999,-3.166038548989109,High-CDR,-2.9552076524496242,High-CDR,FALSE,0.21083089653948495
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,GCAM,243,221,76.345135,78.61378,-2.2686450000000065,-2.9715645928191843,High-CDR,-2.9552076524496242,High-CDR,FALSE,0.016356940369560036
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,IMAGE,187,224,75.98299,78.61738,-2.6343899999999962,-3.467078618517113,High-CDR,-2.9552076524496242,High-CDR,FALSE,0.5118709660674887
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,MESSAGEix,151,202,75.358225,78.63811,-3.279884999999993,-4.35239152726858,High-CDR,-2.9552076524496242,High-CDR,FALSE,1.3971838748189556
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,POLES,186,226,77.14168,78.616455,-1.4747750000000082,-1.9117745426337724,High-CDR,-2.9552076524496242,High-CDR,FALSE,1.0434331098158518
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,REMIND,246,42,76.35986249999999,75.72533,0.6345324999999917,0.8309764832276797,High-RE,-2.9552076524496242,High-CDR,TRUE,3.786184135677304
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,WITCH,238,219,76.43108000000001,78.62826,-2.197179999999989,-2.874720597955686,High-CDR,-2.9552076524496242,High-CDR,FALSE,0.08048705449393845
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,AIM,249,291,308.2399708728867,826.4777471938536,518.2377763209669,168.12802533474152,High-RE,165.17961596465645,High-RE,FALSE,2.9484093700850735
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,COFFEE,270,297,302.2937558072924,821.5543439497568,519.2605881424644,171.7735077774762,High-RE,165.17961596465645,High-RE,FALSE,6.593891812819749
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,GCAM,267,300,302.1325793302295,801.5629159797461,499.4303366495166,165.3017154775757,High-RE,165.17961596465645,High-RE,FALSE,0.12209951291924881
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,IMAGE,204,303,306.7097865305045,801.6214207349144,494.9116342044099,161.36153978092491,High-RE,165.17961596465645,High-RE,FALSE,3.8180761837315345
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,MESSAGEix,171,278,330.3302237116432,841.0440346424414,510.71381093079816,154.60704902879795,High-RE,165.17961596465645,High-RE,FALSE,10.572566935858504
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,POLES,210,296,251.60662946161247,822.2279626092503,570.6213331476379,226.79105648712542,High-RE,165.17961596465645,High-RE,FALSE,61.61144052246897
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,REMIND,269,81,302.1325793302295,302.6153718099253,0.4827924796958314,0.15979490883309921,High-RE,165.17961596465645,High-RE,FALSE,165.01982105582334
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,TIAM,258,305,305.78078270579067,801.6214207349144,495.84063802912374,162.15559187256073,High-RE,165.17961596465645,High-RE,FALSE,3.024024092095715
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,WITCH,262,289,303.78367254651414,827.4252820277403,523.6416094812262,172.37319079452774,High-RE,165.17961596465645,High-RE,FALSE,7.193574829871295
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,AIM,272,283,17.248120095564197,14.311856841728648,2.9362632538355484,17.023671203395,High-RE,15.978700422628284,High-RE,FALSE,1.0449707807667163
