check,passed
Unified frame has no duplicate database-scenario-region-outcome rows,TRUE
Every pooled specification has both pathway arms,TRUE
Tier 1 covers 2 databases x 3 ambition views x 11 regions x 4 outcomes,TRUE
Every comparable family effect is finite,TRUE
Every comparable matched cell is finite,TRUE
Validated Full mortality sample contains 472 scenarios,TRUE
"Employment, DLE gap, deprived share and mortality all appear in World synthesis",TRUE
