database,ambition_view,Region,outcome,outcome_label,family,n_cdr,n_re,median_cdr,median_re,direction_coded_difference,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip,influence_shift_pct_points,family_n_cdr,family_n_re,family_effect_pct,family_favours,family_robust,family_agrees_with_pooled,targeted,target_reason
Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,IMAGE,44,67,4.891903027706073,4.224537857571905,0.6673651701341683,13.642240378732758,High-RE,34.58403122488907,High-RE,FALSE,20.94179084615631,23,0,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
Full,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,REMIND,212,73,294.40860114420377,320.8048964605808,26.396295316377007,8.965870974485519,High-RE,84.27166836101688,High-RE,FALSE,75.30579738653137,0,161,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
Full,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,MESSAGEix,138,210,348.10315121201927,569.1635679790782,221.06041676705888,63.50428486423485,High-RE,84.27166836101688,High-RE,FALSE,20.76738349678203,74,24,8.7354469434814,High-RE,TRUE,TRUE,TRUE,Large leave-one-family-out magnitude shift
Full,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,AIM,192,223,285.9992573916282,550.5614710124586,264.5622136208304,92.50451068778709,High-RE,84.27166836101688,High-RE,FALSE,8.23284232677021,20,11,-5.411219142369617,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,REMIND,223,65,15.45555178054982,19.764557386699156,-4.309005606149336,-27.879985569794044,High-CDR,26.44868549179839,High-RE,TRUE,54.32867106159243,0,161,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
Full,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,POLES,167,218,11.86230286280616,11.341303995588408,0.5209988672177523,4.392055010257125,High-RE,26.44868549179839,High-RE,FALSE,22.056630481541266,56,8,-4.854838634200822,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,AIM,203,215,13.208636705240039,11.282125290228503,1.9265114150115359,14.585240384779933,High-RE,26.44868549179839,High-RE,FALSE,11.863445107018457,20,11,-6.820332635213528,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,GCAM,197,222,17.539882622969685,11.354120640740128,6.1857619822295575,35.266837955511036,High-RE,26.44868549179839,High-RE,FALSE,8.818152463712646,26,4,-26.58682895412494,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,REMIND,223,65,5.772401368694007,7.34262214927562,-1.5702207805816126,-27.202210662230364,High-CDR,27.71651669413333,High-RE,TRUE,54.91872735636369,0,161,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
Full,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,POLES,167,218,4.282457908495008,4.131189761024773,0.1512681474702351,3.532274004845865,High-RE,27.71651669413333,High-RE,FALSE,24.184242689287466,56,8,1.7323996910619395,High-RE,TRUE,TRUE,TRUE,Large leave-one-family-out magnitude shift
Full,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,MESSAGEix,149,202,7.0904316122073885,4.1968466853838855,2.893584926823503,40.809714909903406,High-RE,27.71651669413333,High-RE,FALSE,13.093198215770077,74,24,-1.3712211732357575,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,AIM,203,215,4.863380304613958,4.085348883048658,0.7780314215653004,15.997749977051372,High-RE,27.71651669413333,High-RE,FALSE,11.718766717081957,20,11,-4.322895250484298,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,GCAM,197,222,6.391404617174238,4.138320180357416,2.2530844368168212,35.251788484218245,High-RE,27.71651669413333,High-RE,FALSE,7.535271790084916,26,4,-34.006363693854105,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,REMIND,189,38,440.495065,441.60157749999996,-1.1065124999999512,-0.25119747936335024,High-CDR,1.333415619537075,High-RE,TRUE,1.5846130989004252,0,134,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
