database,Model,Scenario,Pathway,amb,family,project,Region,outcome,value,outcome_label,outcome_unit,lower_is_better
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,High-RE,2C,AIM,ENGAGE,R10INDIA+,total_energy_jobyears_per_1k,481.84169522280973,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,High-RE,2C,AIM,ENGAGE,R10LATIN_AM,total_energy_jobyears_per_1k,227.4744853602056,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,High-RE,2C,AIM,ENGAGE,R10MIDDLE_EAST,total_energy_jobyears_per_1k,485.5828861630934,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,High-RE,2C,AIM,ENGAGE,R10NORTH_AM,total_energy_jobyears_per_1k,473.52222345468897,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,High-RE,2C,AIM,ENGAGE,R10PAC_OECD,total_energy_jobyears_per_1k,261.6689835073696,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,High-RE,2C,AIM,ENGAGE,R10REF_ECON,total_energy_jobyears_per_1k,1713.8121679500546,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,High-RE,2C,AIM,ENGAGE,R10REST_ASIA,total_energy_jobyears_per_1k,318.0446569568811,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10AFRICA,total_energy_jobyears_per_1k,216.12382736592258,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10CHINA+,total_energy_jobyears_per_1k,524.6312802949317,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10EUROPE,total_energy_jobyears_per_1k,226.41978512919698,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10INDIA+,total_energy_jobyears_per_1k,494.16429117846917,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10LATIN_AM,total_energy_jobyears_per_1k,216.3251045733302,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10MIDDLE_EAST,total_energy_jobyears_per_1k,530.8933578727349,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10NORTH_AM,total_energy_jobyears_per_1k,360.1168999192475,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10PAC_OECD,total_energy_jobyears_per_1k,265.34782987445664,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10REF_ECON,total_energy_jobyears_per_1k,1859.0158626822938,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,High-RE,2C,AIM,ENGAGE,R10REST_ASIA,total_energy_jobyears_per_1k,355.891145535545,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10AFRICA,total_energy_jobyears_per_1k,137.3324630539676,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,High-RE,1.5C,AIM,ENGAGE,R10CHINA+,total_energy_jobyears_per_1k,470.70288113675696,Employment,"total energy-sector job-years per 1,000 people",FALSE
