database,ambition_view,Region,outcome,outcome_label,outcome_unit,n_cdr,n_re,median_cdr,median_re,pooled_effect,pooled_effect_pct,pooled_favours,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr,loo_min_pct,loo_max_pct,n_families_tested,n_direction_flips,max_influence_shift_pct_points,most_negative_exclusion,most_positive_exclusion,pooled_equal_family_agree,leave_one_out_stable,magnitude_composition_sensitive,structural_class,evidence_class,n_comparable_cells,n_robust_cells,matched_cell_mean_pct,matched_cell_median_pct,robust_matched_cell_mean_pct,robust_matched_cell_median_pct,cells_favour_re,cells_favour_cdr,robust_cells_favour_re,robust_cells_favour_cdr,total_cdr_support,total_re_support,matched_direction,pooled_matched_agree,final_tiered_conclusion
Full,2C,Aggregated R10 regions,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,223,226,5.774099363425409,4.380272083374919,1.3938272800504903,24.139301946886143,High-RE,6,4,8.252241584258092,1.3832451044460001,-5.437511403095277,-2.198461081038416,3,3,1,3,-24.337445703644033,36.039121561931466,7,2,48.47674765053017,REMIND,MESSAGEix,TRUE,FALSE,FALSE,Dominant-family sensitive,Database association only; model-composition sensitive,7,3,3.7410225650329774,-0.15573729436292608,-0.3512340275353708,-0.15573729436292608,3,4,1,2,155,44,High-RE,TRUE,Database association only; model-composition sensitive
Full,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,189,172,440.495065,434.621435,5.8736299999999915,1.333415619537075,High-RE,5,3,4.201414532981648,3.7385017054392846,5.71333601398973,3.7385017054392846,4,1,3,0,-0.25119747936335024,6.15226327185227,7,3,4.8188476523151955,REMIND,POLES,TRUE,FALSE,FALSE,Dominant-family sensitive,Coverage-qualified; composition-sensitive association,6,2,2.6681230694576166,2.792637410471645,3.0428101356095474,3.0428101356095474,4,2,2,0,97,26,High-RE,TRUE,Coverage-qualified; composition-sensitive association
SCI-vetted,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",69,69,350.7392575320401,423.27276987230044,72.53351234026036,20.68018072759774,High-RE,1,1,106.12122392785119,106.12122392785119,106.12122392785119,106.12122392785119,1,0,1,0,14.603744061672796,64.37277665129186,6,0,43.692595923694114,IMAGE,POLES,TRUE,TRUE,TRUE,Not identified across model families,Not identified across model families,2,1,55.52107091279091,55.52107091279091,79.13342510486622,79.13342510486622,2,0,1,0,10,4,High-RE,TRUE,Not identified across model families
SCI-vetted,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,69,69,25.30717213826523,26.429286645096077,-1.1221145068308473,-4.433978244191794,High-CDR,1,1,2.726818393586793,2.726818393586793,2.726818393586793,2.726818393586793,1,0,1,0,-84.16098542584275,23.295152602871962,6,2,79.72700718165096,REMIND,WITCH,FALSE,FALSE,FALSE,Not identified across model families,Not identified across model families,2,1,7.484056948752073,7.484056948752073,9.214195266472583,9.214195266472583,2,0,1,0,10,4,High-RE,FALSE,Not identified across model families
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,69,69,6.6980224311965415,7.168360966807078,-0.4703385356105363,-7.022050768595509,High-CDR,1,1,10.724571298956079,10.724571298956079,10.724571298956079,10.724571298956079,1,0,1,0,-98.25496956054859,26.992772493273087,6,2,91.23291879195308,REMIND,WITCH,FALSE,FALSE,FALSE,Not identified across model families,Not identified across model families,2,1,9.528347600618018,9.528347600618018,18.245020147879536,18.245020147879536,2,0,1,0,10,4,High-RE,FALSE,Not identified across model families
SCI-vetted,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,69,69,420.124325,442.17121,-22.046884999999975,-5.247704950195391,High-CDR,1,1,4.8277681047176335,4.8277681047176335,4.8277681047176335,4.8277681047176335,1,0,1,0,-8.448351995878069,15.128921698117532,6,1,20.37662664831292,IMAGE,POLES,FALSE,FALSE,FALSE,Not identified across model families,Coverage-qualified; not identified across model families,2,1,9.693540564737098,9.693540564737098,8.854903880644379,8.854903880644379,2,0,1,0,10,4,High-RE,FALSE,Coverage-qualified; not identified across model families
SCI-vetted,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",6,6,458.3544650528828,601.0386573368169,142.68419228393407,31.129661247539463,High-RE,1,0,31.908716720715606,31.908716720715606,NA,NA,1,0,0,0,22.90692802213541,40.73368863364548,4,0,9.604027386106015,REMIND,POLES,TRUE,TRUE,FALSE,Not identified across model families,Not identified across model families,1,0,31.908716720715606,31.908716720715606,NA,NA,1,0,0,0,4,1,High-RE,TRUE,Not identified across model families
SCI-vetted,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,6,6,29.8727376948245,25.854166825967432,4.0185708688570685,13.452301927965886,High-RE,1,0,5.753918631031564,5.753918631031564,NA,NA,1,0,0,0,7.8047794809047835,27.74186058577507,4,0,14.289558657809183,POLES,IMAGE,TRUE,TRUE,FALSE,Not identified across model families,Not identified across model families,1,0,5.753918631031564,5.753918631031564,NA,NA,1,0,0,0,4,1,High-RE,TRUE,Not identified across model families
SCI-vetted,1.5C,Aggregated R10 regions,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,6,6,7.731131402659751,6.820472210692021,0.9106591919677305,11.779119310459983,High-RE,1,0,0.8116750533564999,0.8116750533564999,NA,NA,1,0,0,0,5.6253979038944975,34.9619998602728,4,0,23.182880549812815,POLES,IMAGE,TRUE,TRUE,FALSE,Not identified across model families,Not identified across model families,1,0,0.8116750533564999,0.8116750533564999,NA,NA,1,0,0,0,4,1,High-RE,TRUE,Not identified across model families
SCI-vetted,1.5C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,6,6,481.9203375,428.3386425,53.581695000000025,11.118371820114362,High-RE,1,0,10.532177248829816,10.532177248829816,NA,NA,1,0,0,0,-4.9874689518543365,17.691542225747533,4,1,16.105840771968698,IMAGE,POLES,TRUE,FALSE,FALSE,Not identified across model families,Coverage-qualified; not identified across model families,1,0,10.532177248829816,10.532177248829816,NA,NA,1,0,0,0,4,1,High-RE,TRUE,Coverage-qualified; not identified across model families
SCI-vetted,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",63,63,345.4670448919984,417.78545306114,72.3184081691416,20.933518620205913,High-RE,1,1,107.44051341865644,107.44051341865644,107.44051341865644,107.44051341865644,1,0,1,0,13.747922087182205,64.4122705329692,6,0,43.478751912763286,IMAGE,POLES,TRUE,TRUE,TRUE,Not identified across model families,Not identified across model families,1,1,79.13342510486622,79.13342510486622,79.13342510486622,79.13342510486622,1,0,1,0,6,3,High-RE,TRUE,Not identified across model families
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,63,63,25.031319329494767,28.148905035785212,-3.117585706290445,-12.454739861102519,High-CDR,1,1,-0.4890004201976986,-0.4890004201976986,-0.4890004201976986,-0.4890004201976986,0,1,0,1,-92.58191897264541,24.218280170079307,6,2,80.12717911154289,REMIND,WITCH,TRUE,FALSE,FALSE,Not identified across model families,Not identified across model families,1,1,9.214195266472583,9.214195266472583,9.214195266472583,9.214195266472583,1,0,1,0,6,3,High-RE,FALSE,Not identified across model families
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,63,63,6.661610269550088,8.106770367740857,-1.4451600981907697,-21.693855385034002,High-CDR,1,1,11.584448537469227,11.584448537469227,11.584448537469227,11.584448537469227,1,0,1,0,-102.04549091531527,32.641157018171334,6,2,80.35163553028127,REMIND,WITCH,FALSE,FALSE,TRUE,Not identified across model families,Not identified across model families,1,1,18.245020147879536,18.245020147879536,18.245020147879536,18.245020147879536,1,0,1,0,6,3,High-RE,FALSE,Not identified across model families
SCI-vetted,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,63,63,419.717675,442.17121,-22.453534999999988,-5.349675826732812,High-CDR,1,1,4.233988406243592,4.233988406243592,4.233988406243592,4.233988406243592,1,0,1,0,-8.823192876020775,15.128921698117532,6,1,20.478597524850343,WITCH,POLES,FALSE,FALSE,FALSE,Not identified across model families,Coverage-qualified; not identified across model families,1,1,8.854903880644379,8.854903880644379,8.854903880644379,8.854903880644379,1,0,1,0,6,3,High-RE,FALSE,Coverage-qualified; not identified across model families
