database,ambition_view,Region,outcome,outcome_label,outcome_unit,lower_is_better,family,n_cdr,n_re,median_cdr,median_re,cliffs_delta_raw,comparable,robust,direction_coded_difference,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_effect_pct,pooled_favours,agrees_with_pooled
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,MESSAGEix,95,24,449.98323,441.60157749999996,-0.22631578947368422,TRUE,TRUE,8.38165250000003,1.862658859531283,0.22631578947368422,High-RE,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,POLES,60,0,401.828605,NA,NA,FALSE,FALSE,NA,NA,NA,NA,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,REMIND,0,184,NA,425.8027075,NA,FALSE,FALSE,NA,NA,NA,NA,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,WITCH,8,7,422.44198,427.58408,0.39285714285714285,TRUE,TRUE,-5.142099999999971,-1.2172322457157243,-0.39285714285714285,High-CDR,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,AIM,21,14,463.67581764515256,432.74496252234877,-0.2653061224489796,TRUE,TRUE,-30.93085512280379,-6.670793245136396,-0.2653061224489796,High-CDR,91.73158400409754,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,COFFEE,0,8,NA,209.7117364026971,NA,FALSE,FALSE,NA,NA,NA,NA,91.73158400409754,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,GCAM,3,5,339.3833470088495,619.7684288054618,1,TRUE,TRUE,280.38508179661227,82.6160400231132,1,High-RE,91.73158400409754,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,IMAGE,66,2,291.1634729947123,530.7782904129981,0.8484848484848485,TRUE,FALSE,239.61481741828578,82.2956310260241,0.8484848484848485,High-RE,91.73158400409754,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,MESSAGEix,99,27,280.35332609246854,306.8751917108435,0.6475869809203143,TRUE,TRUE,26.52186561837499,9.460157290813564,0.6475869809203143,High-RE,91.73158400409754,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,POLES,60,9,373.581713847144,424.0572961333819,0.7148148148148148,TRUE,TRUE,50.47558228623791,13.51125614967618,0.7148148148148148,High-RE,91.73158400409754,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,REMIND,1,220,369.0978178339944,647.242109486104,0.9181818181818182,TRUE,FALSE,278.14429165210964,75.35788027259699,0.9181818181818182,High-RE,91.73158400409754,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,TIAM,12,0,104.45879686184061,NA,NA,FALSE,FALSE,NA,NA,NA,NA,91.73158400409754,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,WITCH,8,16,435.1959289407338,323.555643218059,-0.3125,TRUE,TRUE,-111.64028572267478,-25.652879151330083,-0.3125,High-CDR,91.73158400409754,High-RE,FALSE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,AIM,21,14,140.45744945902,146.9086218005426,0.3673469387755102,TRUE,TRUE,-6.451172341522579,-4.592972723319156,-0.3673469387755102,High-CDR,34.965248773756265,High-RE,FALSE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,COFFEE,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,34.965248773756265,High-RE,FALSE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,GCAM,33,5,38.63206788568429,61.714375968807275,0.9757575757575757,TRUE,TRUE,-23.08230808312298,-59.74908760107166,-0.9757575757575757,High-CDR,34.965248773756265,High-RE,FALSE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,IMAGE,68,2,72.80931001732904,52.405269345296034,-0.9411764705882353,TRUE,FALSE,20.404040672033005,28.02394455760771,0.9411764705882353,High-RE,34.965248773756265,High-RE,TRUE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,MESSAGEix,99,27,41.8768214275611,38.74444876418339,0.0707070707070707,TRUE,TRUE,3.1323726633777085,7.479967572983338,-0.0707070707070707,High-RE,34.965248773756265,High-RE,TRUE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,POLES,60,9,92.37251352542519,95.8850555542595,0.17777777777777778,TRUE,TRUE,-3.5125420288343037,-3.8025835768423573,-0.17777777777777778,High-CDR,34.965248773756265,High-RE,FALSE
