database,ambition_view,Region,outcome,outcome_label,outcome_unit,n_cdr,n_re,median_cdr,median_re,pooled_effect,pooled_effect_pct,pooled_favours,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr,loo_min_pct,loo_max_pct,n_families_tested,n_direction_flips,max_influence_shift_pct_points,most_negative_exclusion,most_positive_exclusion,pooled_equal_family_agree,leave_one_out_stable,magnitude_composition_sensitive,structural_class,evidence_class
SCI-vetted,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,69,69,19.1127086387263,18.39637443085087,0.7163342078754305,3.747947093296809,High-RE,1,1,4.7968582636930694,4.7968582636930694,4.7968582636930694,4.7968582636930694,1,0,1,0,-66.37271425701044,26.549631097939866,6,3,70.12066135030726,REMIND,WITCH,TRUE,FALSE,FALSE,Not identified across model families,Not identified across model families
SCI-vetted,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,69,69,6.950699586557095,6.862270385057928,0.08842920149916633,1.2722345484502253,High-RE,1,1,11.691635336120791,11.691635336120791,11.691635336120791,11.691635336120791,1,0,1,0,-81.23941874319303,29.53238640935836,6,4,82.51165329164326,REMIND,WITCH,TRUE,FALSE,FALSE,Not identified across model families,Not identified across model families
SCI-vetted,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,69,69,420.124325,442.17121,-22.046884999999975,-5.247704950195391,High-CDR,1,1,4.8277681047176335,4.8277681047176335,4.8277681047176335,4.8277681047176335,1,0,1,0,-8.448351995878069,15.128921698117532,6,1,20.37662664831292,IMAGE,POLES,FALSE,FALSE,FALSE,Not identified across model families,Coverage-qualified; not identified across model families
SCI-vetted,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",6,6,458.3544650528828,601.0386573368169,142.68419228393407,31.129661247539463,High-RE,1,0,31.908716720715606,31.908716720715606,NA,NA,1,0,0,0,22.90692802213541,40.73368863364548,4,0,9.604027386106015,REMIND,POLES,TRUE,TRUE,FALSE,Not identified across model families,Not identified across model families
SCI-vetted,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,6,6,21.27685223957915,18.043651984600665,3.2332002549784846,15.19585800837632,High-RE,1,0,6.861686116967002,6.861686116967002,NA,NA,1,0,0,0,8.647471356114439,34.33048240272343,4,0,19.134624394347114,POLES,IMAGE,TRUE,TRUE,FALSE,Not identified across model families,Not identified across model families
SCI-vetted,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,6,6,7.876058545149219,6.662031540784415,1.2140270043648034,15.414143983382523,High-RE,1,0,11.615045495134863,11.615045495134863,NA,NA,1,0,0,0,8.876161415678483,31.642258605175044,4,0,16.22811462179252,POLES,IMAGE,TRUE,TRUE,FALSE,Not identified across model families,Not identified across model families
SCI-vetted,1.5C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,6,6,481.9203375,428.3386425,53.581695000000025,11.118371820114362,High-RE,1,0,10.532177248829816,10.532177248829816,NA,NA,1,0,0,0,-4.9874689518543365,17.691542225747533,4,1,16.105840771968698,IMAGE,POLES,TRUE,FALSE,FALSE,Not identified across model families,Coverage-qualified; not identified across model families
SCI-vetted,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",63,63,345.4670448919984,417.78545306114,72.3184081691416,20.933518620205913,High-RE,1,1,107.44051341865644,107.44051341865644,107.44051341865644,107.44051341865644,1,0,1,0,13.747922087182205,64.4122705329692,6,0,43.478751912763286,IMAGE,POLES,TRUE,TRUE,TRUE,Not identified across model families,Not identified across model families
SCI-vetted,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,63,63,19.046803905975818,20.477791184909517,-1.4309872789336993,-7.5130047329606615,High-CDR,1,1,0.7059167713666906,0.7059167713666906,0.7059167713666906,0.7059167713666906,1,0,1,0,-71.92580715576112,29.707658437632265,6,2,64.41280242280045,REMIND,WITCH,FALSE,FALSE,FALSE,Not identified across model families,Not identified across model families
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,63,63,6.911010776806588,7.600774981647953,-0.6897642048413646,-9.98065589994765,High-CDR,1,1,10.525362451075894,10.525362451075894,10.525362451075894,10.525362451075894,1,0,1,0,-84.71571472625398,32.10601193794591,6,2,74.73505882630633,REMIND,WITCH,FALSE,FALSE,TRUE,Not identified across model families,Not identified across model families
SCI-vetted,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,63,63,419.717675,442.17121,-22.453534999999988,-5.349675826732812,High-CDR,1,1,4.233988406243592,4.233988406243592,4.233988406243592,4.233988406243592,1,0,1,0,-8.823192876020775,15.128921698117532,6,1,20.478597524850343,WITCH,POLES,FALSE,FALSE,FALSE,Not identified across model families,Coverage-qualified; not identified across model families
